group,gloss
locomotion_travel,"Physical movement of a person or entity from one place to another, on foot, by vehicle, or in pursuit of a target."
emotion_attitude,"An emotional or attitudinal stance held toward, or emotional effect produced in, a person."
communication_report,"Producing a spoken or written statement that reports, discloses, or describes something."
possession_general,"Coming to have, or continuing to retain, possession of something."
communication_directive,A speech act aimed at directing or constraining someone else's future action.
attach_combine,Joining separate substances or objects into a single combined whole.
emission,"An entity spontaneously giving off light, sound, smell, or a substance."
existence_appearance,"Coming into being, being present, or happening, including atmospheric events."
naming_designation,"Officially assigning or occupying a name, title, or role."
judgment_evaluation,"Forming, expressing, or assigning an evaluative opinion or value, including monetary worth."
body_posture_gesture,Adopting a bodily posture or making a non-translational body movement or gesture.
avoidance_abstention,"Keeping away from, breaking free of, or deliberately not engaging in something."
removal_elimination,"Taking something away from a place, surface, or whole so that it is no longer there."
social_interaction,A reciprocal social relationship or joint activity between two or more parties.
aspectual_phase,"Marking the beginning, continuation, duration, or ending of an event or state."
dressing_clothing,"Putting on, wearing, or being in a state of dress."
spatial_configuration_shape,"The physical shape, posture, or spatial arrangement an entity holds or takes on."
bodily_state_function,"An involuntary internal bodily sensation, function, or state change."
grooming_hygiene,"Tending to hair, teeth, or personal appearance."
damage_violence,"Causing physical damage, injury, or death to an entity."
transfer_giving,"Causing another party to receive or have something, now or in the future."
creation_production,"Bringing something new into existence through effort, process, or performance."
contact_impact,"Making physical contact with, or striking, something."
filling_covering,Causing a surface or container to become covered or full with a substance.
change_of_state_general,"An entity's transition from one physical, biological, or circumstantial state to another."
cutting_shaping,Dividing or reshaping something with a blade or cutting action.
deception_pretense,Concealing the truth or presenting a false appearance to others.
eating_ingestion,"Taking in food, especially with attention to the manner or degree of consumption."
communication_manner_channel,"The style, medium, or nonverbal form through which communication is carried out."
compulsion_control,"Compelling, restricting, or controlling someone's action or scope."
assistance_support,Acting to protect or benefit another person.
comparison_relation,"Expressing a relation of similarity, difference, or relative magnitude between entities."
searching_discovery,Directing attention or effort toward finding or coming to know something.
forceful_caused_motion,"Forcefully propelling or directing an object, substance, or group into motion."
placement,Placing or causing an entity to come to rest at a location.
desire_want,Wanting or yearning for something.
perception,Visually perceiving or looking at something.
written_recording,Producing a written or documented record of something.
