resource,category,group
gi_primary,ABS,abstraction_relation
gi_primary,ANI,human_category
gi_primary,Academ,enlightenment_knowledge
gi_primary,Active,agency_orientation
gi_primary,AffGain,affection_care
gi_primary,AffLoss,affection_care
gi_primary,AffOth,affection_care
gi_primary,AffPt,social_role_participant
gi_primary,Affil,affection_care
gi_primary,Anomie,power_institution
gi_primary,Aquatic,natural_environment
gi_primary,ArenaLw,power_institution
gi_primary,Arousal,negative_affect
gi_primary,Begin,process_phase
gi_primary,BldgPt,concrete_object
gi_primary,BodyPt,body_health
gi_primary,CARD,quantity_measure
gi_primary,COLL,social_cooperation
gi_primary,COLOR,sensory_quality
gi_primary,COM,communication_speech
gi_primary,Causal,logical_connective
gi_primary,ComForm,communication_speech
gi_primary,ComnObj,communication_speech
gi_primary,Compare,logical_connective
gi_primary,Complet,process_phase
gi_primary,DAV,agency_orientation
gi_primary,DIM,quantity_measure
gi_primary,Decreas,magnitude_change
gi_primary,Doctrin,enlightenment_knowledge
gi_primary,ECON,economic_exchange
gi_primary,EMOT,emotion_general
gi_primary,EVAL,moral_evaluation
gi_primary,EndsLw,goal_directed_action
gi_primary,EnlEnds,enlightenment_knowledge
gi_primary,EnlGain,enlightenment_knowledge
gi_primary,EnlLoss,enlightenment_knowledge
gi_primary,EnlOth,enlightenment_knowledge
gi_primary,EnlPt,social_role_participant
gi_primary,Exch,economic_exchange
gi_primary,Exert,contact_manipulation
gi_primary,Exprsv,expressive_nonverbal
gi_primary,FREQ,quantity_measure
gi_primary,Fail,process_phase
gi_primary,Fall,motion_locomotion
gi_primary,Feel,emotion_general
gi_primary,Female,human_category
gi_primary,Fetch,contact_manipulation
gi_primary,Finish,process_phase
gi_primary,Food,concrete_object
gi_primary,FormLw,ritual_procedure
gi_primary,Goal,goal_directed_action
gi_primary,HU,human_category
gi_primary,Hostile,aggression_conflict
gi_primary,IAV,agency_orientation
gi_primary,IPadj,social_cooperation
gi_primary,If,epistemic_hedging
gi_primary,Increas,magnitude_change
gi_primary,IndAdj,human_category
gi_primary,Intrj,expressive_nonverbal
gi_primary,Know,cognition_perception
gi_primary,Land,natural_environment
gi_primary,Legal,power_institution
gi_primary,MALE,human_category
gi_primary,Means,goal_directed_action
gi_primary,MeansLw,goal_directed_action
gi_primary,Milit,power_institution
gi_primary,NUMB,quantity_measure
gi_primary,NatObj,natural_environment
gi_primary,Nation,power_institution
gi_primary,NatrPro,process_phase
gi_primary,Need,goal_directed_action
gi_primary,NegAff,negative_affect
gi_primary,Negate,logical_connective
gi_primary,Negativ,moral_evaluation
gi_primary,Nonadlt,human_category
gi_primary,Object,concrete_object
gi_primary,Ought,moral_imperative
gi_primary,Our,speaker_deixis
gi_primary,Ovrst,epistemic_hedging
gi_primary,PLACE,spatial_temporal_deixis
gi_primary,POLIT,power_institution
gi_primary,POS,spatial_temporal_deixis
gi_primary,Passive,agency_orientation
gi_primary,Perceiv,cognition_perception
gi_primary,Persist,process_phase
gi_primary,Pleasur,positive_affect
gi_primary,PosAff,positive_affect
gi_primary,Positiv,moral_evaluation
gi_primary,PowAren,power_institution
gi_primary,PowAuPt,social_role_participant
gi_primary,PowAuth,power_institution
gi_primary,PowCon,aggression_conflict
gi_primary,PowCoop,social_cooperation
gi_primary,PowDoct,power_institution
gi_primary,PowEnds,power_institution
gi_primary,PowGain,power_institution
gi_primary,PowLoss,power_institution
gi_primary,PowOth,power_institution
gi_primary,PtLw,social_role_participant
gi_primary,Quality,sensory_quality
gi_primary,Quan,quantity_measure
gi_primary,RcEnds,moral_imperative
gi_primary,RcEthic,moral_evaluation
gi_primary,RcRelig,ritual_procedure
gi_primary,Rel,abstraction_relation
gi_primary,Ritual,ritual_procedure
gi_primary,RspGain,respect_status
gi_primary,RspLoss,respect_status
gi_primary,RspOth,respect_status
gi_primary,SV,emotion_general
gi_primary,Self,speaker_deixis
gi_primary,SklAsth,enlightenment_knowledge
gi_primary,SklOth,enlightenment_knowledge
gi_primary,SklPt,social_role_participant
gi_primary,Space,spatial_temporal_deixis
gi_primary,Submit,agency_orientation
gi_primary,SureLw,epistemic_hedging
gi_primary,TimeSpc,spatial_temporal_deixis
gi_primary,TranLw,economic_exchange
gi_primary,Travel,motion_locomotion
gi_primary,TrnLoss,process_phase
gi_primary,Undrst,epistemic_hedging
gi_primary,Vary,magnitude_change
gi_primary,Vice,moral_evaluation
gi_primary,Virtue,moral_evaluation
gi_primary,Weak,agency_orientation
gi_primary,WlbLoss,body_health
gi_primary,WlbPhys,body_health
gi_primary,WlbPsyc,emotion_general
gi_primary,WlbPt,social_role_participant
gi_primary,WltOth,economic_exchange
gi_primary,WltPt,social_role_participant
gi_primary,You,speaker_deixis
rid,abstraction,abstraction_relation
rid,affection,affection_care
rid,aggression,aggression_conflict
rid,anxiety,negative_affect
rid,defensive_symbolization,cognition_perception
rid,expressive_behavior,expressive_nonverbal
rid,glory,respect_status
rid,icarian_imagery,motion_locomotion
rid,instrumental_behavior,goal_directed_action
rid,moral_imperative,moral_imperative
rid,need,goal_directed_action
rid,order,quantity_measure
