category,group
A1.1.1,making_and_causation
A1.1.1c,making_and_causation
A1.1.2,danger_caution_and_violence
A1.2,suitability_and_utility
A1.2.4,suitability_and_utility
A1.3,danger_caution_and_violence
A1.4,logical_modal_and_discourse_operators
A1.5.1,suitability_and_utility
A1.5.2,suitability_and_utility
A1.6,ontological_and_categorization
A1.7,constraint_inclusion_and_exclusion
A1.8,constraint_inclusion_and_exclusion
A1.9,constraint_inclusion_and_exclusion
A10,inquiry_discovery_and_education
A11.1,degree_intensity_and_emphasis
A11.2,degree_intensity_and_emphasis
A12,suitability_and_utility
A13,degree_intensity_and_emphasis
A13.2,degree_intensity_and_emphasis
A13.3,degree_intensity_and_emphasis
A13.4,degree_intensity_and_emphasis
A13.5,degree_intensity_and_emphasis
A13.6,degree_intensity_and_emphasis
A13.7,degree_intensity_and_emphasis
A14,constraint_inclusion_and_exclusion
A15,danger_caution_and_violence
A2.1,making_and_causation
A2.2,making_and_causation
A3,ontological_and_categorization
A4.1,ontological_and_categorization
A4.2,ontological_and_categorization
A5.1,evaluation_comparison_and_judgment
A5.2,evaluation_comparison_and_judgment
A5.3,evaluation_comparison_and_judgment
A5.4,evaluation_comparison_and_judgment
A6,evaluation_comparison_and_judgment
A6.1,evaluation_comparison_and_judgment
A6.2,evaluation_comparison_and_judgment
A6.3,evaluation_comparison_and_judgment
A7,logical_modal_and_discourse_operators
A8,logical_modal_and_discourse_operators
A9,matter_objects_and_handling
B1,body_health_and_consumption
B2,body_health_and_consumption
B3,body_health_and_consumption
B3c,body_health_and_consumption
B4,body_health_and_consumption
B5,body_health_and_consumption
C1,leisure_hobbies_and_play
E1,emotion_and_arousal
E2,emotion_and_arousal
E3,emotion_and_arousal
E4.1,emotion_and_arousal
E4.2,emotion_and_arousal
E5,emotion_and_arousal
E6,emotion_and_arousal
F1,body_health_and_consumption
F2,body_health_and_consumption
F3,body_health_and_consumption
F4,commerce_work_and_industry
G1.1,governance_law_and_ethics
G1.1c,governance_law_and_ethics
G1.2,governance_law_and_ethics
G2.1,governance_law_and_ethics
G2.2,governance_law_and_ethics
G3,danger_caution_and_violence
G3c,danger_caution_and_violence
H1,housing_and_buildings
H2,housing_and_buildings
H3,housing_and_buildings
H4,housing_and_buildings
H5,housing_and_buildings
I1,money_and_finance
I1.1,money_and_finance
I1.2,money_and_finance
I1.3,money_and_finance
I1c,money_and_finance
I2.1,commerce_work_and_industry
I2.2,commerce_work_and_industry
I3.1,commerce_work_and_industry
I3.2,commerce_work_and_industry
I4,commerce_work_and_industry
I4c,commerce_work_and_industry
K1,media_and_entertainment
K2,media_and_entertainment
K3,media_and_entertainment
K4,media_and_entertainment
