group,gloss
cognition_perception,"Words for the act of knowing, recognizing, or perceiving, including primitive or associative modes of thought."
sensory_quality,"Words describing sensory qualities, color, raw sensation, and the manner in which something is done."
moral_imperative,"Words expressing duty, obligation, prohibition, or self-restraint."
moral_evaluation,"Words evaluating persons or acts as good or bad, virtuous or vicious."
enlightenment_knowledge,"The Lasswell enlightenment and skill value domains: education, doctrine, and expertise."
abstraction_relation,Abstract vocabulary and words marking general relations or states between entities.
logical_connective,"Negation, comparison, causation, and other logical or grammatical connectives."
epistemic_hedging,"Words marking certainty, doubt, emphasis, or hedging of an assertion."
quantity_measure,"Number, dimension, frequency, and measured quantity or structure."
magnitude_change,"Words for increase, decrease, or other change in magnitude."
process_phase,"The beginning, persistence, completion, or failure of a process or natural life-cycle."
motion_locomotion,"Physical movement through space, including imagery of rising and falling."
contact_manipulation,"Touching, gripping, applying force to, or otherwise physically handling objects."
agency_orientation,Active versus passive orientation in describing agency and force.
aggression_conflict,"Hostility, conflict, physical violence, and damage to persons or property."
affection_care,"Love, friendship, supportive bonds, and caring physical contact."
emotion_general,General or undifferentiated emotional and mental-state language.
positive_affect,"Happiness, enjoyment, confidence, and other positively toned feeling."
negative_affect,"Fear, sadness, distress, and negatively toned emotional arousal."
goal_directed_action,"Needs, goals, means, and purposive or creative instrumental action."
respect_status,"Status, honor, prestige, and the gain or loss of reputation."
power_institution,"The political, legal, military, and institutional apparatus of organized power."
social_cooperation,"Cooperative and interpersonal social behavior, and human collectivities."
ritual_procedure,"Ceremonial, religious, and standardized procedural forms and conventions."
economic_exchange,"Wealth, trade, transactions, and the exchange or transfer of possessions."
communication_speech,"Talking, writing, and other communicative acts, tools, and media."
expressive_nonverbal,"Artistic, exclamatory, and other nonverbal expressive behavior."
concrete_object,"Concrete physical objects, food, building structures, and their consumption."
body_health,"The body, its parts, and physical health or well-being."
social_role_participant,"Persons named by the social, professional, or institutional role they occupy."
human_category,"Generic reference to humans or animals by sex, age, or personal trait."
speaker_deixis,First- and second-person pronominal reference to speaker and addressee.
spatial_temporal_deixis,"General awareness of place, position, and time."
natural_environment,"The non-human natural world, its terrain, objects, and weather."
