category,meta_field
ABS,cognition_mental
ANI,other
Academ,cognition_mental
Active,physical_action
AffGain,social_interpersonal
AffLoss,social_interpersonal
AffOth,social_interpersonal
AffPt,social_interpersonal
Affil,social_interpersonal
Anomie,evaluation_modality
Aquatic,other
ArenaLw,other
Arousal,emotion_affect
Begin,time_aspect
BldgPt,other
BodyPt,body_health
CARD,quantity_degree
COLL,social_interpersonal
COLOR,perception_sensation
COM,communication_speech
Causal,cognition_mental
ComForm,communication_speech
ComnObj,communication_speech
Compare,cognition_mental
Complet,evaluation_modality
DAV,physical_action
DIM,quantity_degree
Decreas,quantity_degree
Doctrin,cognition_mental
ECON,possession_exchange
EMOT,emotion_affect
EVAL,evaluation_modality
EndsLw,cognition_mental
EnlEnds,cognition_mental
EnlGain,cognition_mental
EnlLoss,cognition_mental
EnlOth,cognition_mental
EnlPt,cognition_mental
Exch,possession_exchange
Exert,physical_action
Exprsv,communication_speech
FREQ,quantity_degree
Fail,evaluation_modality
Fall,physical_action
Feel,emotion_affect
Female,social_interpersonal
Fetch,physical_action
Finish,time_aspect
Food,other
FormLw,social_interpersonal
Goal,cognition_mental
HU,other
Hostile,social_interpersonal
IAV,social_interpersonal
IPadj,social_interpersonal
If,evaluation_modality
Increas,quantity_degree
IndAdj,evaluation_modality
Intrj,other
Know,cognition_mental
Land,other
Legal,social_interpersonal
MALE,social_interpersonal
Means,physical_action
MeansLw,physical_action
Milit,social_interpersonal
NUMB,quantity_degree
NatObj,other
Nation,other
NatrPro,physical_action
Need,emotion_affect
NegAff,emotion_affect
Negate,other
Negativ,evaluation_modality
Nonadlt,social_interpersonal
Object,other
Ought,evaluation_modality
Our,other
Ovrst,quantity_degree
PLACE,other
POLIT,social_interpersonal
POS,other
Passive,existence_state
Perceiv,perception_sensation
Persist,time_aspect
Pleasur,emotion_affect
PosAff,emotion_affect
Positiv,evaluation_modality
PowAren,other
PowAuPt,social_interpersonal
PowAuth,social_interpersonal
PowCon,social_interpersonal
PowCoop,social_interpersonal
PowDoct,cognition_mental
PowEnds,social_interpersonal
PowGain,social_interpersonal
PowLoss,social_interpersonal
PowOth,social_interpersonal
PtLw,other
Quality,quantity_degree
Quan,quantity_degree
RcEnds,evaluation_modality
RcEthic,evaluation_modality
RcRelig,evaluation_modality
Rel,cognition_mental
Ritual,social_interpersonal
RspGain,social_interpersonal
RspLoss,social_interpersonal
RspOth,social_interpersonal
SV,emotion_affect
Self,other
SklAsth,cognition_mental
SklOth,cognition_mental
SklPt,cognition_mental
Space,other
Submit,social_interpersonal
SureLw,evaluation_modality
TimeSpc,time_aspect
TranLw,possession_exchange
Travel,physical_action
TrnLoss,evaluation_modality
Undrst,quantity_degree
Vary,existence_state
Vice,evaluation_modality
Virtue,evaluation_modality
Weak,quantity_degree
WlbLoss,body_health
WlbPhys,body_health
WlbPsyc,emotion_affect
WlbPt,body_health
WltOth,possession_exchange
WltPt,possession_exchange
You,other
