category,group
accompany,locomotion_travel
admire,emotion_attitude
admit,communication_report
adopt,possession_general
advise,communication_directive
amalgamate,attach_combine
amuse,emotion_attitude
animal_sounds,emission
appeal,emotion_attitude
appear,existence_appearance
appoint,naming_designation
approve,judgment_evaluation
assessment,judgment_evaluation
assuming_position,body_posture_gesture
avoid,avoidance_abstention
banish,removal_elimination
battle,social_interaction
begin,aspectual_phase
being_dressed,dressing_clothing
bend,spatial_configuration_shape
berry,possession_general
bill,judgment_evaluation
body_internal_motion,body_posture_gesture
body_internal_states,bodily_state_function
braid,grooming_hygiene
break,damage_violence
breathe,bodily_state_function
bring,transfer_giving
build,creation_production
bulge,spatial_configuration_shape
bump,contact_impact
butter,filling_covering
calibratable_cos,change_of_state_general
calve,change_of_state_general
captain,naming_designation
care,emotion_attitude
carry,transfer_giving
carve,cutting_shaping
change_bodily_state,bodily_state_function
characterize,communication_report
chase,locomotion_travel
cheat,deception_pretense
chew,eating_ingestion
chit_chat,communication_manner_channel
clear,removal_elimination
cling,contact_impact
coil,spatial_configuration_shape
coloring,change_of_state_general
complain,communication_report
complete,aspectual_phase
concealment,deception_pretense
confess,communication_report
confine,compulsion_control
conjecture,judgment_evaluation
consider,judgment_evaluation
conspire,social_interaction
consume,eating_ingestion
contiguous_location,spatial_configuration_shape
continue,aspectual_phase
contribute,transfer_giving
convert,change_of_state_general
cooking,creation_production
cooperate,social_interaction
cope,emotion_attitude
correspond,social_interaction
cost,judgment_evaluation
crane,body_posture_gesture
create,creation_production
curtsey,communication_manner_channel
cut,cutting_shaping
debone,cutting_shaping
declare,communication_report
dedicate,transfer_giving
defend,assistance_support
destroy,damage_violence
devour,eating_ingestion
differ,comparison_relation
dine,eating_ingestion
disappearance,existence_appearance
disassemble,removal_elimination
discover,searching_discovery
dress,dressing_clothing
dressing_well,dressing_clothing
drive,locomotion_travel
dub,naming_designation
eat,eating_ingestion
enforce,compulsion_control
engender,creation_production
entity_specific_cos,change_of_state_general
entity_specific_modes_being,spatial_configuration_shape
equip,transfer_giving
escape,avoidance_abstention
exceed,comparison_relation
exchange,transfer_giving
exhale,bodily_state_function
exist,existence_appearance
feeding,transfer_giving
ferret,searching_discovery
fill,filling_covering
fit,comparison_relation
flinch,body_posture_gesture
floss,grooming_hygiene
focus,searching_discovery
forbid,communication_directive
force,compulsion_control
free,change_of_state_general
fulfilling,aspectual_phase
funnel,forceful_caused_motion
future_having,transfer_giving
get,possession_general
give,transfer_giving
gobble,eating_ingestion
gorge,eating_ingestion
groom,grooming_hygiene
help,assistance_support
herd,forceful_caused_motion
hiccup,bodily_state_function
hit,contact_impact
hold,possession_general
hunt,locomotion_travel
hurt,damage_violence
illustrate,communication_report
image_impression,creation_production
indicate,communication_report
inquire,communication_report
instr_communication,communication_manner_channel
investigate,searching_discovery
judgement,judgment_evaluation
keep,possession_general
knead,attach_combine
learn,searching_discovery
leave,locomotion_travel
lecture,communication_manner_channel
light_emission,emission
limit,compulsion_control
linger,aspectual_phase
lodge,placement
long,desire_want
manner_speaking,communication_manner_channel
marry,social_interaction
marvel,emotion_attitude
masquerade,deception_pretense
meander,locomotion_travel
meet,social_interaction
mix,attach_combine
modes_of_being_with_motion,spatial_configuration_shape
murder,damage_violence
neglect,emotion_attitude
nonvehicle,locomotion_travel
nonverbal_expression,communication_manner_channel
obtain,possession_general
occurrence,existence_appearance
order,communication_directive
orphan,change_of_state_general
other_cos,change_of_state_general
pay,transfer_giving
peer,perception
pelt,forceful_caused_motion
performance,creation_production
pit,removal_elimination
pocket,placement
poison,damage_violence
poke,contact_impact
pour,forceful_caused_motion
preparing,creation_production
price,judgment_evaluation
push,forceful_caused_motion
put,placement
put_direction,placement
put_spatial,placement
reflexive_appearance,existence_appearance
refrain,avoidance_abstention
register,written_recording
rely,emotion_attitude
remove,removal_elimination
risk,emotion_attitude
roll,forceful_caused_motion
rummage,searching_discovery
run,locomotion_travel
say,communication_report
scribble,written_recording
search,searching_discovery
see,perception
send,transfer_giving
separate,removal_elimination
settle,change_of_state_general
shake,forceful_caused_motion
sight,perception
simple_dressing,dressing_clothing
smell_emission,emission
snooze,bodily_state_function
sound_emission,emission
sound_existence,existence_appearance
spank,contact_impact
spatial_configuration,spatial_configuration_shape
spray,filling_covering
steal,possession_general
stop,aspectual_phase
substance_emission,emission
suffocate,damage_violence
suspect,judgment_evaluation
swarm,filling_covering
swat,contact_impact
tape,attach_combine
tell,communication_report
throw,forceful_caused_motion
tingle,bodily_state_function
touch,contact_impact
transcribe,written_recording
transfer_mesg,communication_manner_channel
try,aspectual_phase
turn,change_of_state_general
urge,communication_directive
vehicle,locomotion_travel
waltz,locomotion_travel
want,desire_want
weather,existence_appearance
weekend,aspectual_phase
wink,communication_manner_channel
wipe_instr,removal_elimination
wipe_manner,removal_elimination
wish,desire_want
withdraw,locomotion_travel
