category,group
Abounding_with,scalar_quantity
Absorb_heat,material_process
Abusing,violence_harm
Accomplishment,attempt_outcome
Achieving_first,attempt_outcome
Activity_finish,process_phase
Activity_ongoing,process_phase
Activity_pause,process_phase
Activity_prepare,process_phase
Activity_resume,process_phase
Adding_up,scalar_quantity
Adducing,speech_act_stance
Adjacency,spatial_placement
Adjusting,hands_on_manipulation
Adopt_selection,reasoning_decision
Affirm_or_deny,speech_act_stance
Aging,biological_state
Agree_or_refuse_to_act,compliance_permission
Agriculture,subsistence_production
Aiming,violence_harm
Amassing,possession_change
Amounting_to,scalar_quantity
Appeal,persuasion_suasion
Apply_heat,material_process
Appointing,control_manipulation
Arranging,spatial_placement
Arrest,crime_law
Arriving,self_motion
Assessing,evaluation_assessment
Assistance,safety_protection
Attaching,hands_on_manipulation
Attack,violence_harm
Attempt,attempt_outcome
Attempt_suasion,persuasion_suasion
Attention,perception
Avoiding,opposition_competition
Awareness,belief_knowledge
Bail_decision,crime_law
Be_in_agreement_on_assessment,evaluation_assessment
Beat_opponent,opposition_competition
Becoming_a_member,social_bond
Becoming_aware,belief_knowledge
Behind_the_scenes,deception_secrecy
Being_employed,employment_work
Being_in_category,classification_comparison
Besieging,conflict_war
Billing,commerce_finance
Board_vehicle,vehicle_travel
Body_movement,body_presentation
Borrowing,transfer_possession
Bragging,speech_act_stance
Breaking_out_captive,captivity_confinement
Breathing,biological_state
Bringing,caused_motion
Building,construction_creation
Bungling,attempt_outcome
Burying,spatial_placement
Capacity,scalar_quantity
Carry_goods,caused_motion
Catastrophe,weather_natural_phenomena
Catching_fire,fire_events
Categorization,classification_comparison
Causation,transformation
Cause_change,transformation
Cause_change_of_consistency,material_process
Cause_change_of_phase,material_process
Cause_change_of_position_on_a_scale,scalar_quantity
Cause_change_of_strength,scalar_quantity
Cause_emotion,emotion
Cause_expansion,scalar_quantity
Cause_harm,violence_harm
Cause_impact,violence_harm
Cause_motion,caused_motion
Cause_temperature_change,material_process
Cause_to_amalgamate,material_process
Cause_to_be_dry,material_process
Cause_to_be_sharp,material_process
Cause_to_be_wet,material_process
Cause_to_end,process_phase
Cause_to_experience,emotion
Cause_to_fragment,damage_destruction
Cause_to_make_noise,sound_production
Cause_to_make_progress,process_phase
Cause_to_move_in_place,caused_motion
Cause_to_perceive,perception
Cause_to_resume,process_phase
Cause_to_start,process_phase
Cause_to_wake,biological_state
Ceasing_to_be,transformation
Certainty,belief_knowledge
Change_accessibility,control_manipulation
Change_event_duration,time_relation
Change_event_time,time_relation
Change_of_consistency,material_process
Change_of_leadership,control_manipulation
Change_of_phase,material_process
Change_operational_state,hands_on_manipulation
Change_position_on_a_scale,scalar_quantity
Change_resistance,scalar_quantity
Change_tool,hands_on_manipulation
Chatting,speech_communication
Choosing,reasoning_decision
Closure,process_phase
Cogitation,reasoning_decision
Collaboration,social_bond
Colonization,conflict_war
Come_together,social_bond
Coming_to_be,transformation
Coming_to_believe,belief_knowledge
Coming_up_with,reasoning_decision
Commerce_buy,commerce_finance
Commerce_collect,commerce_finance
Commerce_pay,commerce_finance
Commerce_sell,commerce_finance
Commitment,speech_act_stance
Committing_crime,crime_law
Commonality,classification_comparison
Communicate_categorization,speech_act_stance
Communication,speech_communication
Communication_manner,speech_manner_channel
Communication_means,speech_manner_channel
Communication_noise,sound_production
Communication_response,speech_communication
Compatibility,classification_comparison
Competition,opposition_competition
Complaining,speech_act_stance
Compliance,compliance_permission
Condition_symptom_relation,evaluation_assessment
Conduct,compliance_permission
Conferring_benefit,safety_protection
Confronting_problem,attempt_outcome
Conquering,conflict_war
Contacting,speech_communication
Containing,spatial_placement
Contingency,transformation
Contrition,emotion
Control,control_manipulation
Convey_importance,evaluation_assessment
Cooking_creation,subsistence_production
Corporal_punishment,reward_punishment
Corroding,material_process
Cotheme,self_motion
Court_examination,crime_law
Create_physical_artwork,construction_creation
Create_representation,construction_creation
Cure,health_medical
Cutting,hands_on_manipulation
Damaging,damage_destruction
Daring,persuasion_suasion
Death,biological_state
Deciding,reasoning_decision
Delimitation_of_diversity,classification_comparison
Delivery,transfer_possession
Deny_or_grant_permission,compliance_permission
Departing,self_motion
Deserving,evaluation_assessment
Desirability,desire_want
Desirable_event,desire_want
Desiring,desire_want
Destroying,damage_destruction
Detaching,hands_on_manipulation
