model,tier,period,poems,num_parses,num_parses_poets_same_period,num_parses_rewind_years,num_parses_censored,uip,uip_poets_same_period,uip_rewind_years,uip_censored
Llama-3.1-8B base,base,1600,102,2.81,2.953,,True,15.127,15.646,0.0,
Llama-3.1-8B base,base,1650,166,2.634,2.927,,True,15.918,16.339,0.0,
Llama-3.1-8B base,base,1700,273,2.614,2.632,,True,16.676,19.568,0.0,
Llama-3.1-8B base,base,1750,111,2.584,2.662,,True,19.859,21.474,0.0,
Llama-3.1-8B base,base,1800,245,2.595,2.906,,True,15.482,19.802,0.0,
Llama-3.1-8B base,base,1850,223,2.673,2.791,97.762,False,17.193,18.658,0.0,
Llama-3.1-8B base,base,1900,169,3.118,3.503,27.018,False,5.646,9.925,0.0,
Llama-3.1-8B base,base,1950,329,3.544,3.973,45.625,False,4.179,5.305,0.0,
Mistral-7B base,base,1600,29,3.203,2.953,0.0,,11.409,15.646,0.0,
Mistral-7B base,base,1650,57,2.604,2.927,,True,10.712,16.339,0.0,
Mistral-7B base,base,1700,101,2.681,2.632,0.0,,17.994,19.568,0.0,
Mistral-7B base,base,1750,48,2.906,2.662,0.0,,18.038,21.474,0.0,
Mistral-7B base,base,1800,111,2.581,2.906,,True,16.623,19.802,0.0,
Mistral-7B base,base,1850,99,2.797,2.791,0.0,,13.44,18.658,0.0,
Mistral-7B base,base,1900,66,3.018,3.503,34.056,False,6.511,9.925,0.0,
Mistral-7B base,base,1950,187,3.287,3.973,65.182,False,4.671,5.305,0.0,
Llama-3.1-8B aligned,open aligned,1600,102,2.377,2.953,,True,17.8,15.646,,True
Llama-3.1-8B aligned,open aligned,1650,166,2.337,2.927,,True,19.718,16.339,,True
Llama-3.1-8B aligned,open aligned,1700,273,2.416,2.632,,True,18.115,19.568,0.0,
Llama-3.1-8B aligned,open aligned,1750,111,2.329,2.662,,True,20.347,21.474,0.0,
Llama-3.1-8B aligned,open aligned,1800,246,2.329,2.906,,True,21.347,19.802,46.205,False
Llama-3.1-8B aligned,open aligned,1850,223,2.344,2.791,,True,20.11,18.658,59.21,False
Llama-3.1-8B aligned,open aligned,1900,168,2.566,3.503,,True,13.386,9.925,19.812,False
Llama-3.1-8B aligned,open aligned,1950,329,3.08,3.973,79.677,False,9.225,5.305,42.418,False
Mistral-7B aligned,open aligned,1600,29,2.614,2.953,,True,20.981,15.646,,True
Mistral-7B aligned,open aligned,1650,57,2.511,2.927,,True,22.848,16.339,,True
Mistral-7B aligned,open aligned,1700,102,2.402,2.632,,True,16.522,19.568,0.0,
Mistral-7B aligned,open aligned,1750,48,2.501,2.662,,True,20.346,21.474,0.0,
Mistral-7B aligned,open aligned,1800,111,2.618,2.906,,True,17.078,19.802,0.0,
Mistral-7B aligned,open aligned,1850,99,2.507,2.791,,True,18.221,18.658,0.0,
Mistral-7B aligned,open aligned,1900,67,2.848,3.503,45.959,False,13.136,9.925,18.381,False
Mistral-7B aligned,open aligned,1950,188,2.984,3.973,86.464,False,10.527,5.305,53.443,False
OLMo-2,open aligned,1600,307,2.56,2.953,,True,21.243,15.646,,True
OLMo-2,open aligned,1650,455,2.766,2.927,,True,19.69,16.339,,True
OLMo-2,open aligned,1700,619,2.603,2.632,,True,19.135,19.568,0.0,
OLMo-2,open aligned,1750,373,2.614,2.662,,True,21.507,21.474,,True
OLMo-2,open aligned,1800,917,2.697,2.906,43.011,False,21.531,19.802,,True
OLMo-2,open aligned,1850,835,2.675,2.791,97.397,False,20.629,18.658,74.722,False
OLMo-2,open aligned,1900,682,3.344,3.503,11.194,False,10.088,9.925,0.929,False
OLMo-2,open aligned,1950,1009,3.752,3.973,23.519,False,6.9,5.305,17.256,False
GPT-3.5,API,1600,82,2.652,2.953,,True,19.604,15.646,,True
GPT-3.5,API,1650,134,2.764,2.927,,True,17.571,16.339,,True
GPT-3.5,API,1700,247,2.689,2.632,0.0,,17.507,19.568,0.0,
GPT-3.5,API,1750,117,2.861,2.662,0.0,,18.034,21.474,0.0,
GPT-3.5,API,1800,265,2.925,2.906,0.0,,18.166,19.802,0.0,
GPT-3.5,API,1850,223,2.772,2.791,77.548,False,19.067,18.658,17.894,False
GPT-3.5,API,1900,128,3.39,3.503,7.93,False,14.022,9.925,23.456,False
GPT-3.5,API,1950,265,3.999,3.973,0.0,,5.532,5.305,2.451,False
Claude-3-Sonnet,API,1600,106,2.332,2.953,,True,27.138,15.646,,True
Claude-3-Sonnet,API,1650,155,2.342,2.927,,True,25.749,16.339,,True
Claude-3-Sonnet,API,1700,255,2.423,2.632,,True,24.26,19.568,,True
