arm,family,period,poems,primer,delta_u,ci95,p,share_below_primer,delta_uip
poets,pooled,all,2281,3.143,-0.0173,0.08735,0.1164,0.4651,-0.4671
poets,Llama,all,1596,3.089,0.01095,0.102,0.05389,0.4612,-0.899
poets,Mistral,all,685,3.268,-0.08311,0.1677,0.959,0.4745,0.5391
poets,pooled,1600,130,2.889,0.1702,0.2856,0.1853,0.4231,1.082
poets,Llama,1600,101,2.9,0.1653,0.3362,0.2151,0.4059,-1.262
poets,Mistral,1600,29,2.85,0.1873,0.5279,0.6189,0.4828,9.247
poets,pooled,1650,222,3.189,-0.3187,0.2556,0.06387,0.5495,2.449
poets,Llama,1650,165,3.119,-0.2779,0.2925,0.244,0.5455,1.92
poets,Mistral,1650,57,3.392,-0.4367,0.5267,0.1019,0.5614,3.979
poets,pooled,1700,366,2.579,0.05767,0.1909,0.1549,0.4672,-1.38
poets,Llama,1700,268,2.622,0.01987,0.2258,0.3746,0.459,-1.684
poets,Mistral,1700,98,2.462,0.1611,0.3571,0.2274,0.4898,-0.5485
poets,pooled,1750,158,2.663,0.005116,0.2637,0.7899,0.4684,-1.482
poets,Llama,1750,110,2.697,-0.03861,0.33,0.9325,0.4818,-0.4475
poets,Mistral,1750,48,2.584,0.1053,0.4297,0.5686,0.4375,-3.852
poets,pooled,1800,357,2.752,0.2118,0.1782,0.001712,0.3978,-2.439
poets,Llama,1800,246,2.71,0.2122,0.2216,0.008298,0.4106,-3.649
poets,Mistral,1800,111,2.845,0.2109,0.2968,0.08149,0.3694,0.2435
poets,pooled,1850,318,2.746,-0.01112,0.1837,0.4337,0.4748,-3.686
poets,Llama,1850,221,2.752,0.004098,0.2162,0.4413,0.4661,-3.646
poets,Mistral,1850,97,2.733,-0.0458,0.3482,0.8421,0.4948,-3.777
poets,pooled,1900,230,3.669,-0.3505,0.2901,0.04607,0.5043,2.779
poets,Llama,1900,165,3.551,-0.2402,0.345,0.3005,0.4909,2.303
poets,Mistral,1900,65,3.966,-0.6304,0.5334,0.03677,0.5385,3.986
poets,pooled,1950,500,4.041,-0.008413,0.2562,0.5036,0.46,0.7859
poets,Llama,1950,320,3.944,0.1003,0.3047,0.1635,0.45,0.6241
poets,Mistral,1950,180,4.213,-0.2017,0.4615,0.4889,0.4778,1.074
base,pooled,all,2282,3.146,-0.2627,0.08483,0.0006089,0.5026,-2.833
base,Llama,all,1597,3.093,-0.2199,0.09938,0.02196,0.4959,-2.659
base,Mistral,all,685,3.271,-0.3624,0.1617,0.006443,0.5182,-3.238
base,pooled,1600,131,2.894,0.002859,0.3037,0.9001,0.4809,1.569
base,Llama,1600,102,2.907,-0.09672,0.3324,0.6918,0.4804,0.9605
base,Mistral,1600,29,2.85,0.3531,0.7149,0.6654,0.4828,3.708
base,pooled,1650,222,3.189,-0.5659,0.2367,7.294e-05,0.5721,-0.9665
base,Llama,1650,165,3.119,-0.4889,0.2799,0.00451,0.5515,0.09017
base,Mistral,1650,57,3.392,-0.7889,0.4386,0.003283,0.6316,-4.025
base,pooled,1700,365,2.581,0.04835,0.1834,0.05745,0.4301,-2.981
base,Llama,1700,268,2.622,-0.007197,0.2162,0.2848,0.444,-2.886
base,Mistral,1700,97,2.467,0.2018,0.3454,0.06085,0.3918,-3.243
base,pooled,1750,158,2.663,0.01198,0.2814,0.75,0.481,-1.096
base,Llama,1750,110,2.697,-0.1235,0.3363,0.633,0.5,0.9186
base,Mistral,1750,48,2.584,0.3224,0.5079,0.2164,0.4375,-5.712
base,pooled,1800,356,2.753,-0.1621,0.169,0.5865,0.4719,-6.334
base,Llama,1800,245,2.711,-0.1157,0.2065,0.9886,0.4653,-7.436
base,Mistral,1800,111,2.845,-0.2646,0.2935,0.35,0.4865,-3.903
base,pooled,1850,318,2.746,-0.03112,0.1797,0.5054,0.4811,-6.869
base,Llama,1850,221,2.752,-0.07283,0.2113,0.9882,0.5113,-4.72
base,Mistral,1850,97,2.733,0.06393,0.3406,0.282,0.4124,-11.76
base,pooled,1900,231,3.687,-0.5913,0.2911,0.0004336,0.5844,-2.246
base,Llama,1900,166,3.572,-0.4456,0.3462,0.03059,0.5542,-3.314
base,Mistral,1900,65,3.982,-0.9633,0.5305,0.001714,0.6615,0.4828
base,pooled,1950,501,4.041,-0.5778,0.242,0.00047,0.5349,-0.4709
base,Llama,1950,320,3.948,-0.3959,0.297,0.07544,0.4969,-0.8492
base,Mistral,1950,181,4.206,-0.8995,0.413,0.000585,0.6022,0.1978
aligned,pooled,all,2284,3.148,-0.577,0.08335,6e-31,0.5744,1.232
aligned,Llama,all,1597,3.094,-0.5671,0.09606,2.071e-23,0.5773,1.248
aligned,Mistral,all,687,3.273,-0.5999,0.1642,2.823e-09,0.5677,1.195
aligned,pooled,1600,131,2.894,-0.4648,0.2429,0.0009676,0.6412,5.769
