lineage,n_words_aligned,n_words_base,n_sents_aligned,n_sents_base,n_sylls_aligned,n_sylls_base,sent_len_aligned,sent_len_base,sent_len_cv_aligned,sent_len_cv_base,phrase_sylls_aligned,phrase_sylls_base,phrase_cv_aligned,phrase_cv_base,stress_density_aligned,stress_density_base,n_windows_aligned,n_windows_base,clash_rate_aligned,clash_rate_base,clash_lex_rate_aligned,clash_lex_rate_base,lapse2_rate_aligned,lapse2_rate_base,alt2_aligned,alt2_base,ibi2_cv_aligned,ibi2_cv_base,num_parses_aligned,num_parses_base,num_viols_allparse_sum_aligned,num_viols_allparse_sum_base,num_viols_bestparse_aligned,num_viols_bestparse_base,num_monosylls_aligned,num_monosylls_base,mviol_s_unstress_allparse_sum_aligned,mviol_s_unstress_allparse_sum_base,mviol_w_stress_allparse_sum_aligned,mviol_w_stress_allparse_sum_base,imperfect_aligned,imperfect_base,imperfect_s_unstress_aligned,imperfect_s_unstress_base,dep_dist_aligned,dep_dist_base,left_head_aligned,left_head_base,tree_depth_aligned,tree_depth_base,dep_conj_aligned,dep_conj_base,dep_advcl_aligned,dep_advcl_base,dep_relcl_aligned,dep_relcl_base,dep_amod_aligned,dep_amod_base,dep_advmod_aligned,dep_advmod_base,dep_prep_aligned,dep_prep_base,dep_compound_aligned,dep_compound_base,dep_ccomp_aligned,dep_ccomp_base,dep_npadvmod_aligned,dep_npadvmod_base,dep_poss_aligned,dep_poss_base,dep_nsubjpass_aligned,dep_nsubjpass_base,dep_mark_aligned,dep_mark_base,commas_per_sent_aligned,commas_per_sent_base,nuc_pos_aligned,nuc_pos_base,gstress_hi_aligned,gstress_hi_base,tstress_sd_aligned,tstress_sd_base,error_aligned,error_base
01-ai/Yi-1.5-9B,2227.4444444444443,896.1830985915493,115.44444444444444,64.36619718309859,3106.4444444444443,1187.1267605633802,19.67568204362259,16.272837863393985,0.41838804536993973,0.43432885686841505,10.678371778215029,11.395793953739851,0.6279995814251209,0.6220251418313352,0.37414364798635924,0.37689897434413455,213.22222222222223,87.29577464788733,0.37865083420617196,0.3821548222955726,0.34381324589077095,0.33572831745748316,0.3067016998583085,0.29816131076653896,0.6308759493705499,0.6356229563958203,0.40520616569425605,0.3946867819827009,4.314808366390369,4.279729124520191,11.030316229084612,10.65285069693285,1.4103823515565361,1.3854981983908885,5.5495473381000595,5.73979241339067,3.929476241298909,3.810851112839144,2.3581315573934254,2.313440139746149,0.8495397313861557,0.840606365111554,0.794018600128809,0.768146299949556,2.246112058320581,2.2095500559594528,0.4954986381873435,0.5073547971007357,5.710424517877002,4.808331024252983,8.141006683765147,9.114132458338915,2.175814948588404,1.987907337363341,2.700096012125527,1.5158584954548782,5.264757527269257,4.610319315416987,3.6903232438045754,4.552644340887345,11.211508433231739,9.515351297971224,1.539699158922363,1.9241612167440358,2.665270791663643,4.0157812054853546,0.4355370026216512,0.4379448524948686,4.121044812820216,3.5365531072539222,1.4185754864380649,1.5089901666112786,1.812090887751249,2.0556741528694027,1.4879072418110573,0.9210829991157484,0.9582636073558793,0.9730141035515751,0.17347557611535452,0.19628948707687363,0.2721387096127869,0.28043239927562946,,
BSC-LT/salamandra-7b,1430.1363636363637,1633.7222222222222,89.27272727272727,99.18518518518519,1910.7272727272727,2130.8333333333335,18.887161688698807,17.53583684161658,0.5214387278603305,0.5698313578488682,11.13197097610801,11.105583866034422,0.6833725899480521,0.6762007931112332,0.38231176153801133,0.3712537652964536,138.04545454545453,157.09259259259258,0.39388790889011677,0.3756684441378024,0.3477038932411402,0.3294083609041504,0.2929800058497877,0.31526826606348873,0.6390640640615962,0.6192666246898997,0.39169473804587135,0.396292602742267,4.301192910915504,4.110262701758396,10.771457878329251,9.725176574051646,1.3605359799074006,1.2796212039966164,5.86487064538141,6.155895697881911,3.635874715266459,3.2911621673747704,2.478153014833396,2.2746662829500335,0.8201762336988137,0.7961314774370769,0.7456251620691837,0.7096265729717017,2.3120463447041413,2.3254738392140037,0.5027212622821682,0.5173912366960646,5.017120222806543,4.7925074200630835,8.28444798393554,8.585709341584312,2.3975252785680086,1.9299340616079865,1.6926959040285363,1.7218852639544793,4.144375406903525,3.917862855963707,5.215971651590959,5.368676325467083,9.810548407990195,9.95095138760501,1.9446230841130523,2.0794295353313434,4.04289811641539,3.816139398740947,0.648388304464554,0.6627088739049052,4.047523634870799,3.2419438054480376,1.4645025882550904,1.5758642955623603,1.773948997489012,1.9846780479638528,1.1381687913239737,0.9833862833902645,0.9701437509874601,0.9716305221375174,0.19083604995971226,0.19099186410377061,0.27488933349532035,0.2762949653638228,,
EleutherAI/pythia-2.8b,1230.9333333333334,1365.875,74.74666666666667,99.30357142857143,1623.0666666666666,1738.625,18.134851324216157,14.965358353515345,0.5520798143544622,0.631305931207921,10.762985774499848,9.326427915081544,0.6638174560569523,0.715798188135363,0.3762069359402362,0.37360302460080613,119.66666666666667,132.64285714285714,0.3826696765592561,0.37572990010061913,0.33600802295275783,0.3212269222121066,0.29986282733175834,0.30796869039853164,0.6352736855186992,0.6240026466616405,0.3930327589552122,0.3874393323265308,4.115745296029339,4.097208048306557,9.680810396486098,9.354998580042464,1.2838982661450113,1.2365456678620306,6.043080156991781,6.449283775140112,3.2475800477802363,3.1012488402003364,2.246943629420155,2.2876050143807065,0.8017041941029794,0.7855210064410995,0.7164267708144124,0.6865671515616208,2.311626246413792,2.263938161472766,0.5097797229733119,0.528083447291696,4.841191626867363,4.209054551483941,8.704017947360324,6.983489383261828,2.0114645816089047,2.1797433191717785,1.622226745857277,1.6966528918868786,3.9860385054672203,3.770236036596967,5.6950139264743935,6.3536220474094725,9.195508603054918,8.953799117340695,1.839172267347271,1.7222452091304807,4.49299183826484,4.08650331015571,0.5888717501331311,0.6652545947967382,3.309183199322362,2.750269386855996,1.1833315515905882,1.2116593132405324,1.824133057082945,1.8971199853647351,1.113622896808497,0.8835193932769297,0.965784714933695,0.9562896491186017,0.18965028637209863,0.20955688685980497,0.27670262296448506,0.2864187117873242,,
EleutherAI/pythia-6.9b,670.7333333333333,1324.8,34.6,84.01818181818182,923.4222222222222,1713.3636363636363,21.08234290761756,17.8097732440859,0.5029336043768647,0.5882950521108994,11.829859893841485,10.271323448778297,0.6347459584526852,0.6839603105621778,0.36596783979354885,0.37762140607886535,65.33333333333333,127.25454545454545,0.37479406740780874,0.3873043444337582,0.33276157723128874,0.34091353627661375,0.31368672547112747,0.30547901676901357,0.6274447630348656,0.6225139232696325,0.40016281121023606,0.40262250472996813,4.292836159069908,4.028969163828071,10.557575191470166,9.305344863460233,1.3596057399773924,1.291981136364849,5.800107629623436,6.27019389323242,3.843957291032128,3.133215166098025,2.2219973712781576,2.250270138297705,0.8263818879243617,0.8098507494791085,0.7672830695716163,0.7098207378977894,2.382948341609098,2.339113540977719,0.49940499667648425,0.5088498450751853,5.43248008591567,4.753516118002728,9.679123863376828,7.7103231978257885,1.9174015120959007,2.3591448553849994,1.7849500775140466,1.6313814914188423,5.438327166390924,4.302641379035407,5.301901537250825,5.4568313830153325,10.18089215528799,10.093033065524995,1.9568537785986808,1.8705058692926892,3.6099225576902403,3.7394433490093624,0.42353365363109374,0.5869888983339713,2.8520568642905864,3.702554923661385,1.4253662596297323,1.1616448595841964,1.846753615789998,1.9777380009643741,1.3369519849076528,1.1222767892325722,0.9749521070190853,0.969693062505806,0.17859006427282978,0.1884784696687116,0.2693351439678187,0.27647128496130047,,
HuggingFaceTB/SmolLM2-360M,1796.4545454545455,1795.7692307692307,110.0,120.76923076923077,2349.7727272727275,2336.3076923076924,46.127816210131925,16.82811121416497,0.5695534471089357,0.6080609806685383,13.895046451558112,10.2807388104001,0.7084114286789484,0.7147802414896888,0.3804070384910588,0.3863559046030165,174.04545454545453,175.82051282051282,0.3954696540397187,0.4040713935379369,0.3498376626786794,0.35215933007282546,0.29826226225058744,0.28887585291259427,0.6306911217493533,0.636577304908129,0.40681801165553516,0.3920833212938516,4.223420447914742,4.057577403356632,10.332661916773453,9.927102855190094,1.3505093553608452,1.3241023142357047,6.028196089521637,6.147334951445901,3.5395368762276367,3.349517201784745,2.3489446405346226,2.3624267555114207,0.8247394457140081,0.799790026093124,0.7400413948087915,0.7150909413594478,2.3923917064315208,2.2616328689115726,0.5073147922608171,0.5163498489288603,5.201606713434023,4.571087194080494,7.514790255243867,8.153134191127373,2.1788231378639757,1.7744168821626731,1.9334537755548766,1.733734355885848,4.925577144070565,4.181871474581655,4.818244308413974,5.101703819720872,10.819938012243899,9.562166481688443,2.402378705744857,2.967536496725406,3.246260468578513,3.502747313639035,0.6806899487301785,0.6737797338517867,3.364783339857178,2.6892866389304304,1.236895650702589,1.3143559503315358,1.8600037879539486,1.4442997432850462,1.4349312544058093,0.9109300265593837,0.9281613726284005,0.9373266684248355,0.18464736154404016,0.20699935551467769,0.2718664043699599,0.28027738549439596,,
HuggingFaceTB/SmolLM3-3B-Base,2280.6315789473683,1532.5753424657535,160.1315789473684,105.02739726027397,3089.2894736842104,1947.3561643835617,16.11574369640107,15.780219137932674,0.560979045305384,0.5848493227346823,9.897351479392638,10.464662505653546,0.6561347587981096,0.6573094876159286,0.38566952382714975,0.37937541627286503,221.5,149.3972602739726,0.3992797849116481,0.3966987942787718,0.34463316571732855,0.3394312569124704,0.2870559351271998,0.30359665838339467,0.6387601122469644,0.6218937019848132,0.38896862822250333,0.39288453010869934,4.283831403755269,4.047520559546658,10.716903889287005,9.379340063220228,1.394064423493527,1.2847659173060746,5.744792929145801,6.461632995543192,3.5859079617664245,3.1141996788721915,2.478179490791731,2.3387057873319166,0.8303259219553049,0.7947160352006921,0.7494428878933215,0.6961511329741036,2.2163072436944553,2.2432392119638993,0.5096658046930979,0.5212249717073489,4.628895613280693,4.462643226594599,7.586728538163593,7.976248491986627,2.586796128088928,1.9635206171842992,1.7964364929200376,1.736661816640369,4.6423540732097806,3.8279131691917354,5.747217522517077,5.65759720989993,9.8949645381215,9.438025071308155,1.5547430008911618,1.8962925070232854,3.7380586196120085,3.856733548704029,0.6089811512648625,0.6477805543815421,3.817313279970031,3.0456854118138468,1.2695595269936353,1.5379725293050857,1.7849857669672882,1.7566786669833478,1.1085308890984096,0.8884790077831114,0.9691628533052852,0.965645918150287,0.20699242283967037,0.20805130062797353,0.28261439721278103,0.2833985834127454,,
LLM360/Amber,544.1739130434783,1285.5806451612902,24.121739130434783,77.03225806451613,786.704347826087,1690.774193548387,22.536209440580198,20.229170118290877,0.38910035364453116,0.7049637920704074,13.863980096092934,10.535867051697004,0.6119710034856815,0.7306729711921599,0.3796141243959349,0.3807382905214798,51.97391304347826,124.51612903225806,0.37462810506469374,0.39330981229824424,0.3501002456176023,0.3465725305688847,0.2918606928747581,0.3021203247386438,0.6478873408442192,0.620572291820685,0.40699322175187,0.4132703065869191,4.3017739987927435,4.168108235304044,11.19336499548797,9.916628227260414,1.450642497968896,1.3382441556053626,5.201727821018047,6.119974463672363,4.053382064491101,3.297221913962982,2.3017855586658813,2.4073153662301774,0.858317683292829,0.8176270313486903,0.8027084661778229,0.7279564363523032,2.311038287708173,2.5007369993815076,0.4816055065125042,0.5169883596563899,6.172820699314386,4.709480088505511,9.592304333902979,8.485465743936855,2.68130152126846,2.0898524951787176,2.3005983773801275,1.5766349010957095,5.643508186093537,4.799568091492187,4.617830515285705,5.613256862937683,10.575427337206397,9.417230019483364,1.719520715627477,2.59728863034017,3.42140089660436,3.8778703780708232,0.43468631379795786,0.7397711765293674,4.141629750275475,3.3481066919620224,1.1195318199031012,1.0747941597381905,2.011697541048015,1.7279438788697172,1.3291976294726497,1.3832629269414745,0.9820062677476294,0.9588729144515257,0.15840771583838997,0.18737755861904457,0.26303262755775025,0.2738201211887671,,
OpenLLM-France/Lucie-7B,1127.48,1409.3023255813953,64.04,99.48837209302326,1510.32,1825.9302325581396,17.82016968537054,16.729487613354806,0.36471278472081237,0.5539172051131731,11.636509774802727,10.890331082783764,0.5385148357475332,0.6509233418553285,0.3692572360749909,0.3869676096983175,109.96,136.11627906976744,0.3785176589382019,0.4070331821887731,0.3408473453200477,0.35429141223431976,0.3042018183895193,0.29077982559914306,0.6406779666914789,0.6322125258242157,0.38634634532294515,0.3960735728109194,4.186897422976137,4.270338995637686,10.412918994681686,10.409152599114742,1.3724610698099695,1.3518135943453646,5.890809468507801,6.256026985076857,3.854049973718292,3.2538682298536337,2.1702780890368567,2.67286617984687,0.8402987255438878,0.8268165470698242,0.7830792089257632,0.7262288446998041,2.2116195802068073,2.2810179351056683,0.4887605207961436,0.527639251071607,5.210007453400516,4.595263326660175,10.24474713607387,6.99897772535065,2.7455896498471435,2.0942643919993857,1.8563454996431394,1.5864060555711739,4.387077690995785,4.107823026609167,3.8966139937296322,5.636179808301373,9.459277092152675,9.432703347158052,1.1881470374980219,2.1113196643204066,4.177389630725321,4.0044655473324084,0.4071349600086158,0.6906021812588311,3.20446410028571,3.7202190677242273,1.0499514720566756,1.4566502477462413,2.606515120355277,1.7756569495020804,1.0670188381609649,0.9759421911212397,0.9819913990723598,0.9688443034845872,0.1782403417788823,0.19911647694636353,0.2766768950322941,0.27885899976663286,,
Qwen/Qwen2.5-0.5B,2453.4444444444443,1776.421052631579,134.0,114.47368421052632,3244.4444444444443,2265.7894736842104,18.814973155056293,17.380164655827556,0.5314258468582964,0.5895770337828831,11.287544993186,10.539015053808892,0.6648715500181274,0.6645731807146266,0.37199975930143087,0.3658186976794687,233.22222222222223,173.57894736842104,0.3857016836906727,0.37157874822430065,0.34459116872703616,0.3238018858171825,0.3069120704469211,0.31201614510871245,0.6243854130895333,0.6244945984196528,0.3993727661417605,0.3916823070659782,4.1537560785264205,4.011663494881592,10.031690788959711,9.168966410048162,1.3373483458418467,1.252735600283135,6.07565186019125,6.330785155770805,3.5351417583682916,3.220319101036108,2.2725084146988386,2.0565887805018965,0.8235400499671244,0.7909209500472482,0.7388255127717326,0.7118475784358695,2.3659769333288705,2.3185171402330167,0.5107383023833864,0.5242525548886112,5.066776336409138,4.695682485565245,9.005840251821645,7.6931891799235945,1.8207888672962886,2.025190214011638,1.8369624609329993,1.8913949946579582,4.297878276690813,4.174913267926515,5.350093815933783,5.550163797417281,10.082620364090909,9.78585208891321,1.1928294575264586,1.3878933412458048,4.247886826004567,4.119926438447377,0.3761990125618553,0.5836572822129034,2.544950610068882,2.4452496200431204,1.5101710992821546,1.7170848415617483,1.9696727603514619,2.0415927898056214,1.1777018600963811,1.0409503334932382,0.97953225836965,0.9671561141863627,0.17460849273412277,0.19130155823507308,0.2713734548355443,0.2791631837536437,,
Qwen/Qwen2.5-7B,2483.3846153846152,1887.5,149.69230769230768,112.93333333333334,3212.923076923077,2448.766666666667,17.876223507073405,17.804244679196064,0.5689098548526842,0.5647103627577554,9.66303437386027,11.020154008109383,0.6618148338729346,0.6805893374934983,0.3560398817388176,0.3700082539390744,239.07692307692307,183.16666666666666,0.3606723917478437,0.38025601168089074,0.3147611182212733,0.33414260493112946,0.3341249886515144,0.3154509249228623,0.6073444907403707,0.6212543821109382,0.397126187250045,0.39283285813124535,4.014848103720188,4.087849622071548,9.1099831480326,9.344504248389574,1.2532041236648734,1.256131017102405,6.343208286022275,6.28352894764045,3.3329199722850995,3.2650235830620606,1.9808873958235425,2.12559628809389,0.7846740488981006,0.7975343365316554,0.7094215034171367,0.7152321084419274,2.3825628424848966,2.3105784913479677,0.5213407918134559,0.5203197579365957,4.782388156709296,4.957513262165528,10.243537650133227,7.7858932625306965,1.7816678062653541,2.1382814038715687,1.6131600758987399,2.0443147597440023,4.089881411983419,4.4786307893983155,4.570855709037089,5.507906364873131,8.711860376582024,10.093540713877973,1.0644228753303415,1.744779314767662,3.8267603709413383,3.7274785133691184,0.4823097018490514,0.48967249779291316,3.02507044534445,2.6628732791062792,1.4148554172774566,1.6040160755423132,2.2003044169851944,2.02030381407693,1.3251119651146785,0.9905608641868374,0.9725208255485476,0.9677974946599713,0.18487576507455736,0.1873118666901212,0.2762115957895219,0.2754106830648306,,
