model,tier,scope,kind,poems,rewind,ci95,model_date,poets_date,true_year,config
Llama-3.1-8B base,base,all periods,metrical years,1615,8.7,2.61,1817.76,1826.46,1824.83,"base features, poets + primers"
Llama-3.1-8B base,base,all periods,calibrated years,1615,8.29,2.49,1820.27,1828.56,1824.83,"base features, poets + primers"
Llama-3.1-8B base,base,1600,metrical years,101,10.34,12.25,1801.06,1811.4,1639.11,"base features, poets + primers"
Llama-3.1-8B base,base,1600,calibrated years,101,8.28,10.87,1805.12,1813.4,1639.11,"base features, poets + primers"
Llama-3.1-8B base,base,1650,metrical years,166,3.79,7.38,1803.23,1807.02,1673.43,"base features, poets + primers"
Llama-3.1-8B base,base,1650,calibrated years,166,1.97,6.92,1806.84,1808.8,1673.43,"base features, poets + primers"
Llama-3.1-8B base,base,1700,metrical years,273,0.6,6.0,1806.36,1806.95,1722.92,"base features, poets + primers"
Llama-3.1-8B base,base,1700,calibrated years,273,0.87,5.66,1808.59,1809.46,1722.92,"base features, poets + primers"
Llama-3.1-8B base,base,1750,metrical years,111,10.03,8.34,1807.73,1817.75,1770.0,"base features, poets + primers"
Llama-3.1-8B base,base,1750,calibrated years,111,8.45,7.65,1810.94,1819.39,1770.0,"base features, poets + primers"
Llama-3.1-8B base,base,1800,metrical years,245,7.28,6.05,1809.68,1816.95,1823.7,"base features, poets + primers"
Llama-3.1-8B base,base,1800,calibrated years,245,6.8,5.8,1812.02,1818.81,1823.7,"base features, poets + primers"
Llama-3.1-8B base,base,1850,metrical years,223,7.36,6.91,1810.04,1817.4,1874.96,"base features, poets + primers"
Llama-3.1-8B base,base,1850,calibrated years,223,7.08,6.55,1813.14,1820.22,1874.96,"base features, poets + primers"
Llama-3.1-8B base,base,1900,metrical years,168,2.82,8.69,1838.06,1840.88,1926.65,"base features, poets + primers"
Llama-3.1-8B base,base,1900,calibrated years,168,2.84,8.39,1839.85,1842.69,1926.65,"base features, poets + primers"
Llama-3.1-8B base,base,1950,metrical years,328,21.97,6.24,1844.04,1866.01,1976.63,"base features, poets + primers"
Llama-3.1-8B base,base,1950,calibrated years,328,22.35,6.16,1845.58,1867.93,1976.63,"base features, poets + primers"
Mistral-7B base,base,all periods,metrical years,696,4.87,4.05,1827.46,1832.33,1842.91,"base features, poets + primers"
Mistral-7B base,base,all periods,calibrated years,696,5.18,3.92,1829.04,1834.22,1842.91,"base features, poets + primers"
Mistral-7B base,base,1600,metrical years,29,-0.46,22.56,1818.23,1817.76,1638.28,"base features, poets + primers"
Mistral-7B base,base,1600,calibrated years,29,-0.83,21.87,1819.85,1819.02,1638.28,"base features, poets + primers"
