lineage,language,n_base,n_aligned,median_base,median_aligned,iqr_base,iqr_aligned,iqr_narrows,q1_delta,q2_delta,q3_delta,q4_delta,q5_delta,S_toward_middle
Amber,en,949,988,42835.0,70000.0,68000.0,36110.0,1,-0.18283789030003883,-0.15040763130164717,0.004658643447396166,0.26364317009594584,0.06494370805834393,0
Amber,zh,403,452,5000.0,100000.0,63453.0,90000.0,0,-0.17196249368673006,-0.1913359977162432,-0.19268099870440722,0.11564812578229647,0.4403313643250839,0
Lucie-7B,en,908,986,47500.0,50.0,45000.0,60.0,1,0.7802338465387675,-0.1796338161574823,-0.2046157214214867,-0.18528339484054293,-0.21070091411925548,0
Lucie-7B,zh,450,471,9000.0,14300.0,49880.0,53050.0,0,-0.06352441613588111,-0.05409766454352444,-0.001854210898796893,0.11422505307855624,0.005251238499646149,0
Qwen2.5-0.5B,en,966,974,57000.0,50000.0,74000.0,60000.0,1,0.013767903375974111,0.028575254760416807,0.018484744134239728,-0.027002265954145233,-0.03382563631648536,0
Qwen2.5-0.5B,zh,468,461,40000.0,50000.0,69600.0,52000.0,1,-0.0797040992268758,-0.04441292619166806,0.07463336855961583,0.05721489886348888,-0.007731242004560879,1
Qwen2.5-7B,en,958,987,45000.0,50000.0,41000.0,40000.0,1,-0.11896512702713564,0.006269393556738639,0.08532741929001866,-0.0007001245841027348,0.028068438764481035,0
Qwen2.5-7B,zh,480,481,55000.0,50000.0,33000.0,20000.0,1,-0.06692654192654193,0.09733627858627861,0.09320859320859323,-0.05248613998613996,-0.07113218988218986,1
Qwen3-8B-Base,en,963,986,45000.0,49000.0,41000.0,35000.0,1,-0.07144256349010761,-0.030029973102142365,0.10582421818227775,0.017976489123955525,-0.022328170713983297,1
Qwen3-8B-Base,zh,479,488,60000.0,58000.0,35000.0,35000.0,0,-0.015413771860775527,0.0717769259728259,0.029129162531229685,-0.03466494404325951,-0.05082737260002054,1
SmolLM2-360M,en,924,960,46881.0,60000.0,42835.0,31000.0,1,-0.13643127705627706,-0.12601461038961037,-0.0016639610389610204,0.18628246753246755,0.07782738095238095,0
SmolLM2-360M,zh,437,460,6530.0,50000.0,64750.0,142067.0,0,-0.1294050343249428,-0.11498855835240276,-0.051372997711670476,0.2102974828375286,0.0854691075514874,0
SmolLM3-3B-Base,en,939,975,16800.0,53796.0,55862.0,28000.0,1,-0.1919292209388056,-0.1489702629638732,-0.1301941508970263,0.2704349963135906,0.2006586384861145,0
SmolLM3-3B-Base,zh,427,438,59927.0,65164.5,121054.0,124624.0,0,-0.07799985028819523,-0.0778822195844428,0.09311539572038113,0.020056034989787502,0.042710639162469366,0
TinyLlama-1.1B-intermediate-step-1431k-3T,en,951,958,94000.0,93000.0,105000.0,93000.0,1,-0.12671311815493635,0.057033690500495005,0.09141130421992893,-0.00147520794504849,-0.020256668620439094,1
TinyLlama-1.1B-intermediate-step-1431k-3T,zh,443,446,6100.0,10830.0,39884.0,58070.0,0,-0.08646205549200821,-0.05522375973033436,-0.010244055512253408,0.09053133446031439,0.061398536274281545,0
Yi-1.5-9B,en,912,926,48360.0,40313.5,57856.0,59985.0,0,0.060714353378045566,0.03908292599749913,-0.03757436247205487,-0.01594293509150846,-0.04627998181198134,0
Yi-1.5-9B,zh,440,478,50315.0,53040.0,75700.0,50218.0,1,-0.07638836059338151,0.03203689615823507,0.02803347280334728,0.12426778242677822,-0.10794979079497909,1
bloom-7b1,en,937,825,57000.0,60000.0,100818.0,129185.0,0,0.07664564535428997,-0.03579185666699006,-0.04577859706995244,-0.004368552116684438,0.009293360499337017,0
bloom-7b1,zh,488,416,34255.0,34500.0,83600.0,80000.0,1,0.0023644388398486593,-0.024984237074401006,0.02762452711223204,0.03743694829760405,-0.042441677175283715,0
gemma-2-9b,en,879,960,62160.0,65000.0,112000.0,50000.0,1,-0.15694325938566553,-0.06585253128555177,0.30762585324232083,-0.027118885096700796,-0.057711177474402714,1
gemma-2-9b,zh,421,479,35000.0,80000.0,74000.0,65000.0,1,-0.13063141243386112,-0.17209745163865733,-0.06282387594900302,0.1358035098854998,0.2297492301360217,0
granite-3.0-8b-base,en,839,912,50000.0,42200.0,80000.0,46200.0,1,-0.03338090458565962,0.07746011333458797,0.08604123538882963,-0.03276143278338875,-0.09735901135436925,1
granite-3.0-8b-base,zh,423,427,30000.0,36200.0,72118.0,64640.0,1,-0.04845505229181546,-0.004401481555300901,0.051959628171696554,-0.039308828984448096,0.0402057346598679,0
kanana-1.5-8b-base,en,918,980,53168.5,60000.0,60000.0,45000.0,1,-0.16899648748388243,-0.03547418967587035,0.07456315859677207,0.1483104352852252,-0.01840291672224445,1
kanana-1.5-8b-base,zh,443,494,45000.0,87500.0,97685.0,75000.0,1,-0.12546494731358696,-0.128334597563539,-0.005565659242741328,0.21151332925124064,0.04785187486862666,0
llama-7b,en,929,964,64460.0,75000.0,69000.0,45000.0,1,-0.17527993782633358,0.020170709592699954,0.09188593454792326,0.09031931001523075,-0.02709601632952041,1
llama-7b,zh,426,481,20150.0,60000.0,88875.0,63000.0,1,-0.05084770577728323,-0.16915073253101423,0.054107737206328776,0.08428742935785191,0.08160327174411683,0
pythia-2.8b,en,888,900,48000.0,60000.0,68689.0,67000.0,1,-0.0982132132132132,-0.02582582582582582,0.021711711711711712,0.0939189189189189,0.008408408408408397,0
pythia-2.8b,zh,465,481,5400.0,17600.0,60300.0,67800.0,0,-0.0019225180515503038,-0.00500301790624369,-0.020776607873382064,0.0079002079002079,0.019801935930968212,0
salamandra-7b,en,904,912,2525.5,45001.0,25133.0,45913.0,0,-0.1475217357553175,-0.14627969259431764,-0.226808725353206,0.10569981369352582,0.41491034000931537,0
salamandra-7b,zh,448,459,51143.5,49105.0,54673.0,54016.0,1,0.021543339558045438,0.0016680283224400905,0.06484885620915032,-0.08962126517273576,0.001561041083099901,0
