id,model,arm,mode_A,mode_B,degree_A,degree_B,drift_A,drift_B,span_A
b000,PKU-Alignment/beaver-7b-v1.0,aligned,TOLD,TOLD,2,2,SHIFTS,SHIFTS,"He thought about killin' himself but then he heard about Pride and he knew he belonged."
b001,BSC-LT/salamandra-7b-instruct,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b002,ibm-granite/granite-3.0-8b-instruct,aligned,NONE,NONE,0,0,UNMOORED,UNMOORED,""
b003,PKU-Alignment/beaver-7b-v1.0,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b004,01-ai/Yi-1.5-9B-Chat,aligned,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"He knew his power and asserted it vaguely on others"
b005,ibm-granite/granite-3.0-8b-instruct,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b006,01-ai/Yi-1.5-9B,base,SHOWN,SHOWN,2,3,HOLDS,HOLDS,"It had to be meant for her, right?"
b007,bigscience/bloom-7b1,base,TOLD,TOLD,1,1,UNMOORED,UNMOORED,"he always had the luxury of not allowing himself to let them down"
b008,EleutherAI/pythia-2.8b,base,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"I believe many need validation of their lives and problems from those in our history"
b009,huggyllama/llama-7b,base,NONE,TOLD,0,1,UNMOORED,UNMOORED,""
b010,m-a-p/neo_7b,base,TOLD,TOLD,1,1,HOLDS,HOLDS,"The angel licked his lips, disturbing her."
b011,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,SHOWN,SHOWN,3,3,HOLDS,HOLDS,"But did this mean that he would be forced to become a more complex and multi-dimensional individual?"
b012,ibm-granite/granite-3.0-8b-instruct,aligned,TOLD,TOLD,1,1,HOLDS,HOLDS,"She saw a sinister ugliness in her eyeballs"
b013,openbmb/MiniCPM5-1B-Base,base,SHOWN,SHOWN,3,3,HOLDS,HOLDS,"I reminded myself that I wasn’t a control freak."
b014,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b015,HuggingFaceTB/SmolLM3-3B-Base,base,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"her predictions included money being able to buy love"
b016,meta-llama/Llama-3.1-8B,base,TOLD,TOLD,1,1,HOLDS,HOLDS,"He was just fine with her attending his no-tell motel invited bachelor party"
b017,m-a-p/CT-LLM-SFT-DPO,aligned,TOLD,TOLD,1,2,HOLDS,HOLDS,"She knew that it would take a long time to get everyone to complete all the lessons, but she had faith in herself"
b018,huggyllama/llama-7b,base,SHOWN,SHOWN,1,1,HOLDS,HOLDS,"It was his fault"
b019,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,TOLD,TOLD,1,1,HOLDS,HOLDS,"She knew where he would be, and decided to make him come to her"
b020,m-a-p/neo_7b,base,TOLD,TOLD,1,1,HOLDS,HOLDS,"began to make people begin to hysterically believe that most of the things that had been happening had been accidents"
b021,bigscience/bloomz-7b1,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b022,Qwen/Qwen2.5-7B,base,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"Anything to please his Hugo, who loved him too."
b023,01-ai/Yi-1.5-9B,base,NONE,NONE,0,0,HOLDS,HOLDS,""
b024,01-ai/Yi-1.5-9B,base,TOLD,TOLD,1,1,HOLDS,SHIFTS,"despise people even his own father"
b025,ibm-granite/granite-3.0-8b-instruct,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b026,Qwen/Qwen2.5-0.5B-Instruct,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b027,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b028,openbmb/MiniCPM5-1B,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b029,OpenLLM-France/Lucie-7B,base,NONE,NONE,0,0,HOLDS,HOLDS,""
b030,bigscience/bloomz-7b1,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b031,OpenLLM-France/Lucie-7B-Instruct-v1.1,aligned,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b032,Qwen/Qwen3-8B,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b033,01-ai/Yi-1.5-9B,base,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"Many ways he could spend his time with boredom. Why didn’t he?"
b034,LLM360/Amber,base,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"realized how happy she was and she wanted to be that happy again"
b035,huggyllama/llama-7b,base,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b036,BSC-LT/salamandra-7b,base,TOLD,TOLD,1,1,HOLDS,HOLDS,"Levi felt the emptiness of living in this world and broken by jews."
b037,tiiuae/Falcon3-7B-Instruct,aligned,SHOWN,TOLD,2,2,HOLDS,HOLDS,"There was no agony, no ever-present crash, only dark silence, peace."
