id,model,arm,lexical_A,lexical_B,semantic_A,semantic_B,repetition_A,repetition_B,frame_A,frame_B
a000,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,mangled,clean,means,means,none,none,furniture,furniture
a001,EleutherAI/pythia-2.8b,base,mangled,mangled,salad,salad,none,none,none,none
a002,openbmb/MiniCPM5-1B,aligned,clean,clean,means,means,none,none,none,none
a003,tiiuae/Falcon3-7B-Instruct,aligned,clean,clean,means,stalls,none,none,assistant,assistant
a004,HuggingFaceTB/SmolLM2-360M-Instruct,aligned,mangled,clean,stalls,stalls,none,none,none,none
a005,meta-llama/Llama-3.1-8B-Instruct,aligned,nonwords,nonwords,salad,salad,none,phrase,none,none
a006,Qwen/Qwen3-8B-Base,base,clean,clean,means,means,none,none,task,task
a007,HuggingFaceTB/SmolLM2-360M,base,clean,clean,stalls,stalls,none,none,none,none
a008,01-ai/Yi-1.5-9B-Chat,aligned,clean,clean,means,means,phrase,phrase,none,none
a009,PKU-Alignment/beaver-7b-v1.0,aligned,clean,clean,means,means,none,none,furniture,furniture
a010,ibm-granite/granite-3.0-8b-base,base,mangled,mangled,stalls,stalls,none,none,none,none
a011,LLM360/AmberSafe,aligned,clean,clean,means,means,none,none,assistant,assistant
a012,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,mangled,clean,means,means,phrase,none,none,none
a013,bigscience/bloomz-7b1,aligned,clean,clean,means,means,none,none,none,none
a014,tiiuae/Falcon3-7B-Instruct,aligned,clean,clean,means,means,none,none,assistant,assistant
a015,EleutherAI/pythia-6.9b,base,clean,clean,stalls,means,none,none,none,none
a016,bigscience/bloomz-7b1,aligned,mangled,mangled,means,means,none,none,none,none
a017,LLM360/Amber,base,mangled,mangled,salad,salad,none,none,none,none
a018,ibm-granite/granite-3.0-8b-instruct,aligned,clean,clean,means,means,none,none,furniture,furniture
a019,BSC-LT/salamandra-7b-instruct,aligned,clean,clean,means,means,none,none,none,none
a020,tiiuae/Falcon3-7B-Base,base,mangled,mangled,stalls,stalls,block,block,furniture,task
a021,ibm-granite/granite-3.0-8b-instruct,aligned,clean,clean,means,means,none,none,none,none
a022,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,mangled,clean,stalls,stalls,block,block,none,none
a023,Qwen/Qwen2.5-0.5B-Instruct,aligned,clean,clean,means,means,none,none,furniture,furniture
a024,ibm-granite/granite-3.0-8b-instruct,aligned,clean,mangled,stalls,stalls,phrase,phrase,none,none
a025,PKU-Alignment/beaver-7b-v1.0,aligned,clean,clean,means,means,phrase,phrase,furniture,furniture
a026,HuggingFaceTB/SmolLM3-3B-Base,base,mangled,clean,stalls,means,none,none,none,furniture
a027,m-a-p/neo_7b,base,mangled,mangled,means,means,none,none,task,task
a028,Qwen/Qwen2.5-7B-Instruct,aligned,mangled,mangled,stalls,stalls,none,none,furniture,furniture
a029,BSC-LT/salamandra-7b,base,mangled,mangled,stalls,stalls,none,none,furniture,furniture
a030,HuggingFaceTB/SmolLM3-3B,aligned,clean,clean,means,means,none,none,none,none
a031,tiiuae/Falcon3-7B-Instruct,aligned,clean,clean,means,means,none,none,assistant,assistant
a032,EleutherAI/pythia-6.9b,base,clean,clean,stalls,means,none,none,none,none
