word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
whispered	verb	0.8809	0.4367	92	0.003820	0.007984
quickly	adverb	0.8164	0.4331	75	0.000642	0.002373
felt	verb	0.8091	0.3922	92	0.005255	0.008524
accidentally	adverb	0.7980	0.5305	42	0.000340	0.001193
examined	verb	0.7911	0.4672	87	0.000894	0.001852
shared	verb	0.7871	0.4390	77	0.000570	0.001374
claimed	verb	0.7755	0.4898	48	0.000227	0.000847
carefully	adverb	0.7675	0.4946	88	0.001137	0.002695
muttered	verb	0.7595	0.5043	35	0.000072	0.000768
caused	verb	0.7512	0.5241	72	0.000661	0.001785
managed	verb	0.7457	0.4979	50	0.000235	0.000761
immediately	adverb	0.7446	0.4735	77	0.000732	0.001842
laughed	verb	0.7420	0.4159	86	0.001571	0.003277
sighed	verb	0.7325	0.4220	80	0.000874	0.002387
leaned	verb	0.7309	0.4764	92	0.003353	0.005003
ensured	verb	0.7259	0.5052	43	0.000153	0.000541
listened	verb	0.7216	0.4428	92	0.001195	0.001943
declared	verb	0.7214	0.3984	67	0.000564	0.001523
gently	adverb	0.7205	0.4589	91	0.002467	0.003684
observed	verb	0.7143	0.4846	36	0.000153	0.000562
grinned	verb	0.7138	0.4414	38	0.000213	0.001128
provided	verb	0.7082	0.5279	40	0.000137	0.000439
spoke	verb	0.7068	0.4400	92	0.002161	0.003109
checked	verb	0.7030	0.5645	90	0.001570	0.002540
captured	verb	0.7013	0.4128	48	0.000154	0.000400
locked	verb	0.7001	0.4915	72	0.000648	0.001178
gazed	verb	0.6971	0.4915	67	0.000590	0.001338
refused	verb	0.6964	0.4811	74	0.000548	0.001238
navigated	verb	0.6883	0.4657	38	0.000126	0.000344
gasped	verb	0.6881	0.5411	37	0.000110	0.000526
slowly	adverb	0.6879	0.5189	72	0.000527	0.001312
noticed	verb	0.6876	0.5629	91	0.003514	0.004288
stumbled	verb	0.6834	0.5688	30	0.000081	0.000432
accessed	verb	0.6805	0.4565	24	0.000064	0.000394
guided	verb	0.6798	0.5116	68	0.000419	0.000766
