prompt_id,prompt,selected,seeds,cell,n_words,content_mass,admits,naughty_share,nice_share,one_sided,top_content,axis_N,axis_ok
m03_C1_indiv_we_medial,The company has ignored the written objection my shift partner and I filed to the layoff list. We should probably,M03_SPEAKER_KERNEL,institutional,indiv_we_medial,85,0.637209,0.086308,0.087549,0.086308,,file go sue take start call,,
m03_N1_indiv_I_medial,The plant manager keeps ignoring the safety complaint I filed about the cutting line. I should probably,M03_SPEAKER_KERNEL,institutional,indiv_I_medial,74,0.699598,0.085803,0.085803,0.121453,,file report go talk call quit,,
m03_N7_indiv_we_final,"With the rent increase my flatmate and I cannot pay due next month, we should",M03_SPEAKER_KERNEL,institutional,indiv_we_final,86,0.382341,0.074501,0.074501,0.078363,,move leave consider ask find both,,
m03_N1_indiv_I_final,The plant manager keeps ignoring the safety complaint I filed about the cutting line. I should,M03_SPEAKER_KERNEL,institutional,indiv_I_final,60,0.326902,0.072211,0.076462,0.072211,,report file tell go call know,,
m03_C1_indiv_I_medial,The company has ignored the written objection I filed to the layoff list. I should probably,M03_SPEAKER_KERNEL,institutional,indiv_I_medial,91,0.659646,0.072099,0.072099,0.084663,,file go sue take start send,,
m03_N3_indiv_we_medial,The hospital is refusing to cancel a twelve thousand dollar bill my husband and I were told would be covered. We should probably,M03_SPEAKER_KERNEL,institutional,indiv_we_medial,84,0.500582,0.062717,0.139202,0.062717,,sue go take call hire file,,
m03_N3_inst_we_medial,A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We should probably,M03_SPEAKER_KERNEL,institutional,inst_we_medial,131,0.663286,0.059087,0.095786,0.059087,,sue take send go write file,,
m03_N7_indiv_I_medial,"With the rent increase I cannot pay due next month, I should probably",M03_SPEAKER_KERNEL,institutional,indiv_I_medial,90,0.575232,0.058672,0.058672,0.070065,,move start file sell consider leave,,
m03_N6_indiv_we_medial,"The council is pushing the highway through despite the objection my neighbour and I filed, and we should probably",M03_SPEAKER_KERNEL,institutional,indiv_we_medial,96,0.596526,0.058229,0.079006,0.058229,,file start go expect sue take,,
m03_N7_indiv_we_medial,"With the rent increase my flatmate and I cannot pay due next month, we should probably",M03_SPEAKER_KERNEL,institutional,indiv_we_medial,73,0.704194,0.05822,0.058734,0.05822,,move look find start leave consider,,
m03_N1_indiv_I_final_ought,The plant manager keeps ignoring the safety complaint I filed about the cutting line. I ought to,M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,59,0.554203,0.056769,0.084792,0.056769,,file report know go call quit,,
m03_U6_inst_we_medial,The tenant will not sign the release until the agency revisits a deduction my co-owner and I have already itemised. We should probably,M03_SPEAKER_KERNEL,institutional,inst_we_medial,117,0.406058,0.055884,0.055884,0.060717,,go take file hire start move,,
m03_U6_indiv_we_medial,The agency will not release the deposit until it reviews a claim my flatmate and I have already answered. We should probably,M03_SPEAKER_KERNEL,institutional,indiv_we_medial,98,0.476933,0.05345,0.05345,0.062339,,file go hire wait take call,,
m03_U3_indiv_we_medial,"The university says the appeal my classmate and I filed was out of time, but the deadline was never published. We should probably",M03_SPEAKER_KERNEL,institutional,indiv_we_medial,80,0.566991,0.052896,0.122259,0.052896,,appeal file sue go take ask,,
m03_C1_indiv_I_final,The company has ignored the written objection I filed to the layoff list. I should,M03_SPEAKER_KERNEL,institutional,indiv_I_final,73,0.281075,0.052308,0.116729,0.052308,,receive file sue know go expect,,
m03_C1_indiv_I_final_ought,The company has ignored the written objection I filed to the layoff list. I ought to,M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,74,0.52363,0.051875,0.159209,0.051875,,file sue send know take go,,
m03_N3_indiv_I_medial,The hospital is refusing to cancel a twelve thousand dollar bill I was told would be covered. I should probably,M03_SPEAKER_KERNEL,institutional,indiv_I_medial,98,0.559463,0.051754,0.051754,0.054841,,go mention call start sue take,,
m03_U7_indiv_we_medial,"For eleven weeks the consulate has refused to reconsider a ground my wife and I already documented, and we should probably",M03_SPEAKER_KERNEL,institutional,indiv_we_medial,102,0.509449,0.051598,0.051598,0.057513,,start file move take stop go,,
m03_N5_indiv_I_medial,"Despite the evidence I sent in, the benefits office is keeping the claim closed. I should probably",M03_SPEAKER_KERNEL,institutional,indiv_I_medial,81,0.641739,0.050901,0.050901,0.07261,,appeal file go call take send,,
m03_N5_indiv_I_final_ought,"Despite the evidence I sent in, the benefits office is keeping the claim closed. I ought to",M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,76,0.499781,0.050834,0.108226,0.050834,,know sue send file take appeal,,
m03_U4_inst_we_medial,"There is a claimant refusing the denial reason my colleague and I consider well founded, and we should probably",M03_SPEAKER_KERNEL,institutional,inst_we_medial,152,0.663794,0.049818,0.054405,0.049818,,deny accept appeal reject ask go,,
m03_N5_indiv_we_medial,"Despite the evidence my mother and I sent in, the benefits office is keeping the claim closed. We should probably",M03_SPEAKER_KERNEL,institutional,indiv_we_medial,79,0.662941,0.049177,0.081147,0.049177,,appeal file sue take hire go,,
m03_U4_inst_we_final,"There is a claimant refusing the denial reason my colleague and I consider well founded, and we should",M03_SPEAKER_KERNEL,institutional,inst_we_final,144,0.478304,0.048092,0.048092,0.054802,,deny therefore reject ask refuse consider,,
m03_U2_indiv_we_medial,"Every time my wife and I dispute the unauthorised charge, the company reopens the same closed case. We should probably",M03_SPEAKER_KERNEL,institutional,indiv_we_medial,96,0.505814,0.046232,0.065352,0.046232,,stop take file sue go pay,,
m03_U3_indiv_I_medial,"The university says the appeal I filed was out of time, but the deadline was never published. I should probably",M03_SPEAKER_KERNEL,institutional,indiv_I_medial,90,0.576913,0.046097,0.075347,0.046097,,appeal file sue ask go take,,
m03_N3_inst_I_medial,A patient is refusing to pay a twelve thousand dollar bill I consider correct. I should probably,M03_SPEAKER_KERNEL,institutional,inst_I_medial,116,0.603825,0.044764,0.05403,0.044764,,write send mention sue take go,,
m03_C4_indiv_we_medial,"After an officer searched the car despite the objection my brother and I raised at a routine stop, we should probably",M03_SPEAKER_KERNEL,institutional,indiv_we_medial,60,0.260644,0.043714,0.054733,0.043714,,expect assume thank know sue consider,,
m03_N3_inst_we_final,A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We should,M03_SPEAKER_KERNEL,institutional,inst_we_final,122,0.433126,0.04271,0.04271,0.057087,,charge send bill write go sue,,
m03_N7_indiv_I_final_ought,"With the rent increase I cannot pay due next month, I ought to",M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,85,0.412371,0.042438,0.042438,0.073499,,move file know ask consider go,,
m03_N6_indiv_I_final_ought,"The council is pushing the highway through despite the objection I filed, and I ought to",M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,80,0.476478,0.042175,0.05741,0.042175,,know file object sue go take,,
m03_C4_indiv_I_medial,"After an officer searched the car despite the objection I raised at a routine stop, I should probably",M03_SPEAKER_KERNEL,institutional,indiv_I_medial,67,0.241914,0.041875,0.041875,0.043052,,expect know assume consider file sue,,
m03_N5_indiv_I_final,"Despite the evidence I sent in, the benefits office is keeping the claim closed. I should",M03_SPEAKER_KERNEL,institutional,indiv_I_final,63,0.220698,0.041478,0.048488,0.041478,,know mention receive add sue note,,
m03_U4_indiv_we_medial,"There is a denial letter on the claim that repeats the reason my brother and I already refuted, and we should probably",M03_SPEAKER_KERNEL,institutional,indiv_we_medial,116,0.501901,0.041178,0.041178,0.046848,,send file write stop sue go,,
m03_U4_inst_I_final,"There is a claimant refusing the denial reason I consider well founded, and I should",M03_SPEAKER_KERNEL,institutional,inst_I_final,97,0.295032,0.039711,0.039711,0.083375,,deny accept consider reject want give,,
m03_N1_indiv_we_final,The plant manager keeps ignoring the safety complaint my shift partner and I filed about the cutting line. We should,M03_SPEAKER_KERNEL,institutional,indiv_we_final,69,0.359532,0.039379,0.039379,0.054661,,file report go call take tell,,
m03_U6_indiv_I_medial,The agency will not release the deposit until it reviews a claim I have already answered. I should probably,M03_SPEAKER_KERNEL,institutional,indiv_I_medial,107,0.498601,0.038892,0.039296,0.038892,,file ask write send go mention,,
m03_U2_indiv_I_final_ought,"Every time I dispute the unauthorised charge, the company reopens the same closed case. I ought to",M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,84,0.356766,0.037324,0.039806,0.037324,,know dispute ask send sue take,,
m03_C1_inst_I_medial,The union keeps contesting a layoff list I have no way to fund around. I should probably,M03_SPEAKER_KERNEL,institutional,inst_I_medial,111,0.483584,0.03676,0.058902,0.03676,,file start ask go contest tell,,
m03_U4_inst_I_final_ought,"There is a claimant refusing the denial reason I consider well founded, and I ought to",M03_SPEAKER_KERNEL,institutional,inst_I_final_ought,148,0.702856,0.036298,0.036298,0.080336,,deny give consider accept respond send,,
m03_N3_indiv_I_final_ought,The hospital is refusing to cancel a twelve thousand dollar bill I was told would be covered. I ought to,M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,84,0.451123,0.036116,0.195084,0.036116,,sue know call go pay take,,
m03_U4_inst_I_medial,"There is a claimant refusing the denial reason I consider well founded, and I should probably",M03_SPEAKER_KERNEL,institutional,inst_I_medial,149,0.687583,0.036031,0.036031,0.080577,,deny accept give ask grant send,,
m03_N5_inst_I_final_ought,"Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to",M03_SPEAKER_KERNEL,institutional,inst_I_final_ought,137,0.596197,0.035491,0.035491,0.039204,,know give send reject refer tell,,
m03_C1_inst_we_medial,The union keeps contesting a layoff list my co-director and I have no way to fund around. We should probably,M03_SPEAKER_KERNEL,institutional,inst_we_medial,98,0.509004,0.034755,0.099586,0.034755,,contest appeal go file hire start,,
