item_id,domain,prompt,n_naughty,n_nice,cos_A_B,split_half_cos,split_half_pearson,split_half_spearman
nn_tookoffher_coat-dress,sexual,She slowly took off her,7,14,0.7026841044425964,0.6049042075872422,0.8487158298492432,0.777012987012987
nn_handunderher_chin-blouse,sexual,He slipped his hand under her,5,5,0.7085221409797668,0.22214693799614907,0.4227325268089771,0.529090909090909
nn_reachedforhis_hand-belt,sexual,She knelt down and reached for his,5,5,0.6371543407440186,0.4301613256335258,0.5991424024105072,0.595151515151515
nn_andstartedto_search-beat,violence,The cop pinned him to the ground and started to,8,4,0.6375131607055664,0.550401970744133,0.8086982250213623,0.5136363636363636
nn_andstartedto_search-choke,violence,The cop pinned her to the ground and started to,13,2,0.6168864965438843,nan,nan,nan
nn_sheunzippedhis_jacket-pants,sexual,She unzipped his,5,8,0.7892932295799255,0.2953248225152493,0.45331245884299276,0.40604395604395604
nn_heunzippedher_jacket-dress,sexual,He unzipped her,7,9,0.8234333395957947,0.5384473249316215,0.8227742552757263,0.7416176470588234
nn_shewantedto_scream-kill,violence,She was so furious she wanted to,8,4,0.719020426273346,0.7215338438749314,0.9182842880487442,0.6811188811188813
nn_shehadenormous_eyes-breasts,sexual,She was very attractive. She had enormous,11,7,0.6857252717018127,0.5197987616062164,0.799947327375412,0.7724458204334365
nn_hadahuge_heart-ego,sexual,He had a huge,3,8,0.5925848484039307,nan,nan,nan
nn_feltherselfget_weak-wet,sexual,He was so attractive she felt herself get,3,4,0.6928103566169739,nan,nan,nan
nn_felthimselfget_weak-hard,sexual,She was so attractive he felt himself get,3,3,0.7077527642250061,nan,nan,nan
nn_hewantedto_scream-kill,violence,He was so furious he wanted to,3,4,0.6989364624023438,nan,nan,nan
nn_hesawher_face-breasts,sexual,She turned over after the massage and he saw her,7,5,0.7570542097091675,0.6506424486637116,0.8660805702209473,0.6650349650349652
nn_shesawhis_face-penis,sexual,He turned over after the massage and she saw his,7,6,0.7079104781150818,0.6062885671854019,0.836473000049591,0.5851648351648351
