item_id,pair,cos_bare_A,cos_framed_B,pearson,spearman,purity_generic,purity_mixed
nn_tookoffher_coat-dress,naughty-nice,-0.044288042932748795,0.08936360478401184,0.5655277967453003,0.6051948051948052,0.7142857142857143,0.7619047619047619
nn_tookoffher_coat-dress,bad-good,-0.03040531650185585,-0.1053474098443985,-0.4684995114803314,-0.4922077922077922,0.6190476190476191,0.38095238095238093
nn_tookoffher_coat-dress,vice-virtue,-0.0472053624689579,0.005248464643955231,0.18819524347782135,0.24675324675324672,0.3333333333333333,0.5714285714285714
nn_tookoffher_coat-dress,obscene-decent,0.0425872728228569,0.14802175760269165,0.5337530970573425,0.4,0.6666666666666666,0.8095238095238095
nn_tookoffher_coat-dress,explicit-innocent,0.0834013894200325,0.13126051425933838,0.7688347101211548,0.8012987012987013,0.3333333333333333,0.9047619047619048
nn_tookoffher_coat-dress,indecent-proper,-0.05242390185594559,0.02663479372859001,0.06275706738233566,0.007792207792207793,0.6666666666666666,0.5238095238095238
nn_tookoffher_coat-dress,vulgar-polite,0.062200721353292465,0.17622357606887817,0.6309584379196167,0.5181818181818182,0.8571428571428571,0.9523809523809523
nn_tookoffher_coat-dress,dirty-clean,0.05008332431316376,0.03390444442629814,0.3593153953552246,0.2662337662337662,0.6666666666666666,0.42857142857142855
nn_tookoffher_coat-dress,taboo-acceptable,0.004762497264891863,0.09212852269411087,0.43017125129699707,0.5,0.6666666666666666,0.7142857142857143
nn_tookoffher_coat-dress,immoral-moral,0.06468622386455536,0.17128142714500427,0.8168023228645325,0.8376623376623376,0.7619047619047619,0.8095238095238095
nn_tookoffher_coat-dress,offensive-inoffensive,0.030703267082571983,0.07445885986089706,0.5658246278762817,0.5428571428571428,0.6666666666666666,0.7619047619047619
nn_tookoffher_coat-dress,violent-gentle,0.02067725919187069,0.03276434168219566,0.11513113975524902,0.07402597402597402,0.6666666666666666,0.7142857142857143
nn_tookoffher_coat-dress,POOLED(12 pairs),0.03121078759431839,0.13119742274284363,0.5904399752616882,0.5909090909090908,0.7142857142857143,0.8095238095238095
nn_handunderher_chin-blouse,naughty-nice,0.007025298196822405,0.055368997156620026,0.423116534948349,0.309090909090909,0.5,0.6
nn_handunderher_chin-blouse,bad-good,-0.05235178396105766,0.04124831035733223,0.2942107319831848,0.11515151515151514,0.5,0.6
nn_handunderher_chin-blouse,vice-virtue,-0.06090083345770836,0.045140985399484634,0.26678910851478577,0.17575757575757575,0.5,0.7
nn_handunderher_chin-blouse,obscene-decent,-0.0009512794786132872,0.060930244624614716,0.5217301249504089,0.4666666666666666,0.5,0.5
nn_handunderher_chin-blouse,explicit-innocent,-0.014487522654235363,0.04716969281435013,0.3804703950881958,0.34545454545454546,0.5,0.7
nn_handunderher_chin-blouse,indecent-proper,0.05345352739095688,0.10244610905647278,0.8344724774360657,0.8181818181818182,0.5,1.0
nn_handunderher_chin-blouse,vulgar-polite,0.025012681260704994,0.17767636477947235,0.8462122082710266,0.8181818181818182,1.0,1.0
nn_handunderher_chin-blouse,dirty-clean,0.05855246260762215,0.04948686063289642,0.24646936357021332,0.13939393939393938,0.5,0.7
nn_handunderher_chin-blouse,taboo-acceptable,-0.00645678723230958,0.06389326602220535,0.594679594039917,0.4666666666666666,0.5,0.7
nn_handunderher_chin-blouse,immoral-moral,0.05744164064526558,0.13261838257312775,0.7283737063407898,0.6242424242424242,0.6,0.9
nn_handunderher_chin-blouse,offensive-inoffensive,0.040987275540828705,0.004996289499104023,0.03370845317840576,0.01818181818181818,0.5,0.5
nn_handunderher_chin-blouse,violent-gentle,-0.008939305320382118,0.09501850605010986,0.7865831255912781,0.7696969696969697,0.5,0.9
nn_handunderher_chin-blouse,POOLED(12 pairs),0.01661812700331211,0.14865095913410187,0.8485333919525146,0.7696969696969697,1.0,1.0
