base,aligned,alpha,beta,T
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.0,0.0,3.890827
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.0,0.25,3.802102
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.0,0.5,3.728248
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.0,0.75,3.664989
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.0,1.0,3.610032
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.25,0.0,3.856983
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.25,0.25,3.771883
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.25,0.5,3.700576
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.25,0.75,3.639219
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.25,1.0,3.585684
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.5,0.0,3.816934
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.5,0.25,3.736245
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.5,0.5,3.668217
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.5,0.75,3.609449
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.5,1.0,3.557973
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.75,0.0,3.772176
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.75,0.25,3.696547
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.75,0.5,3.632439
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.75,0.75,3.576886
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.75,1.0,3.528071
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,1.0,0.0,3.725898
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,1.0,0.25,3.655954
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,1.0,0.5,3.596315
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,1.0,0.75,3.544451
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,1.0,1.0,3.498723
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.0,0.0,3.797668
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.0,0.25,3.718467
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.0,0.5,3.648318
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.0,0.75,3.586916
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.0,1.0,3.533465
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.25,0.0,3.709014
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.25,0.25,3.637710
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.25,0.5,3.575741
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.25,0.75,3.521898
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.25,1.0,3.475201
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.5,0.0,3.576630
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.5,0.25,3.522298
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.5,0.5,3.474822
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.5,0.75,3.433182
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.5,1.0,3.396815
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.75,0.0,3.437691
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.75,0.25,3.401251
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.75,0.5,3.368440
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.75,0.75,3.339105
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,0.75,1.0,3.313180
