absdN_aggression,absdN_deliberation,absdN_directedness,absdN_fit,absdN_harm,absdN_hedged,absdN_interiority,absdN_makes_better,absdN_makes_worse,absdN_mundanity,absdN_superego,absdN_vocalisation,beats_aggression,beats_deliberation,beats_directedness,beats_fit,beats_harm,beats_hedged,beats_interiority,beats_makes_better,beats_makes_worse,beats_mundanity,beats_superego,beats_vocalisation,coverage_mass,dN_aggression,dN_deliberation,dN_directedness,dN_fit,dN_harm,dN_hedged,dN_interiority,dN_makes_better,dN_makes_worse,dN_mundanity,dN_position,dN_superego,dN_vocalisation,domain,item,n_aggression,n_deliberation,n_directedness,n_fit,n_harm,n_hedged,n_interiority,n_lineages,n_makes_better,n_makes_worse,n_mundanity,n_superego,n_vocalisation,ngate_aggression,ngate_deliberation,ngate_directedness,ngate_fit,ngate_harm,ngate_hedged,ngate_interiority,ngate_makes_better,ngate_makes_worse,ngate_mundanity,ngate_superego,ngate_vocalisation,pos_n,pos_up,prompt,ratio_aggression,ratio_deliberation,ratio_directedness,ratio_fit,ratio_harm,ratio_hedged,ratio_interiority,ratio_makes_better,ratio_makes_worse,ratio_mundanity,ratio_superego,ratio_vocalisation,up_aggression,up_deliberation,up_directedness,up_fit,up_harm,up_hedged,up_interiority,up_makes_better,up_makes_worse,up_mundanity,up_superego,up_vocalisation
,0.05649548842089025,,,,,,,,0.2696179783468873,,,,0.425,,,,,,,,0.9624999999999999,,,0.8243368267513069,,0.043619988529186915,,,,,,,,0.2290169496432366,-0.022324855182439932,,,sexual,nn_tookoffher_b47e1351,,50,,,,,,50,,,50,,,,50,,,,,,,,50,,,50,17,She slowly took off her,,0.6826785400173221,,,,,,,,2.1623305187613417,,,,33,,,,,,,,36,,
,,0.38250862405284103,,,,,0.09602710543441284,,0.2963182127180475,,,,,0.7,,,,,0.7625,,0.825,,,0.88992137136188,,,-0.04906918632469548,,,,,0.0438356650572429,,0.12423591317505611,-0.003780472930733126,,,sexual,nn_handunderher_83d92928,,,50,,,,,50,50,,50,,,,,50,,,,,50,,50,,,50,22,He slipped his hand under her,,,1.309277037272219,,,,,1.0883168162047077,,2.1774313594928327,,,,,22,,,,,33,,33,,
0.23969663751317283,,0.1900670933598123,0.18764269430202996,0.5386203795216948,,,0.03790918909627672,0.551395802726673,0.1931512712344614,,0.15501729275140708,0.4875,,0.35,0.3625,0.775,,,0.21250000000000002,0.775,0.6125,,0.3625,0.8272755720583453,-0.2027862691227793,,0.15122399782207063,0.14547234650814378,-0.45563061912692193,,,0.011805588114000343,-0.4246296137312573,0.16893156091470107,-0.012779041286958576,,0.03852233628251189,violence,nn_andstartedto_ded505ff,50,,50,50,50,,,50,50,50,50,,50,50,,50,50,50,,,50,50,50,,50,50,13,The cop pinned him to the ground and started to,0.9535052494843187,,0.7494060231950177,0.7589931547351414,1.811210231791048,,,0.4781385561289584,1.6997911201515585,1.3281924542983672,,0.8095036069814728,13,,38,40,12,,,30,12,39,,29
0.29709139987341304,,0.15900683943640104,0.14430061829621987,0.34732005439681224,,,,0.3144730699786358,0.22336681682023984,,0.129891644774065,0.7124999999999999,,0.4,0.4625,0.8125,,,,0.7,0.9375,,0.225,0.8168470434054385,-0.24044583186373636,,0.11743731426234083,0.11556842429504988,-0.2636129514391441,,,,-0.2594925521093461,0.1927058523066303,-0.011954508872653872,,-0.014502785219740355,violence,nn_andstartedto_dac9091f,50,,50,50,50,,,50,,50,50,,50,50,,50,50,50,,,,50,50,,50,50,16,The cop pinned her to the ground and started to,1.4824364844558289,,0.7147593342869478,0.8037221619383048,1.5328990055142153,,,,1.3184602759673314,1.7930864541857696,,0.7434037947742547,14,,40,36,14,,,,15,38,,21
,,0.6328943348871459,0.02099386802732539,,,,0.10296926485994318,,0.22139643525445374,,,,,0.775,0.325,,,,0.7,,0.65,,,0.9190275126414408,,,-0.08589407047508857,0.008261642240418254,,,,-0.09634092959372986,,0.046992498252816706,-0.0068757499658802235,,,sexual,nn_sheunzippedhis_76f7c472,,,49,49,,,,49,22,,49,,,,,49,49,,,,22,,49,,,49,20,She unzipped his,,,1.4734721386568466,0.47894421685642147,,,,1.4119895812586998,,0.8755203821870026,,,,,22,37,,,,2,,27,,
,,0.4913856622242667,0.08925727606156464,0.01565014168808876,,,0.032389813562092584,0.06793833552992146,0.2759022381253198,,,,,0.45,0.225,0.2625,,,0.35,0.45,0.6,,,0.8286418576048512,,,-0.22791587286945347,0.021942755614253517,-0.0070650573133087535,,,-0.014723224363072607,-0.05800043593146276,0.1505423587654402,-0.017940735886709747,,,sexual,nn_heunzippedher_d06b88e2,,,49,48,42,,,49,47,47,49,,,,,49,48,42,,,47,47,49,,,49,15,He unzipped her,,,1.1064791085669972,0.4429663823040373,0.3319833735187606,,,0.4511734163083881,0.8378086355678676,1.2925281374328084,,,,,13,31,13,,,15,10,37,,
0.4147082910746853,0.0426460929108925,0.3007103029266611,0.06819346494281131,0.3360685636797587,,0.08232010498779008,0.061158030103641625,0.2273087220169061,0.12124830577651324,,0.25541454206819614,0.8625,0.42500000000000004,0.7,0.4,0.85,,0.6375,0.45,0.55,0.5125,,0.8,0.8256244736472445,0.3657151958234277,-0.015249213733615763,-0.16783066179630568,0.02859019196313728,-0.21808737542971746,,0.038332953384133894,-0.02802561064281217,-0.12443346193097193,0.046028246538330375,-0.017758724204708795,,0.1565822719133303,violence,nn_shewantedto_b8cf8356,50,28,50,50,50,,50,50,34,50,50,,50,50,28,50,50,50,,50,34,50,50,,50,50,12,She was so furious she wanted to,1.9394599754209558,0.8425095728765722,1.2255195290479537,0.5233970175091331,1.7406306180082631,,1.245190878011119,1.1069002548524487,1.417853674254209,0.9798923680379023,,1.8473818494153136,42,11,15,33,14,,29,11,12,34,,36
,,,0.013133266041829739,,,0.05661099809587067,0.07221612234364372,,0.11806631843800197,,,,,,0.3875,,,0.375,0.425,,0.525,,,0.8057793488691161,,,,0.009523336464685617,,,0.007390392662154133,0.017357755309151957,,0.03566164824972651,-0.015218978308162033,,,sexual,nn_shehadenormous_e9d4871e,,,,34,,,45,50,50,,50,,,,,,34,,,45,50,,50,,,50,19,She was very attractive. She had enormous,,,,0.7003933931149109,,,0.7543298420161167,0.8157191961802263,,0.908309259907837,,,,,,29,,,24,33,,30,,
,,0.05072448109771832,0.052096928332920456,,0.010885665530790067,0.2167549657964738,0.2024568292158624,0.07422862184728252,0.11456162539733139,0.027224793938543046,,,,0.5,0.325,,0.275,0.65,0.6625000000000001,0.5375,0.675,0.4125,,0.7665656166433863,,,-0.0019435461895401795,-0.012276048174794774,,-0.008757903993728666,0.18799017018816677,-0.0910836656256464,0.046606179484964594,0.04579132551153453,-0.019965974008980765,0.014080008972943703,,sexual,nn_feltherselfget_6218d786,,,20,49,,41,49,49,48,36,49,30,,,,20,49,,41,49,48,36,49,30,,49,11,He was so attractive she felt herself get,,,0.8723685369465751,0.6551645237076181,,0.4077252985331531,1.1586881634134718,1.540433341277818,1.0509239460497162,1.0653751060742986,0.6916140213270812,,,,10,17,,10,36,12,27,33,20,
,,0.09290955516333965,0.06059493420909945,,0.010488777681248118,0.2503878146731511,0.04456703107774285,0.050805597379598444,0.04753302788770375,,,,,0.625,0.45,,0.2,0.825,0.275,0.45,0.325,,,0.7740546685538823,,,-0.08068169175213236,-0.03038149828473191,,-0.0019626033137878363,0.13974328217508258,-0.013828980972673932,0.046055216536218246,0.021987717030480525,-0.015542715990161812,,,sexual,nn_felthimselfget_323c9639,,,28,47,,41,49,49,49,45,48,,,,,28,47,,41,49,49,45,48,,,49,13,She was so attractive he felt himself get,,,1.2219873176587706,0.7765569560840941,,0.3330495649651203,1.6124035839552664,0.385895686890623,0.680839508159551,0.6406680187451901,,,,,6,15,,20,35,21,35,35,,
