base,aligned,dose_lo,dose_hi,n_prompts,coverage,full,readout,state,readout_share,state_share
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,1.0,2.0,28,0.2803,-0.0169,-0.0036,-0.0144,,
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,2.0,3.0,12,0.1852,-0.0499,-0.0151,-0.0366,,
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,3.0,4.0,14,0.2595,-0.1167,-0.0174,-0.0987,,
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,4.0,7.0,5,0.3741,-0.2104,-0.0360,-0.1808,0.1711,0.8590
google/gemma-2-9b,google/gemma-2-9b-it,1.0,2.0,28,0.7442,-0.0079,0.0255,-0.0210,,
google/gemma-2-9b,google/gemma-2-9b-it,2.0,3.0,12,0.6649,-0.0562,0.0355,-0.1026,,
google/gemma-2-9b,google/gemma-2-9b-it,3.0,4.0,14,0.6717,-0.1140,0.0318,-0.2240,,
google/gemma-2-9b,google/gemma-2-9b-it,4.0,7.0,5,0.7929,-0.2678,0.0224,-0.5032,-0.0837,1.8789
google/recurrentgemma-9b,google/recurrentgemma-9b-it,1.0,2.0,28,0.9011,-0.0477,-0.0277,-0.0464,,
google/recurrentgemma-9b,google/recurrentgemma-9b-it,2.0,3.0,12,0.9179,0.0053,-0.0054,0.0058,,
google/recurrentgemma-9b,google/recurrentgemma-9b-it,3.0,4.0,14,0.8288,-0.5527,-0.1947,-0.2901,0.3522,0.5248
google/recurrentgemma-9b,google/recurrentgemma-9b-it,4.0,7.0,5,0.9919,-1.5702,-0.2575,-1.1191,0.1640,0.7127
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,1.0,2.0,28,0.6709,-0.1266,-0.0469,-0.1077,,
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,2.0,3.0,12,0.5806,-0.1073,-0.0565,-0.0597,,
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,3.0,4.0,14,0.5839,-0.6907,-0.0908,-0.5640,0.1315,0.8165
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,4.0,7.0,5,0.6384,-0.2866,-0.0778,-0.2286,0.2715,0.7977
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,1.0,2.0,28,0.5294,-0.0552,-0.0769,0.0110,,
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,2.0,3.0,12,0.5463,-0.1479,-0.1174,-0.0711,,
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,3.0,4.0,14,0.5059,-0.3890,-0.3060,-0.1568,0.7866,0.4032
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,4.0,7.0,5,0.6199,-0.5153,-0.4465,-0.2128,0.8666,0.4131
tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,1.0,2.0,28,0.5919,0.0199,-0.0137,0.0386,,
tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,2.0,3.0,12,0.6058,0.0320,-0.0480,0.1530,,
tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,3.0,4.0,14,0.5868,0.2242,-0.1625,0.6170,,
tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,4.0,7.0,5,0.7677,0.1912,-0.2877,0.6793,,
zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,1.0,2.0,28,0.5712,0.0109,-0.0288,0.0608,,
zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,2.0,3.0,12,0.4569,0.0089,-0.0480,0.2297,,
zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,3.0,4.0,14,0.5347,-0.0206,-0.1736,0.4518,,
zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,4.0,7.0,5,0.6357,0.0478,-0.2544,0.6661,,
