base,aligned,prompt,dose,n_words,layer,frac,T_bb,T_ba,T_ab,T_aa,T_bw,T_bn,cov_b,cov_a
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,0,0.0000,4.554149,4.553793,4.550519,4.550285,4.553793,4.554149,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,1,0.0417,4.100431,4.124657,4.088058,4.113578,4.124657,4.100431,0.000001,0.000001
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,2,0.0833,3.855816,3.872785,3.853575,3.869701,3.872785,3.855816,0.000018,0.000021
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,3,0.1250,4.107742,4.131269,4.107818,4.131183,4.131269,4.107742,0.000043,0.000046
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,4,0.1667,4.095218,4.118000,4.096687,4.119238,4.118000,4.095218,0.000048,0.000051
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,5,0.2083,4.074552,4.096348,4.075716,4.097288,4.096348,4.074552,0.000053,0.000057
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,6,0.2500,4.103648,4.125746,4.106627,4.128624,4.125746,4.103648,0.000064,0.000069
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,7,0.2917,4.097211,4.117989,4.102639,4.123670,4.117989,4.097211,0.000072,0.000075
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,8,0.3333,4.099234,4.119514,4.106631,4.127477,4.119514,4.099234,0.000074,0.000075
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,9,0.3750,3.804358,3.838243,3.995161,4.019590,3.838243,3.804358,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,10,0.4167,3.884564,3.894893,3.848854,3.859046,3.894893,3.884564,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,11,0.4583,3.538901,3.547032,3.409492,3.423414,3.547032,3.538901,0.000000,0.000000
