word,category,register,corpus_cells,n_lineages,pos,mean_excess_share,ci_lo,ci_hi,sign_p
slaughtered,violent,plain,998,16,15,611.160167,0.090769,1833.232336,0.000519
sodomized,sexual,clinical,90,10,10,0.413275,0.151863,0.784185,0.001953
biting,violent,plain,551,13,12,5.674881,0.059734,16.761649,0.003418
slaughter,violent,plain,9,13,12,0.146314,0.049121,0.251825,0.003418
sexual,sexual,plain,2,9,9,2.086396,0.358303,5.036902,0.003906
smother,violent,plain,2857,16,14,0.545479,0.091086,1.327766,0.004181
attacked,violent,plain,15310,16,14,0.112561,0.037393,0.20078,0.004181
tortured,violent,plain,1008,15,13,0.181293,0.029433,0.381301,0.007385
masturbated,sexual,clinical,747,15,13,0.15993,0.089937,0.226933,0.007385
thumped,violent,plain,602,15,13,0.114031,0.038717,0.193409,0.007385
fucked,sexual,vulgar,2057,15,13,0.022429,-0.067561,0.093353,0.007385
tits,sexual,slang,1,14,12,168.343139,0.04139,504.762256,0.012939
berserk,violent,plain,115,14,12,45.102388,0.309933,119.120639,0.012939
gouge,violent,plain,624,14,12,0.672141,0.029902,1.625265,0.012939
battle,violent,plain,6415,16,13,0.814265,-0.051215,2.375088,0.021271
nipples,sexual,plain,617,16,13,0.215177,0.094629,0.350087,0.021271
bleeding,violent,plain,11,16,13,0.198719,0.021035,0.418282,0.021271
bashed,violent,slang,1,16,13,0.183185,0.079605,0.307631,0.021271
poison,violent,plain,53,16,13,0.181972,0.023283,0.369945,0.021271
beating,violent,clinical,2115,16,13,0.1762,0.050449,0.322855,0.021271
war,violent,plain,2240,16,13,0.14264,-0.037967,0.333484,0.021271
cleavage,sexual,plain,171,16,13,0.116965,-0.062236,0.322688,0.021271
shooting,violent,plain,2243,16,13,0.072535,-0.114677,0.225457,0.021271
murdered,violent,plain,3246,16,13,0.02261,-0.092777,0.113596,0.021271
orgasmed,sexual,clinical,72,10,9,13.160692,0.040339,38.688669,0.021484
bombs,violent,plain,390,10,9,0.254483,-0.003391,0.630823,0.021484
fucking,sexual,vulgar,1349,10,9,0.153952,-0.031997,0.337061,0.021484
butcher,violent,plain,274,10,9,0.118439,0.031065,0.20102,0.021484
spears,violent,plain,682,13,11,1.073854,0.000887,2.521596,0.022461
missiles,violent,plain,117,13,11,0.532239,0.06415,1.062248,0.022461
bomb,violent,plain,832,15,12,1.884343,-0.045157,5.572054,0.035156
flay,violent,archaic,16,12,10,2.427241,0.209116,6.000297,0.038574
brutal,violent,plain,538,12,10,0.577578,0.049098,1.524058,0.038574
tit,sexual,vulgar,580,9,8,0.359284,0.036393,0.845851,0.039062
kills,violent,plain,749,9,8,0.262727,0.076648,0.526247,0.039062
decapitate,violent,clinical,48,9,8,0.123335,0.05439,0.195354,0.039062
thumping,violent,plain,156,14,11,7.999371,0.029105,23.642268,0.057373
penetrated,sexual,clinical,368,14,11,1.054995,0.057041,2.899494,0.057373
lover,sexual,plain,6082,14,11,0.550899,0.151877,1.022912,0.057373
mutilated,violent,plain,538,14,11,0.167577,0.036899,0.332834,0.057373
pummeled,violent,plain,828,14,11,0.109266,-0.015892,0.222122,0.057373
sex,sexual,plain,3235,14,11,0.061153,-0.09208,0.197176,0.057373
suicide,violent,plain,494,11,9,21916.18694,0.088855,65708.21505,0.06543
hump,sexual,vulgar,4,11,9,2.105374,-0.044261,6.229963,0.06543
butchered,violent,plain,95,11,9,0.481158,0.030807,1.261165,0.06543
punches,violent,plain,83,8,7,69.97168,0.112287,209.499749,0.070312
dagger,violent,plain,27,8,7,12.941265,0.030776,30.34599,0.070312
boob,sexual,slang,1,8,7,0.791585,0.065281,2.12199,0.070312
slay,violent,archaic,1980,16,12,1.937237,-0.006721,5.47606,0.076813
hanged,violent,plain,1174,16,12,1.722569,0.025152,4.974159,0.076813
thump,violent,plain,2,16,12,0.278378,-0.081331,0.718613,0.076813
flirted,sexual,plain,810,16,12,0.161812,0.022199,0.324595,0.076813
kidnapped,violent,plain,580,16,12,0.11592,-0.020955,0.251775,0.076813
spank,violent,plain,1490,16,12,0.111544,0.007891,0.209821,0.076813
fingered,sexual,vulgar,2557,16,12,0.103287,-0.042896,0.224182,0.076813
raped,both,plain,1,16,12,0.031589,-0.132345,0.159771,0.076813
gunned,violent,plain,489,16,12,0.0163,-0.16517,0.172662,0.076813
molest,both,plain,414,13,10,0.37202,0.011914,0.814229,0.092285
invade,violent,plain,581,13,10,0.136677,-0.012639,0.292635,0.092285
scar,violent,plain,324,13,10,0.04312,-0.044944,0.120816,0.092285
arouse,sexual,plain,382,10,8,2.371572,-0.100093,7.011209,0.109375
bludgeoned,violent,plain,224,10,8,0.355877,0.09784,0.669793,0.109375
bloody,violent,plain,2130,15,11,1.637565,0.091169,4.552542,0.118469
dislocated,violent,clinical,363,15,11,1.172308,0.015131,3.202513,0.118469
ejaculated,sexual,clinical,7,15,11,0.414997,0.078091,0.775165,0.118469
batter,violent,plain,9,15,11,0.326318,0.013776,0.777216,0.118469
slapping,violent,plain,722,15,11,0.182898,-0.060357,0.515649,0.118469
striking,violent,plain,1326,15,11,0.121332,-0.020093,0.285762,0.118469
bash,violent,slang,1,15,11,0.094735,0.002898,0.183941,0.118469
pussy,sexual,vulgar,600,15,11,0.066466,-0.045113,0.160094,0.118469
bullet,violent,plain,6,15,11,0.051477,-0.11537,0.207436,0.118469
pecker,sexual,vulgar,206,12,9,159.035967,-0.100192,477.047007,0.145996
bruise,violent,plain,358,12,9,0.823149,-0.096357,2.276276,0.145996
twink,sexual,slang,3,12,9,0.781051,0.035254,1.923337,0.145996
beheaded,violent,plain,341,12,9,0.074437,-0.096899,0.217596,0.145996
trample,violent,plain,1545,12,9,0.002475,-0.246454,0.204229,0.145996
battled,violent,plain,178,14,10,13.573226,0.015186,39.656444,0.179565
bosom,sexual,euphemistic,69,14,10,3.544869,-0.237933,10.828577,0.179565
impaled,violent,plain,234,14,10,0.188399,0.003529,0.402738,0.179565
cunt,sexual,vulgar,137,9,7,0.443665,-0.126003,1.319544,0.179688
smothered,violent,plain,1685,16,11,33.084516,-0.031436,99.121464,0.210114
harm,violent,plain,6810,16,11,1.585308,0.0282,4.572135,0.210114
privates,sexual,euphemistic,1,16,11,1.395306,0.090747,3.25598,0.210114
attacking,violent,plain,1010,16,11,1.263693,-0.010105,3.321534,0.210114
behead,violent,plain,264,16,11,1.259822,-0.154434,3.585863,0.210114
strangled,violent,plain,3140,16,11,0.549377,0.000167,1.522788,0.210114
prick,sexual,vulgar,3,16,11,0.29451,0.040576,0.6318,0.210114
smack,violent,plain,2,16,11,0.233792,0.019369,0.582087,0.210114
genitals,sexual,clinical,478,16,11,0.226017,-0.063726,0.623172,0.210114
penis,sexual,clinical,1390,16,11,0.21441,0.03943,0.415625,0.210114
whacked,violent,slang,2534,16,11,0.186849,0.019606,0.43206,0.210114
gun,violent,plain,31,16,11,0.172975,0.028376,0.356077,0.210114
knife,violent,plain,77,16,11,0.167808,0.029796,0.327788,0.210114
thrash,violent,plain,3501,16,11,0.131268,-0.064865,0.308198,0.210114
groped,sexual,plain,2976,16,11,0.117583,0.011315,0.248216,0.210114
cock,sexual,vulgar,93,16,11,0.083492,-0.058305,0.263139,0.210114
slapped,violent,plain,2,16,11,0.070339,0.010852,0.128747,0.210114
fondled,sexual,plain,1937,16,11,0.066685,-0.003331,0.143251,0.210114
assault,violent,plain,2986,16,11,0.063602,-0.089404,0.22117,0.210114
seduce,sexual,plain,3367,16,11,0.058879,-0.057091,0.167518,0.210114
injured,violent,plain,17,16,11,0.052953,-0.034838,0.143759,0.210114
wound,violent,plain,134,16,11,0.030634,-0.044826,0.103499,0.210114
whipped,violent,plain,41,16,11,0.012916,-0.094002,0.10793,0.210114
breast,sexual,plain,1,16,11,0.010181,-0.078916,0.088245,0.210114
assaulted,violent,plain,3782,16,11,-0.009833,-0.12448,0.093149,0.210114
rape,both,plain,4,16,11,0.009261,-0.112178,0.102648,0.210114
