base,pref,prompt_domain,word_category,n_prompts,js_sft,js_pref,share
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,violence,sexual,106,3.731e-05,4.063e-05,0.918457
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,neutral,sexual,17,6.81e-06,7.87e-06,0.866251
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,betrayal,sexual,14,8.926e-05,4.628e-05,1.928655
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,taboo,sexual,26,1.34e-06,1.47e-06,0.911316
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,property,sexual,42,1.346e-05,1.508e-05,0.892464
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,animal,sexual,28,1.08e-06,1.48e-06,0.728725
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,sexual,sexual,45,0.00019529,0.00020203,0.966628
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,contradiction,sexual,28,0.00013062,0.00015504,0.842466
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,power,sexual,1,2.607e-05,6.498e-05,0.401207
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,profanity,sexual,3,0.00028598,0.00042131,0.678781
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,other,sexual,22,0.00018686,0.00024946,0.749035
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,institutional,sexual,2,0.00021287,6.531e-05,3.259159
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,substance,sexual,1,1.132e-05,1.667e-05,0.678899
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,taboo,violent,142,0.00015729,0.00017373,0.905414
