base,sft,pref,pref_op,n_prompts_sexual,js_sft_sexual,js_pref_sexual,share_sexual,n_prompts_violent,js_sft_violent,js_pref_violent,share_violent,diff
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,dpo,240,4.958e-05,5.3e-05,0.935597,240,0.00026131,0.00024611,1.061754,-0.126157
mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,dpo,186,0.00257903,0.00262123,0.983898,186,0.00367712,0.00446128,0.824231,0.159667
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,apo,213,0.00119683,0.00124517,0.961179,213,0.00339016,0.00373428,0.907848,0.053331
LLM360/Amber,LLM360/AmberChat,LLM360/AmberSafe,dpo,365,0.00140126,0.00264595,0.529587,365,0.00491704,0.01120813,0.438703,0.090884
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,rlhf,197,0.00079388,0.00101825,0.779646,197,0.00615573,0.00870936,0.706795,0.072851
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,dpo,140,0.00065812,0.00100493,0.654891,140,0.00243196,0.00335295,0.725321,-0.07043
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,dpo,153,0.0030414,0.00343813,0.884609,153,0.00836164,0.00985045,0.848858,0.035751
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,dpo,184,0.00085291,0.00111844,0.762584,184,0.00378947,0.0047373,0.799922,-0.037338
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,dpo,143,0.00274757,0.00293903,0.934856,143,0.0091211,0.01205675,0.756514,0.178342
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,allenai/Olmo-3-7B-Think-DPO,dpo,137,0.00317632,0.00316196,1.004539,137,0.00646172,0.00651429,0.99193,0.012609
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,dpo,154,0.00257604,0.00266372,0.967082,154,0.00851881,0.01023422,0.832385,0.134697
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,dpo,164,0.00319734,0.00317959,1.005582,164,0.00441089,0.00456245,0.966781,0.038801
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,rlhf,113,0.00110008,0.00110265,0.997672,113,0.00281477,0.00227562,1.236928,-0.239256
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,llm-jp/llm-jp-3-7.2b-instruct3,dpo,202,0.00132383,0.00140843,0.939935,202,0.00500291,0.00526061,0.951014,-0.011079
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,lomahony/eleuther-pythia6.9b-hh-dpo,dpo,221,9.297e-05,0.00022102,0.42065,221,0.00043823,0.00089451,0.48991,-0.06926
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-SFT-DPO,dpo,169,0.00116425,0.001347,0.864328,169,0.00329895,0.0035219,0.936698,-0.07237
m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b_instruct_v0.1,dpo,103,0.00121855,0.00134182,0.908136,103,0.00376357,0.00440062,0.855236,0.0529
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,dpo,200,0.00106837,0.00110433,0.967434,200,0.00229237,0.00241927,0.947546,0.019888
