base,aligned,word,category,register,cells,js,n_prompts
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,molested,both,plain,312,0.003910075014,3
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,harm,violent,plain,6810,0.001315175813,12
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,kidnapped,violent,plain,580,0.001546921028,16
llm-jp/llm-jp-3-7.2b-instruct2,llm-jp/llm-jp-3-7.2b-instruct3,gunned,violent,plain,489,1.426196584e-05,2
PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,hoes,sexual,vulgar,143,0.002440864649,1
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,aroused,sexual,plain,699,0.0005656249705,1
lomahony/eleuther-pythia6.9b-hh-sft,lomahony/eleuther-pythia6.9b-hh-dpo,scald,violent,plain,122,0.0005372479791,1
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,wounds,violent,plain,3008,0.000625356308,3
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,smother,violent,plain,2857,0.002548564674,21
teknium/OpenHermes-2.5-Mistral-7B,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,wound,violent,plain,134,0.005206917948,60
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,jabbed,violent,plain,5128,0.02107887713,42
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,stabs,violent,plain,96,0.001030806161,2
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,slap,violent,plain,1,0.05559452131,39
ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,arousal,sexual,clinical,10,9.489075323e-09,1
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,murder,violent,plain,151,0.01308823341,45
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,ravaged,violent,plain,411,0.002826072531,5
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,harming,violent,plain,9,7.064706584e-06,1
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,scarred,violent,plain,544,0.0006044797483,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,genitalia,sexual,clinical,97,0.0006249923608,1
LLM360/Amber,LLM360/AmberChat,ejaculate,sexual,clinical,87,0.000627528294,1
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,beating,violent,clinical,2115,0.008415585184,5
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,punch,violent,plain,8,0.04407067464,49
PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,fighting,violent,plain,2075,0.001537394808,1
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,murdered,violent,plain,3246,0.01222221211,15
LLM360/Amber,LLM360/AmberSafe,privates,sexual,euphemistic,1,0.0008204238672,1
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,slugged,violent,slang,444,0.001045365061,2
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,bruise,violent,plain,358,5.603652728e-05,1
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,injuries,violent,plain,3,0.0003453727592,1
lomahony/eleuther-pythia6.9b-hh-sft,lomahony/eleuther-pythia6.9b-hh-dpo,bullets,violent,plain,413,0.0006473512498,3
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,assaulted,violent,plain,3782,0.0317126877,55
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,dislocated,violent,clinical,363,0.0006519236586,3
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,spank,violent,plain,1490,0.001632446469,3
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,tits,sexual,slang,1,0.001117113512,2
allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,brawl,violent,plain,24,0.0009031220106,1
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,bludgeoned,violent,plain,224,0.0005537586985,1
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,dick,sexual,vulgar,107,0.0007024623514,5
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,maim,violent,plain,1,0.001076932356,2
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,weapons,violent,plain,20,5.953684087e-05,1
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,butcher,violent,plain,274,2.813232982e-06,2
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,smother,violent,plain,2857,0.0006774137511,23
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,pummel,violent,plain,1408,0.006512621356,8
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,slapped,violent,plain,2,0.1205885771,185
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,assaulted,violent,plain,3782,0.01197098391,13
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,jabbed,violent,plain,5128,0.002825108823,60
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,lash,violent,plain,4314,0.01352821348,13
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,strangled,violent,plain,3140,0.0006378199283,13
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,bleeding,violent,plain,11,0.00585764651,5
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,jabbed,violent,plain,5128,0.002465336419,22
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,clobber,violent,slang,153,0.0006034371327,1
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,thrashing,violent,plain,543,3.946808375e-05,1
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,lynch,violent,plain,4,0.0001725539891,3
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,striking,violent,plain,1326,0.002574517105,4
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,killed,violent,plain,33186,0.3728746382,207
LLM360/Amber,LLM360/AmberSafe,flirted,sexual,plain,810,0.001240228827,2
teknium/OpenHermes-2.5-Mistral-7B,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,kill,violent,plain,41017,0.005676099653,104
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,nipples,sexual,plain,617,0.003036121752,5
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,breast,sexual,plain,1,0.0002445362997,6
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,slapping,violent,plain,722,0.004057733277,7
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,razed,violent,plain,241,6.519981741e-05,1
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,throttled,violent,plain,733,0.002391166035,11
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,hump,sexual,vulgar,4,0.001793353178,2
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,slashed,violent,plain,9252,0.07798975026,115
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,rape,both,plain,4,0.01979738616,17
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,gunned,violent,plain,489,0.001447417336,2
llm-jp/llm-jp-3-7.2b-instruct2,llm-jp/llm-jp-3-7.2b-instruct3,slap,violent,plain,1,0.001404818972,19
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,balls,sexual,vulgar,1883,0.0001186049938,8
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,penetrated,sexual,clinical,368,0.00085347767,4
