base,endpoint,n_prompts,reg_base,reg_end,reg_removed,reg_arrived,cov_base,cov_end
01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,2983,3.842582,3.84766,3.813279,3.838185,0.909568,0.902202
BAAI/Aquila2-7B,BAAI/AquilaChat2-7B,2981,3.895213,3.85423,3.901557,3.821634,0.892118,0.89474
BSC-LT/salamandra-7b,BSC-LT/salamandra-7b-instruct,2887,3.85777,3.862584,3.818427,3.841958,0.996358,0.9969
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,2981,3.856452,3.855447,3.830459,3.822066,0.952325,0.949471
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,2983,3.850381,3.851686,3.7952,3.827288,0.949428,0.946921
HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,2983,3.864166,3.853028,3.860582,3.818537,0.971746,0.968952
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,2981,3.845783,3.846614,3.806848,3.818416,0.91337,0.913315
LLM360/Amber,LLM360/AmberSafe,2982,3.833801,3.827453,3.819813,3.81228,0.952277,0.947182
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,2803,3.853332,3.851661,3.840986,3.832983,0.996748,0.995834
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,2984,3.862071,3.857524,3.85995,3.834682,0.884992,0.884557
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,2984,3.861783,3.85635,3.839588,3.823123,0.851728,0.864807
Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,2983,3.858907,3.871904,3.833468,3.872622,0.883998,0.896755
RWKV/rwkv-4-7b-pile,RWKV/rwkv-raven-7b,2981,3.847151,3.851754,3.781058,3.827546,0.944485,0.943602
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2983,3.853048,3.864013,3.795416,3.854441,0.950031,0.949263
Zyphra/Zamba2-7B,Zyphra/Zamba2-7B-Instruct,2983,3.850276,3.845413,3.843272,3.790898,0.918803,0.916129
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-Instruct,2983,3.866879,3.872682,3.849368,3.864063,0.948835,0.928955
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-Instruct,2981,3.864569,3.871882,3.834866,3.860149,0.94349,0.920224
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct,2983,3.829194,3.834608,3.781918,3.800312,0.927546,0.913594
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct,2983,3.831333,3.844583,3.790821,3.830358,0.920578,0.901484
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,2983,3.845,3.837234,3.823029,3.797462,0.931189,0.922953
baichuan-inc/Baichuan2-7B-Base,baichuan-inc/Baichuan2-7B-Chat,2985,3.843808,3.848677,3.802328,3.824752,0.903345,0.888708
bigscience/bloom-7b1,bigscience/bloomz-7b1,2983,3.836877,3.859574,3.759502,3.854616,0.905925,0.974015
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,2575,3.863035,3.872964,3.813957,3.862843,0.998071,0.997716
deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,2983,3.84918,3.853467,3.798109,3.836224,0.905256,0.905023
gl198976/mpt-7b,gl198976/mpt-7b-instruct,2981,3.848516,3.843103,3.857078,3.828622,0.939447,0.93214
google/gemma-2-9b,google/gemma-2-9b-it,2984,3.854976,3.819344,3.851865,3.76417,0.902503,0.884637
google/recurrentgemma-9b,google/recurrentgemma-9b-it,2983,3.852186,3.871802,3.80884,3.869573,0.917633,0.886859
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,2983,3.842587,3.850174,3.828803,3.849225,0.956886,0.957257
ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-instruct,2981,3.840718,3.840007,3.82077,3.82312,0.932892,0.924603
inceptionai/jais-family-6p7b,inceptionai/jais-family-6p7b-chat,2981,3.84512,3.852226,3.823643,3.842519,0.971243,0.944406
