model,loaded,reason,thousands_sep_alone,thousands_intra_fires,thousands_sample,decimal_sep_alone,decimal_intra_fires,decimal_sample,cjk_comma_sep_alone,cjk_comma_intra_fires,cjk_comma_sample,cjk_stop_sep_alone,cjk_stop_intra_fires,cjk_stop_sample
01-ai/Yi-1.5-9B,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
01-ai/Yi-1.5-9B-Chat,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
Alchan/mpt-7b-chat,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
Aleph-Alpha/Pharia-1-LLM-7B-control-aligned-hf,1,,1,0,"','",1,0,'.',,,,,,
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,1,,1,0,"','",1,0,'.',,,,,,
BAAI/Aquila2-7B,1,,1,0,"','",1,0,'.',0,0,'，因为',0,0,'。下'
BAAI/AquilaChat2-7B,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
BSC-LT/salamandra-7b,1,,1,0,"','",1,0,'.',1,0,'，',,,
BSC-LT/salamandra-7b-instruct,1,,1,0,"','",1,0,'.',1,0,'，',,,
ContextualAI/archangel_sft-dpo_pythia2-8b,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
ContextualAI/archangel_sft-kto_pythia2-8b,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
ContextualAI/archangel_sft-ppo_pythia2-8b,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
ContextualAI/archangel_sft-slic_pythia2-8b,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
ContextualAI/archangel_sft_pythia2-8b,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
EleutherAI/pythia-2.8b,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
EleutherAI/pythia-6.9b,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
HuggingFaceH4/mistral-7b-sft-beta,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
HuggingFaceH4/zephyr-7b-beta,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
HuggingFaceTB/SmolLM2-360M,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
HuggingFaceTB/SmolLM2-360M-Instruct,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
HuggingFaceTB/SmolLM3-3B,1,,1,0,"','",1,0,'.',0,0,'，因为',1,0,'。'
HuggingFaceTB/SmolLM3-3B-Base,1,,1,0,"','",1,0,'.',0,0,'，因为',1,0,'。'
HuggingFaceTB/SmolLM3-3B-checkpoints,0,"ValueError: Couldn't instantiate the backend tokenizer from one of: 
(1) a `tokenizers` libr",,,,,,,,,,,,
HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,1,,1,0,"','",1,0,'.',0,0,'，因为',1,0,'。'
LLM360/Amber,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
LLM360/AmberChat,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
