model,loaded,reason,thousands_sep_alone,thousands_intra_fires,thousands_sample,decimal_sep_alone,decimal_intra_fires,decimal_sample,cjk_comma_sep_alone,cjk_comma_intra_fires,cjk_comma_sample,cjk_stop_sep_alone,cjk_stop_intra_fires,cjk_stop_sample
HuggingFaceTB/SmolLM3-3B-checkpoints,0,ValueError: Unrecognized model in HuggingFaceTB/SmolLM3-3B-checkpoints. Should have a `model,,,,,,,,,,,,
allenai/OLMo-2-0425-1B,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/OLMo-2-0425-1B-DPO,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/OLMo-2-0425-1B-Instruct,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/OLMo-2-0425-1B-SFT,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/OLMoE-1B-7B-0125,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/OLMoE-1B-7B-0125-DPO,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/OLMoE-1B-7B-0125-Instruct,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/OLMoE-1B-7B-0125-SFT,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/Olmo-3-1025-7B,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/Olmo-3-1125-32B,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/Olmo-3-7B-Instruct,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/Olmo-3-7B-Instruct-DPO,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/Olmo-3-7B-Instruct-SFT,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/Olmo-3-7B-Think,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/Olmo-3-7B-Think-DPO,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/Olmo-3-7B-Think-SFT,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/Olmo-3.1-32B-Instruct,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/Olmo-3.1-32B-Instruct-DPO,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
allenai/Olmo-3.1-32B-Instruct-SFT,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
tiiuae/Falcon-H1-1.5B-Base,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
tiiuae/Falcon-H1-1.5B-Instruct,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
tiiuae/Falcon-H1-7B-Base,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
tiiuae/Falcon-H1-7B-Instruct,1,,1,0,"','",1,0,'.',1,0,'，',1,0,'。'
