model,loaded,reason,vocab_len,max_depth,all_fit,worst,n_100000,n_95000,n_50000,n_100,n_150000,n_57900
01-ai/Yi-1.5-9B,1,,63992,6,0,8,8,7,7,4,8,6
01-ai/Yi-1.5-9B-Chat,1,,63992,6,0,8,8,7,7,4,8,6
Alchan/mpt-7b-chat,1,,50279,6,1,4,4,4,4,2,3,3
Aleph-Alpha/Pharia-1-LLM-7B-control-aligned-hf,1,,128000,6,0,8,8,7,7,4,8,6
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,1,,128000,6,0,8,8,7,7,4,8,6
BAAI/Aquila2-7B,1,,143973,6,1,4,4,4,4,2,3,2
BAAI/AquilaChat2-7B,1,,100008,6,1,4,4,4,4,2,3,2
BSC-LT/salamandra-7b,1,,256000,6,0,8,8,7,7,4,8,6
BSC-LT/salamandra-7b-instruct,1,,256000,6,0,8,8,7,7,4,8,6
ContextualAI/archangel_sft-dpo_pythia2-8b,1,,50277,6,1,4,4,4,4,2,3,3
ContextualAI/archangel_sft-kto_pythia2-8b,1,,50277,6,1,4,4,4,4,2,3,3
ContextualAI/archangel_sft-ppo_pythia2-8b,1,,50277,6,1,4,4,4,4,2,3,3
ContextualAI/archangel_sft-slic_pythia2-8b,1,,50277,6,1,4,4,4,4,2,3,3
ContextualAI/archangel_sft_pythia2-8b,1,,50277,6,1,4,4,4,4,2,3,3
EleutherAI/pythia-2.8b,1,,50277,6,1,4,4,4,4,2,3,3
EleutherAI/pythia-6.9b,1,,50277,6,1,4,4,4,4,2,3,3
HuggingFaceH4/mistral-7b-sft-beta,1,,32000,6,0,8,8,7,7,4,8,6
HuggingFaceH4/zephyr-7b-beta,1,,32000,6,0,8,8,7,7,4,8,6
HuggingFaceTB/SmolLM2-360M,1,,49152,6,0,8,8,7,7,4,7,5
HuggingFaceTB/SmolLM2-360M-Instruct,1,,49152,6,0,8,8,7,7,4,7,5
HuggingFaceTB/SmolLM3-3B,1,,128256,6,1,4,4,4,4,2,3,2
HuggingFaceTB/SmolLM3-3B-Base,1,,128256,6,1,4,4,4,4,2,3,2
HuggingFaceTB/SmolLM3-3B-checkpoints,0,"ValueError: Couldn't instantiate the backend tokenizer from one of: 
(1) a `tokeni",,,,,,,,,,
HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,1,,128256,6,1,4,4,4,4,2,3,2
LLM360/Amber,1,,32000,6,0,8,8,7,7,4,8,6
LLM360/AmberChat,1,,32000,6,0,8,8,7,7,4,8,6
LLM360/AmberSafe,1,,32000,6,0,8,8,7,7,4,8,6
NousResearch/Hermes-3-Llama-3.1-8B,1,,128256,6,1,4,4,4,4,2,3,2
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,1,,32002,6,0,8,8,7,7,4,7,5
OpenLLM-France/Lucie-7B,1,,65024,6,0,8,8,7,7,4,8,6
OpenLLM-France/Lucie-7B-Instruct-v1.1,1,,65024,6,0,8,8,7,7,4,8,6
PKU-Alignment/alpaca-7b-reproduced,1,,32001,6,0,8,8,7,7,4,8,6
PKU-Alignment/beaver-7b-v1.0,1,,32001,6,0,8,8,7,7,4,8,6
Qwen/Qwen2.5-0.5B,1,,151665,6,0,8,8,7,7,4,7,5
Qwen/Qwen2.5-0.5B-Instruct,1,,151665,6,0,8,8,7,7,4,7,5
Qwen/Qwen2.5-7B,1,,151665,6,0,8,8,7,7,4,7,5
Qwen/Qwen2.5-7B-Instruct,1,,151665,6,0,8,8,7,7,4,7,5
Qwen/Qwen3-8B,1,,151669,6,0,8,8,7,7,4,7,5
Qwen/Qwen3-8B-Base,1,,151669,6,0,8,8,7,7,4,7,5
RWKV/rwkv-4-7b-pile,1,,50277,6,1,4,4,4,4,2,3,3
RWKV/rwkv-raven-7b,1,,50277,6,1,4,4,4,4,2,3,3
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1,,32000,6,0,8,8,7,7,4,8,6
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,1,,32000,6,0,8,8,7,7,4,8,6
Zyphra/Zamba2-7B,1,,32001,6,0,8,8,7,7,4,8,6
Zyphra/Zamba2-7B-Instruct,1,,32000,6,0,8,8,7,7,4,8,6
allenai/Llama-3.1-Tulu-3-8B-DPO,1,,128257,6,1,4,4,4,4,2,3,2
allenai/Llama-3.1-Tulu-3-8B-SFT,1,,128257,6,1,4,4,4,4,2,3,2
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,1,,128257,6,1,4,4,4,4,2,3,2
