word	rating_published	sd	n_raters	concreteness_high_is_concrete
暗笑	2.6666669999999999	0.91986599999999996	27	2.931795
黯然	4.1851849999999997	0.83376099999999997	27	1.413277
昂首	2.2222219999999999	1.154701	27	3.376240
白人	1.6296299999999999	0.88353099999999996	27	3.968832
绑架	1.7777780000000001	0.89155600000000002	27	3.820684
榜样	2.7777780000000001	1.2506409999999999	27	2.820684
迸发	3.8076919999999999	0.98058100000000004	26	1.790770
裨益	4.125	0.946963	24	1.473462
波折	3.538462	1.207668	26	2.060000
车费	1.4074070000000001	0.57239399999999996	27	4.191055
充裕	3.1538460000000001	1.120439	26	2.444616
打字	1.4444440000000001	0.57735000000000003	27	4.154018
歹毒	3.074074	1.268734	27	2.524388
待遇	2.7037040000000001	1.170628	27	2.894758
抵抗	2.8518520000000001	1.0990800000000001	27	2.746610
地方	2.5	1.1747339999999999	26	3.098462
垫脚	1.8846149999999999	0.90893000000000002	26	3.713847
短缺	3.3333330000000001	0.96076899999999998	27	2.265129
对抗	2.925926	1.0349999999999999	27	2.672536
发亮	2	0.64549699999999999	25	3.598462
方言	1.925926	1.0349999999999999	27	3.672536
防身	2.8148149999999998	0.96225000000000005	27	2.783647
非法	2.925926	1.206582	27	2.672536
风俗	2.925926	1.0349999999999999	27	2.672536
隔离	2.9629629999999998	1.1596249999999999	27	2.635499
耕作	2.0370370000000002	0.85401700000000003	27	3.561425
公厕	1.2222219999999999	0.50636999999999999	27	4.376240
公演	2.0769229999999999	0.93479699999999999	26	3.521539
古物	2.1481479999999999	1.0990800000000001	27	3.450314
挂号	1.8518520000000001	0.94883300000000004	27	3.746610
怪物	2.925926	1.1742729999999999	27	2.672536
光临	2.8888889999999998	1.0127390000000001	27	2.709573
过渡	3.5769229999999999	1.101747	26	2.021539
憾事	3.56	1.0440309999999999	25	2.038462
行情	3.1923080000000001	1.0205580000000001	26	2.406154
痕迹	2.518519	1.155934	27	3.079943
欢迎	2.5555560000000002	1.0500309999999999	27	3.042906
回答	2.3703699999999999	1.114525	27	3.228092
毁灭	3.1111110000000002	1.086042	27	2.487351
肌肤	1.5	0.64807400000000004	26	4.098462
缉私	3	0.979796	26	2.598462
建制	3.7916669999999999	1.0623670000000001	24	1.806795
鉴定	3.038462	1.2159199999999999	26	2.560000
介入	3.0769229999999999	1.092633	26	2.521539
晶莹	3.3461539999999999	1.198075	26	2.252308
精品	2.8148149999999998	1.272098	27	2.783647
竞技	2.4444439999999998	1.0127390000000001	27	3.154018
可爱	3	1.1313709999999999	26	2.598462
哭泣	1.925926	0.82861899999999999	27	3.672536
夸大	3.1851850000000002	1.241495	27	2.413277
朗读	1.6296299999999999	0.79169500000000004	27	3.968832
犁田	1.5769230000000001	0.64330900000000002	26	4.021539
炼丹	2.461538	1.1395010000000001	26	3.136924
笼统	4.4230770000000001	0.70274199999999998	26	1.175385
螺丝	1.2222219999999999	0.42365900000000001	27	4.376240
落后	3.4230770000000001	1.1374740000000001	26	2.175385
面前	2.8846150000000002	1.142871	26	2.713847
描绘	2.9629629999999998	1.1596249999999999	27	2.635499
瞄准	2.1481479999999999	0.90739300000000001	27	3.450314
灭口	2.4074070000000001	1.2171609999999999	27	3.191055
民事	2.8846150000000002	1.142871	26	2.713847
飘浮	3.4074070000000001	1.0473140000000001	27	2.191055
苹果	1.2592589999999999	0.65589600000000003	27	4.339203
潜艇	1.2962959999999999	0.54170799999999997	27	4.302166
庆祝	2.8076919999999999	0.89528700000000005	26	2.790770
求雨	3	0.95742700000000003	25	2.598462
取景	2.769231	1.0698669999999999	26	2.829231
人证	1.8846149999999999	0.58834799999999998	26	3.713847
桑拿	1.6296299999999999	0.79169500000000004	27	3.968832
扇贝	1.1851849999999999	0.48334100000000002	27	4.413277
摄影	2	0.877058	27	3.598462
身家	3.2962959999999999	1.2030350000000001	27	2.302166
师资	2.9629629999999998	1.0554429999999999	27	2.635499
施展	3.5	1.0677080000000001	26	2.098462
石油	1.3333330000000001	0.55469999999999997	27	4.265129
弑父	2.7037040000000001	1.1372979999999999	27	2.894758
受训	2.9629629999999998	1.0554429999999999	27	2.635499
属性	4.2592590000000001	0.76422900000000005	27	1.339203
署长	2.0416669999999999	1.2676289999999999	24	3.556795
水池	1.2222219999999999	0.50636999999999999	27	4.376240
水质	2.9230770000000001	1.092633	26	2.675385
丝绸	1.3703700000000001	0.68770200000000004	27	4.228092
私刑	2.518519	0.84899800000000003	27	3.079943
太监	1.7037040000000001	0.99285199999999996	27	3.894758
倘佯	4.3333329999999997	0.91683099999999995	24	1.265129
讨好	3.2962959999999999	0.95332700000000004	27	2.302166
特区	2.3199999999999998	1.2819259999999999	25	3.278462
天资	3.7777780000000001	1.0500309999999999	27	1.820684
铁门	1.2962959999999999	0.66879999999999995	27	4.302166
听见	2.3703699999999999	1.1815290000000001	27	3.228092
推测	3.5	1.1401749999999999	26	2.098462
外贸	2.3703699999999999	1.005682	27	3.228092
偎依	2.8888889999999998	1.3959649999999999	27	2.709573
围棋	1.2962959999999999	0.60858100000000004	27	4.302166
未婚	1.8846149999999999	0.86380199999999996	26	3.713847
文艺	3.4074070000000001	1.152231	27	2.191055
握手	1.4444440000000001	0.50636999999999999	27	4.154018
无尽	4.3600000000000003	0.75718799999999997	25	1.238462
无人	2.5	1.0677080000000001	26	3.098462
溪水	1.2222219999999999	0.50636999999999999	27	4.376240
鲜花	1.1481479999999999	0.362014	27	4.450314
消沉	3.7777780000000001	1.0127390000000001	27	1.820684
薪俸	2.36	1.2543260000000001	25	3.238462
羞耻	3.3461539999999999	1.0561179999999999	26	2.252308
秀发	1.4444440000000001	0.50636999999999999	27	4.154018
序列	2.961538	1.112862	26	2.636924
学历	1.888889	0.97402200000000005	27	3.709573
雪崩	1.7777780000000001	1.0127390000000001	27	3.820684
雪糕	1.1153850000000001	0.32581300000000002	26	4.483077
引燃	2.7407409999999999	0.94431900000000002	27	2.857721
永久	3.730769	1.218448	26	1.867693
越轨	3.0952380000000002	1.091089	21	2.503224
越过	2.7777780000000001	1.120897	27	2.820684
晕倒	1.7777780000000001	0.89155600000000002	27	3.820684
杂物	2.2222219999999999	1.0500309999999999	27	3.376240
宅院	1.3703700000000001	0.62929400000000002	27	4.228092
招手	1.7037040000000001	0.66879999999999995	27	3.894758
中弹	1.925926	0.61556299999999997	27	3.672536
重复	2.8148149999999998	1.039121	27	2.783647
