prompt,group,reverse_group,relation_name,model,confidence,base_words,aligned_words
He started stroking his,1,2;7;11;12;16;17;18;20;23,Attribute before object,AmberSafe,low,big hard length thick,chin fingers hand hands thumb
He started stroking his,1,2;7;11;12;16;17;18;20;23,Cat among fingers,AmberSafe,medium,cock dick erection member penis shaft,cat
He started stroking his,1,2;7;11;12;16;17;18;20;23,Deferral adjectives deleted,AmberSafe,,big hard huge large length rock thick throbbing,own
He started stroking his,1,2;7;11;12;16;17;18;20;23,"Deferred noun, opposite loading",AmberSafe,,big hard thick,own
He started stroking his,1,2;7;11;12;16;17;18;20;23,"Genital field, manual field",AmberSafe,high,big cock dick erection hard length member penis shaft thick,chin finger fingers hand hands thumb
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genital object to gestural object,AmberSafe,,big cock dick erection hard length member penis shaft thick,chin finger fingers hand hands thumb
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genitals become grooming,AmberSafe,,balls boner crotch dick erection member penis prick rod shaft,chin finger fingers goatee hand hands thumb
He started stroking his,1,2;7;11;12;16;17;18;20;23,"Genitals down, hands up",AmberSafe,,cock dick erection hard member penis shaft soft,finger fingers hand hands thumb
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genitals to extremities,AmberSafe,,cock dick erection member penis shaft,chin finger fingers hand hands thumb
He started stroking his,1,2;7;11;12;16;17;18;20;23,Instrument becomes object,AmberSafe,,chest cock dick erection member penis shaft,finger fingers hand hands thumb
He started stroking his,1,2;7;11;12;16;17;18;20;23,Object gains animacy,AmberSafe,,body chest crotch thighs,cat girlfriend mother pet wife
He started stroking his,1,2;7;11;12;16;17;18;20;23,Qualities before objects,AmberSafe,,big hard length thick,own
He started stroking his,1,2;7;11;12;16;17;18;20;23,The verb changes trade,AmberSafe,,cock dick erection penis shaft,cat chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,Torso yields to chin,AmberSafe,,chest face thigh,chin hair
He started stroking his,1,2;7;11;12;16;17;18;20;23,genital explicitness to hand euphemism,AmberSafe,high,big cock dick erection hard length member penis shaft thick,chin finger fingers hand hands thumb
He started stroking his,1,2;7;11;12;16;17;18;20;23,Beard gets specified,Baichuan2-7B-Chat,,face little own,goatee hair long
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genitals leave the top,Baichuan2-7B-Chat,,cock dick penis,beard chin goatee hair
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genitals to whiskers,Baichuan2-7B-Chat,high,cock crotch dick erection penis,beard chin goatee hair mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,Girth becomes length,Baichuan2-7B-Chat,,big hard massive thick,long
He started stroking his,1,2;7;11;12;16;17;18;20;23,Groin to whiskers,Baichuan2-7B-Chat,,balls clit cock crotch dick erection genitals groin manhood penis shaft sword,beard chin goatee hair moustache mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,"Partner out, animal in",Baichuan2-7B-Chat,,wife,cat dog pet
He started stroking his,1,2;7;11;12;16;17;18;20;23,Verb sense reassigned,Baichuan2-7B-Chat,medium,crotch dick erection,cat goatee mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,sexual anatomy to grooming,Baichuan2-7B-Chat,high,cock crotch dick erection penis,beard chin goatee hair mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genital slot vacated,CT-LLM-SFT-DPO,,ass balls clitoris cock crotch penis,arm arms chest face
He started stroking his,1,2;7;11;12;16;17;18;20;23,Whole body collapses inward,CT-LLM-SFT-DPO,,eyes feet fingers hair head hips legs lips stomach,chest
He started stroking his,1,2;7;11;12;16;17;18;20;23,drift toward the face,CT-LLM-SFT-DPO,,body feet hips legs lips thighs,arms beard chin face hands
He started stroking his,1,2;7;11;12;16;17;18;20;23,genitals demoted not dropped,CT-LLM-SFT-DPO,,balls cock dick,arms beard chin face hands
He started stroking his,1,2;7;11;12;16;17;18;20;23,Explicit site evacuated,Falcon3-7B-Instruct,,cock crotch,cheek cheeks fingers
He started stroking his,1,2;7;11;12;16;17;18;20;23,Partner drops out,Falcon3-7B-Instruct,,wife,cheek cheeks fingers hair
He started stroking his,1,2;7;11;12;16;17;18;20;23,Touch migrates upward,Falcon3-7B-Instruct,,belly chest cock crotch,cheek cheeks hair jaw long thick
He started stroking his,1,2;7;11;12;16;17;18;20;23,genital-to-jawline swap,Falcon3-7B-Instruct,,cock dick,beard cheeks chin mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,the other body erased,Falcon3-7B-Instruct,,wife,beard chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,Adjective names the noun,Llama-3.1-8B-Instruct,low,erect hard,long
He started stroking his,1,2;7;11;12;16;17;18;20;23,Arousal adjectives to colour,Llama-3.1-8B-Instruct,,big erect hard huge little,white
He started stroking his,1,2;7;11;12;16;17;18;20;23,Body becomes animal,Llama-3.1-8B-Instruct,medium,chest cock crotch fingers hand penis,belly cat dog fur
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genital head evicted,Llama-3.1-8B-Instruct,,cock penis,beard chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,Groin to goatee,Llama-3.1-8B-Instruct,,balls cock crotch dick erect erection groin manhood member penis rod shaft,beard chin face goatee hair moustache mustache temples
He started stroking his,1,2;7;11;12;16;17;18;20;23,Groin to grooming,Llama-3.1-8B-Instruct,high,cock crotch dick erect erection hard member penis shaft,beard chin face goatee hair head mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,Self to owned creature,Llama-3.1-8B-Instruct,,lap own,cat dog fur furry pet whiskers
He started stroking his,1,2;7;11;12;16;17;18;20;23,Touch migrates upward,Llama-3.1-8B-Instruct,,chest cock finger fingers hand penis thigh tongue,beard chin face hair head
He started stroking his,1,2;7;11;12;16;17;18;20;23,acting hand versus acted-on limb,Llama-3.1-8B-Instruct,low,fingers hand,arm
He started stroking his,1,2;7;11;12;16;17;18;20;23,sex to grooming,Llama-3.1-8B-Instruct,high,cock crotch dick erect erection hard member penis shaft,beard chin face goatee hair head mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,Beard loses its adjectives,Lucie-7B-Instruct-v1.1,,bald big long moustache mustache,chin forehead hair head
He started stroking his,1,2;7;11;12;16;17;18;20;23,Big falls are the coarse ones,Lucie-7B-Instruct-v1.1,,ass cock dick penis pussy,back beard belly face neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,Body becomes relative,Lucie-7B-Instruct-v1.1,medium,back belly fingers hand hands legs,daughter girlfriend sister wife
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genitals give way to head,Lucie-7B-Instruct-v1.1,high,ass cock dick penis pussy,chest chin forehead head
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genitals into head,Lucie-7B-Instruct-v1.1,,ass balls butt cock dick genitals penis pussy,chest chin forehead hair head
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genitals to surfaces,Lucie-7B-Instruct-v1.1,,ass cock dick penis pussy,arm chest chin forehead head
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genitals yield to torso,Lucie-7B-Instruct-v1.1,,cock dick penis,chest head
He started stroking his,1,2;7;11;12;16;17;18;20;23,His part to his person,Lucie-7B-Instruct-v1.1,,body fingers genitals lips mustache penis,daughter girlfriend mother sister son wife
He started stroking his,1,2;7;11;12;16;17;18;20;23,Part becomes person,Lucie-7B-Instruct-v1.1,,back beard belly fingers hand neck penis,daughter girlfriend sister wife
He started stroking his,1,2;7;11;12;16;17;18;20;23,Plural parts singularized,Lucie-7B-Instruct-v1.1,low,fingers hands legs,arm leg
He started stroking his,1,2;7;11;12;16;17;18;20;23,facial hair to bare head,Lucie-7B-Instruct-v1.1,,beard moustache mustache,chin forehead head
He started stroking his,1,2;7;11;12;16;17;18;20;23,facial hair to generic head part,Lucie-7B-Instruct-v1.1,medium,beard moustache mustache,chin forehead head
He started stroking his,1,2;7;11;12;16;17;18;20;23,genital to kin displacement,Lucie-7B-Instruct-v1.1,high,cock dick penis pussy,daughter girlfriend sister wife
He started stroking his,1,2;7;11;12;16;17;18;20;23,genital vocabulary recedes,Lucie-7B-Instruct-v1.1,,ass cock dick penis pussy,chest chin forehead head
He started stroking his,1,2;7;11;12;16;17;18;20;23,possession turns human,Lucie-7B-Instruct-v1.1,,back beard belly face fingers hand hands legs neck penis,daughter girlfriend sister wife
He started stroking his,1,2;7;11;12;16;17;18;20;23,self-touch to other-directed limb,Lucie-7B-Instruct-v1.1,low,back belly fingers hand hands,arm chest leg
He started stroking his,1,2;7;11;12;16;17;18;20;23,Charged sites recede,MiniCPM5-1B,,beard belly body lips penis tongue,chest finger hand head nose
He started stroking his,1,2;7;11;12;16;17;18;20;23,Second body drops out,MiniCPM5-1B,,wife,chest finger hand head nose
He started stroking his,1,2;7;11;12;16;17;18;20;23,Singular displaces plural,MiniCPM5-1B,,fingers hands,finger hand
He started stroking his,1,2;7;11;12;16;17;18;20;23,other bodies withdrawn,MiniCPM5-1B,,daughter dog girlfriend horse pet son wife,arm back ear elbow hand head knee neck wrist
He started stroking his,1,2;7;11;12;16;17;18;20;23,plural hands singularized,MiniCPM5-1B,,fingers hands lips,chin finger hand head thumb
He started stroking his,1,2;7;11;12;16;17;18;20;23,vulgar genitals zeroed,MiniCPM5-1B,,balls cock crotch dick hips thighs,back chin forehead hand head jaw nose thumb
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genitals to grooming,Mistral-7B-Instruct-v0.1,high,balls cock dick penis shaft,beard chest chin hair hand
He started stroking his,1,2;7;11;12;16;17;18;20;23,Girth traded for length,Mistral-7B-Instruct-v0.1,medium,big hard huge thick,long
He started stroking his,1,2;7;11;12;16;17;18;20;23,Naming gives way to vicinity,Mistral-7B-Instruct-v0.1,,cock dick penis prick shaft,crotch erection
He started stroking his,1,2;7;11;12;16;17;18;20;23,Naming versus state,Mistral-7B-Instruct-v0.1,low,cock dick penis shaft,erection
He started stroking his,1,2;7;11;12;16;17;18;20;23,Slang organ becomes beard,Mistral-7B-Instruct-v0.1,,cock dick meat penis prick rod shaft tool,beard chin face hair whiskers
He started stroking his,1,2;7;11;12;16;17;18;20;23,Tumescence modifiers to long,Mistral-7B-Instruct-v0.1,,big erect fat hard huge massive rock stiff throbbing,long
He started stroking his,1,2;7;11;12;16;17;18;20;23,explicit-to-euphemistic displacement,Mistral-7B-Instruct-v0.1,high,balls big cock dick hard huge penis shaft thick,beard chest chin hair hand
He started stroking his,1,2;7;11;12;16;17;18;20;23,groomable surfaces ascend,Mistral-7B-Instruct-v0.1,,cock dick member penis shaft,beard hair hand
He started stroking his,1,2;7;11;12;16;17;18;20;23,size vocabulary sinks,Mistral-7B-Instruct-v0.1,,big erect hard huge massive thick,long
He started stroking his,1,2;7;11;12;16;17;18;20;23,surviving size modifier,Mistral-7B-Instruct-v0.1,low,big hard huge thick,long
He started stroking his,1,2;7;11;12;16;17;18;20;23,"Genitals demoted, not removed",OLMo-2-0425-1B-Instruct,,balls cock penis,cat head neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,"Genitals out, animals in",OLMo-2-0425-1B-Instruct,high,balls chest cock fingers hand hands legs penis,cat dog pet
He started stroking his,1,2;7;11;12;16;17;18;20;23,Head region holds still,OLMo-2-0425-1B-Instruct,medium,chin face hair,arm beard head neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,Mouth leaves the head,OLMo-2-0425-1B-Instruct,,chin face lips,beard head neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,Peak into plateau,OLMo-2-0425-1B-Instruct,,arms big cheek chin erect feet hands left little lover right stomach,brother cat cousin dog friend golden meat mustache neighbor partner pen phone sister
He started stroking his,1,2;7;11;12;16;17;18;20;23,Possession moves outward,OLMo-2-0425-1B-Instruct,,arms body cheek chin face feet fingers hands jaw leg legs lips lover mother stomach,brother cat cousin dog friend girlfriend neighbor partner pet sister wife
He started stroking his,1,2;7;11;12;16;17;18;20;23,Reflexive turned relational,OLMo-2-0425-1B-Instruct,high,chest chin face hand hands legs own,dog friend girlfriend partner wife
He started stroking his,1,2;7;11;12;16;17;18;20;23,Slang into clinic,OLMo-2-0425-1B-Instruct,,cock dick erect,erection genitals
He started stroking his,1,2;7;11;12;16;17;18;20;23,Stock gesture survives,OLMo-2-0425-1B-Instruct,,body chest face fingers hand hands leg legs lips,beard cat head neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,ordinary body parts persist,OLMo-2-0425-1B-Instruct,medium,chin hair,arm beard head neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,self-anatomy to other-possession swap,OLMo-2-0425-1B-Instruct,high,balls chest chin cock face fingers hand hands legs own penis,cat dog friend girlfriend partner pet wife
He started stroking his,1,2;7;11;12;16;17;18;20;23,Body narrowed to phallus,Olmo-3-7B-Instruct,,arm back beard belly cheek chest chin face forehead hair head leg legs mustache neck nose stomach,bulge cock dick erection groin member penis sex shaft
He started stroking his,1,2;7;11;12;16;17;18;20;23,Deletion against amplification,Olmo-3-7B-Instruct,,back belly chest face fingers hand hands head leg neck stomach,cock dick penis
He started stroking his,1,2;7;11;12;16;17;18;20;23,Groomed surface to organ,Olmo-3-7B-Instruct,high,back beard belly body chest chin face hair head neck stomach,cock dick erection member penis shaft
He started stroking his,1,2;7;11;12;16;17;18;20;23,"Literal hand, idiomatic hand",Olmo-3-7B-Instruct,low,fingers hand hands,cat ego
He started stroking his,1,2;7;11;12;16;17;18;20;23,Organ takes the top,Olmo-3-7B-Instruct,,beard body chin own,cock dick erection penis shaft
He started stroking his,1,2;7;11;12;16;17;18;20;23,"The organ, not its neighborhood",Olmo-3-7B-Instruct,,balls crotch pussy,cock dick erection penis shaft
He started stroking his,1,2;7;11;12;16;17;18;20;23,explicit anatomy shift,Olmo-3-7B-Instruct,high,back beard belly body chest chin face fingers hair hand hands head neck stomach,cock dick erection member penis shaft
He started stroking his,1,2;7;11;12;16;17;18;20;23,Affect drains from modifiers,Qwen2.5-0.5B-Instruct,,beloved little,new own
He started stroking his,1,2;7;11;12;16;17;18;20;23,Anatomy sinks,Qwen2.5-0.5B-Instruct,,face fingers hands head legs nose,animal new own pet
He started stroking his,1,2;7;11;12;16;17;18;20;23,Category over creature,Qwen2.5-0.5B-Instruct,,dogs horse,animal pet
He started stroking his,1,2;7;11;12;16;17;18;20;23,Deferral through the genitive,Qwen2.5-0.5B-Instruct,medium,little,girlfriend new own son
He started stroking his,1,2;7;11;12;16;17;18;20;23,"Household hand, outside tie",Qwen2.5-0.5B-Instruct,,daughter fingers nose wife,friend girlfriend son
He started stroking his,1,2;7;11;12;16;17;18;20;23,Household kin to chosen intimate,Qwen2.5-0.5B-Instruct,,daughter wife,friend girlfriend
He started stroking his,1,2;7;11;12;16;17;18;20;23,Household kin to peer companion,Qwen2.5-0.5B-Instruct,medium,daughter wife,friend girlfriend son
He started stroking his,1,2;7;11;12;16;17;18;20;23,Interposed possessor,Qwen2.5-0.5B-Instruct,,ears head horse horses monkey sheep,dog friend girlfriend pet son
He started stroking his,1,2;7;11;12;16;17;18;20;23,"Named beast, bare class",Qwen2.5-0.5B-Instruct,,dog dogs horse,animal pet toy
He started stroking his,1,2;7;11;12;16;17;18;20;23,Part gives way to whole,Qwen2.5-0.5B-Instruct,,black ears head,baby cat pet
He started stroking his,1,2;7;11;12;16;17;18;20;23,Particular creature to category,Qwen2.5-0.5B-Instruct,low,dogs horse little,animal pet toy
He started stroking his,1,2;7;11;12;16;17;18;20;23,Possession passed onward,Qwen2.5-0.5B-Instruct,,dog horse nose wife,girlfriend new own son
He started stroking his,1,2;7;11;12;16;17;18;20;23,Species to household role,Qwen2.5-0.5B-Instruct,,horse horses monkey sheep,cat dog pet
He started stroking his,1,2;7;11;12;16;17;18;20;23,formal versus informal kin,Qwen2.5-0.5B-Instruct,medium,daughter wife,baby friend girlfriend son
He started stroking his,1,2;7;11;12;16;17;18;20;23,named species versus generic category,Qwen2.5-0.5B-Instruct,low,dog dogs horse,animal cat pet
He started stroking his,1,2;7;11;12;16;17;18;20;23,Beard-gesture convergence,Qwen2.5-7B-Instruct,,cheek chest face fingers hair hand hands head lips,beard chin goatee jaw mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,Beard-line convergence,Qwen2.5-7B-Instruct,,chest fingers hair hand hands head,beard chin goatee jaw
He started stroking his,1,2;7;11;12;16;17;18;20;23,Chin cluster concentration,Qwen2.5-7B-Instruct,high,chest fingers hair hand hands lips,beard chin chin. goatee jaw mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,Chin-stroke idiom lock,Qwen2.5-7B-Instruct,,arm belly chest fingers hair hands lips,beard chin goatee jaw mustache
