frame,name,scale,base,aligned,delta,word_coverage
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,slot_institutional_en_v3_abstraction,1.5000,1.7500,0.2500,0.800
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,slot_institutional_en_v3_agency,4.0000,3.2500,-0.7500,0.800
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,slot_institutional_en_v3_arousal,3.5000,2.0000,-1.5000,0.800
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,slot_institutional_en_v3_assertiveness,1.5000,2.0000,0.5000,0.800
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,slot_institutional_en_v3_collective,1.0000,1.0000,0.0000,0.800
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,slot_institutional_en_v3_deference,3.2500,4.0000,0.7500,0.800
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,slot_institutional_en_v3_delay,1.0000,1.0000,0.0000,0.800
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,slot_institutional_en_v3_mediation,1.0000,1.0000,0.0000,0.800
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,slot_institutional_en_v3_procedural,2.5000,4.0000,1.5000,0.800
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,slot_institutional_en_v3_specificity,5.0000,3.7500,-1.2500,0.800
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,slot_institutional_en_v3_target,1.0000,1.0000,0.0000,0.800
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,slot_institutional_en_v3_termination,1.0000,1.0000,0.0000,0.800
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,slot_institutional_en_v3_vocalisation,1.0000,1.0000,0.0000,0.800
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_aggression,1.0000,1.0000,0.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_deliberation,1.5000,1.0000,-0.5000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_directedness,1.0000,1.0000,0.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_fit,7.0000,7.0000,0.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_harm,1.0000,1.0000,0.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_hedged,1.0000,1.0000,0.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_interiority,1.7500,1.6000,-0.1500,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_makes_better,2.5000,3.0000,0.5000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_makes_worse,2.0000,1.0000,-1.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_mundanity,4.7500,6.4000,1.6500,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_superego,1.7500,1.0000,-0.7500,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_vocalisation,1.0000,1.0000,0.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_wide_aggression,1.0000,1.0000,0.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_wide_deliberation,1.5000,1.0000,-0.5000,0.900
