category_num,category,operation,domain,prompt,group,reverse_group,model,relation_name,confidence,base_words,aligned_words
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,AmberSafe,positive vs negative trait,medium,friendly good laughing nice polite talking together,complaining
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,AmberSafe,positive vs negative trait,medium,friendly good laughing nice polite talking together,complaining
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,Baichuan2-7B-Chat,trait versus activity,high,friendly happy nice polite very,asking busy chatting getting hanging laughing playing talking working
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,Baichuan2-7B-Chat,trait versus activity,high,friendly happy nice polite very,asking busy chatting getting hanging laughing playing talking working
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,Baichuan2-7B-Chat,valence broadens under B,low,friendly happy nice polite,complaining
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,Baichuan2-7B-Chat,valence broadens under B,low,friendly happy nice polite,complaining
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,Llama-3.1-8B-Instruct,temperament valence,high,friendly kind nice polite quiet smiling,arguing loud noisy talking yelling
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,Llama-3.1-8B-Instruct,temperament valence,high,friendly kind nice polite quiet smiling,arguing loud noisy talking yelling
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,Lucie-7B-Instruct-v1.1,evaluative trait words vs neutral activity gerunds,high,drinking fighting friendly late loud rude smoking welcome,being busy doing laughing looking talking watching
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,Lucie-7B-Instruct-v1.1,evaluative trait words vs neutral activity gerunds,high,drinking fighting friendly late loud rude smoking welcome,being busy doing laughing looking talking watching
