frame,name,confidence,coverage,n_base,n_aligned,base_warriner_valence,base_warriner_arousal,base_warriner_dominance,base_brysbaert_concreteness,base_k_charge,base_k_transgressiveness,base_k_vulgarity,base_k_register_level,base_k_bodily_harm,base_k_concreteness,base_k_valence,aligned_warriner_valence,aligned_warriner_arousal,aligned_warriner_dominance,aligned_brysbaert_concreteness,aligned_k_charge,aligned_k_transgressiveness,aligned_k_vulgarity,aligned_k_register_level,aligned_k_bodily_harm,aligned_k_concreteness,aligned_k_valence
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,medium,1.0,4,6,5.1167,5.7800,4.7233,4.3875,3.0000,2.6667,2.6667,3.3333,1.0000,4.6667,3.3333,6.4333,4.4933,5.9167,4.4025,1.0000,1.0000,1.0000,3.2500,1.0000,4.7500,4.0000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,medium,0.5384615384615384,3,4,5.4100,4.0000,6.2200,2.1400,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,4.0000,5.1225,4.9725,5.7500,2.4350,2.5000,1.5000,1.2500,3.5000,1.0000,1.7500,3.2500
"During the search, the guard found on him a",Contraband versus container,medium,1.0,6,9,4.1880,5.3960,4.9600,4.7860,1.8000,1.4000,1.0000,4.0000,2.6000,7.0000,3.6000,5.7167,3.6833,5.6256,4.1178,1.0000,1.0000,1.0000,4.0000,1.0000,4.6667,4.0000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,medium,0.8947368421052632,11,6,4.8300,4.5289,5.3322,3.2360,2.5000,1.8000,1.2000,3.9000,1.4000,3.1000,3.4000,3.6975,4.5375,4.9000,3.6480,3.4000,1.4000,1.0000,3.8000,1.0000,3.4000,2.8000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,medium,0.75,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.6550,1.0000,1.0000,1.0000,4.0000,1.0000,2.5000,4.0000
He clenched his fist and,Physical impact versus non-impact continuation,medium,1.0,9,10,4.2475,5.2250,5.5300,3.5414,2.4286,2.0000,1.0000,3.7143,2.5714,4.5714,3.2857,5.6140,4.4620,5.8280,3.3875,2.4444,1.1111,1.0000,3.7778,1.0000,3.7778,3.6667
He entered her,Location entered versus part or state of the person entered,high,0.7692307692307693,4,6,5.7467,3.8533,5.3733,4.7175,1.5000,1.0000,1.0000,4.0000,1.0000,6.5000,4.2500,6.2467,3.7633,6.0367,4.7717,1.0000,1.0000,1.0000,4.0000,1.0000,6.3333,4.1667
He filled the offering bowls and,Continuation of ritual action,low,1.0,2,7,5.1600,3.2800,5.3500,3.5550,1.0000,1.0000,1.0000,4.0000,1.0000,3.0000,4.0000,5.5867,3.3733,5.9267,2.6743,1.0000,1.0000,1.0000,4.0000,1.0000,3.1429,4.0000
He grabbed her by the hand and led her toward the,Destination as a bounded location versus a point of access or boundary,medium,1.0,7,10,6.2717,3.6850,6.0350,4.6433,1.1667,1.0000,1.0000,4.0000,1.0000,6.5000,4.1667,5.6300,3.6662,5.4800,4.4950,1.3750,1.0000,1.0000,3.8750,1.0000,5.3750,4.0000
He guided his roommate to the floor and,Continuation of the guided action versus a new action,medium,1.0,10,8,5.3333,4.2867,6.2600,2.9367,1.1111,1.0000,1.0000,3.8889,1.0000,3.4444,4.1111,6.4800,4.0000,6.0933,2.8500,1.5000,1.0000,1.0000,4.0000,1.0000,2.8750,4.5000
