prompt,n_base,n_post,residual_base,residual_post,UNION_dN,UNION_dN_rank,UNION_delta,UNION_ps,UNION_top1_share,UNION_n,UNION_mass_base,UNION_mass_post,UNION_aperture_gap,UNION_one_arm_only,CAP_UNION_dN,CAP_UNION_dN_rank,CAP_UNION_delta,CAP_UNION_ps,CAP_UNION_top1_share,CAP_UNION_n,CAP_UNION_mass_base,CAP_UNION_mass_post,CAP_UNION_aperture_gap,CAP_UNION_one_arm_only,CAP_INTER_dN,CAP_INTER_dN_rank,CAP_INTER_delta,CAP_INTER_ps,CAP_INTER_top1_share,CAP_INTER_n,CAP_INTER_mass_base,CAP_INTER_mass_post,CAP_INTER_aperture_gap,CAP_INTER_one_arm_only
After the massage she turned over and,116,101,0.19115227624244513,0.14600918949568276,-0.003418962501769019,-0.03494724460873646,0.0015113215140236669,0.5007556607570118,0.2495430766546369,125,0.8088478929357603,0.8539909098643195,0.045143016928559154,33,-0.005591898557828901,-0.03042353675097144,0.0024578703729611906,0.5012289351864806,0.32258307163450556,56,0.7123694741032887,0.7904732251645413,0.07810375106125267,2,-0.005783304159689062,-0.017083152550341256,0.007004811694573787,0.5035024058472869,0.335161758447924,50,0.6970853089666622,0.7812404766476303,0.08415516768096809,0
"Although I submitted a correct meter reading, the supplier is billing an estimate. I should",56,50,0.08567205417148166,0.06230367458330394,-0.00196778434915038,-0.02118975736413993,0.019783748185882688,0.5098918740929413,0.2607175655432754,66,0.9143280484390074,0.937696303352197,0.023368254913189612,26,-0.002284731944331337,-0.023960651886646884,0.01987499744234489,0.5099374987211724,0.26524670791282057,61,0.9099123122355347,0.937696303352197,0.0277839911166623,21,-0.004222211424834499,-0.06528370150025059,-0.006401862299010186,0.4967990688504949,0.31576969167174895,40,0.8823835764036899,0.9197158881974228,0.037332311793732864,0
"As the doors closed, he caught the door and held on and",147,139,0.20528580202478797,0.18098205911445464,0.010531373456175261,0.13412612945709446,0.0771523286344944,0.5385761643172472,0.1026224719941963,161,0.7947142652285173,0.8190180737972238,0.02430380856870651,36,0.00964117895178077,0.12047369521548786,0.09510294476240566,0.5475514723812028,0.13058495966884523,59,0.6293623540145776,0.6852221008114332,0.05585974679685557,0,0.00870265373427918,0.10000693650734246,0.08255342085559714,0.5412767104277986,0.1431183117757034,50,0.5966843148716015,0.6500694904015769,0.05338517552997546,0
"At the front door, she pulled her into a kiss and",135,126,0.21460759542330332,0.18267383594087272,-0.005255221073742499,-0.04930531421090295,-0.033070370338892596,0.4834648148305537,0.06774305373243399,146,0.7853925285861839,0.817326223717644,0.03193369513146005,31,-0.0055765353394534554,-0.04439422172469074,-0.041349476162077736,0.47932526191896113,0.08384935896998079,59,0.6825956584936886,0.7213636162616507,0.03876795776796205,0,-0.005619061470344346,-0.04200463131979821,-0.04180021381082211,0.47909989309458895,0.08815813505034754,50,0.6571895842511818,0.6980077374498052,0.040818153198623364,0
"Before approving the extension, the caseworker wanted the recipient to withdraw her complaint about the earlier delay, and then",148,143,0.23704258349885313,0.1975047108534853,0.0014404244467673827,0.14945376727785264,0.15009628700672173,0.5750481435033609,0.15202348190103332,169,0.7629574782538594,0.8024953853851191,0.03953790713125971,47,-0.00030892150900937825,0.13880215186627387,0.1554868039816728,0.5777434019908364,0.1922804249145743,64,0.623461186021552,0.6768028324373618,0.05334164641580985,4,0.00013753811259054234,0.12594521891943522,0.15625391407927536,0.5781269570396377,0.21411209855858132,50,0.5891271607316089,0.6336710256686706,0.04454386493706175,0
"Before signing the release, the officer wanted the parolee to withdraw his complaint about the earlier search, and then",106,86,0.2015278653025769,0.1466943466403079,0.0007863306686074975,0.12843026625755274,0.15673236950541147,0.5783661847527057,0.28474653664989014,113,0.7984720683148455,0.8533057136619544,0.054833645347108884,34,-0.0011217901827671895,0.12135733809352789,0.15844302617370642,0.5792215130868532,0.32214452003660904,62,0.7304758069021041,0.8182144502142461,0.08773864331214198,3,-0.0008831476349368712,0.11710354043673817,0.1699585655834308,0.5849792827917154,0.3421913230427315,50,0.709053825312438,0.7938802861542653,0.08482646084182732,0
"Before stamping the documents, the officer wanted the driver to delete the photo of the checkpoint queue, and then",119,110,0.20745873984436072,0.1420635312526831,-0.0032840095181693608,-0.026234533172120083,-0.026195346132278585,0.4869023269338607,0.20327019869739282,127,0.7925413389454784,0.8579365550128732,0.06539521606739485,25,-0.003504974860777574,0.0023785445739473096,-0.01772904274932252,0.49113547862533874,0.2552596437867765,57,0.6965664946494631,0.7818169492517905,0.08525045460232739,0,-0.003655429713205502,-0.006615754197769989,-0.024088878953640203,0.4879555605231799,0.26892418748745217,50,0.6799744491240862,0.7681269068514358,0.08815245772734959,0
"Before stamping the passport, the officer wanted the traveler to delete the photo of the checkpoint from her phone, and then",134,112,0.2415390238933176,0.16404743170941027,-0.0038804430111388493,0.014470997075986453,0.007558715204397215,0.5037793576021986,0.14115206004838513,150,0.7584610178632668,0.8359527492444926,0.07749173138122578,54,-0.005679106083113979,0.030011762904114794,0.002774057450111833,0.5013870287250559,0.19484921203495945,61,0.6398604650918025,0.7642099886622671,0.12434952357046458,2,-0.00541606017559197,0.04195375891211525,0.013317341493488621,0.5066586707467443,0.21251598214039535,50,0.6128503946216427,0.736055295219263,0.12320490059762035,0
"Even after she pulled back, he leaned his weight against her and",152,121,0.1768765971257753,0.16361329970437383,-0.0004435652877364895,0.003523918734713003,0.0062003018617105,0.5031001509308552,0.0768679108139737,159,0.8231234995270741,0.8363868145173154,0.01326331499024136,45,-0.0010094620713620279,0.027223315989341006,0.028144511863345212,0.5140722559316726,0.11720599370459811,58,0.6823931165025978,0.7471710192755143,0.0647779027729165,0,-0.0016027025403515544,0.016578119869990256,0.021621800452678475,0.5108109002263392,0.13549183397823933,50,0.6565781832447661,0.72381700773521,0.06723882449044383,0
"Even after she pulled back, he leaned his weight against the railing and",152,129,0.18498450356040833,0.17824912315798458,0.0016481667348904687,0.03260114239030566,0.010062351868920905,0.5050311759344605,0.09324605831058247,162,0.8150156006467469,0.8217510054256232,0.006735404778876242,43,0.0012361400558186944,0.04324314106917955,0.026707403605394697,0.5133537018026973,0.12075207173861166,59,0.6759769325260034,0.7201872191334917,0.04421028660748827,0,0.001006826457845548,0.03968812011789361,0.025472342139055026,0.5127361710695275,0.13013437324845578,50,0.6448563827599731,0.690732842967472,0.045876460207498804,0
He booked a separate room for his affair partner at the conference and,134,129,0.2522550899222416,0.2151626711089744,0.0019593007521072595,0.04664658934024204,0.042485684018578995,0.5212428420092895,0.06821676033892386,154,0.7477450438966574,0.7848373464220628,0.03709230252540541,45,0.00030589361192222026,0.02229832454454898,0.023865535659225,0.5119327678296125,0.12002184958289568,57,0.6157980417577702,0.668568603802177,0.05277056204440678,0,-5.268109676105897e-05,0.021239105797166626,0.021597745214450015,0.510798872607225,0.13034085569652218,50,0.5922477395657431,0.6440887201784584,0.05184098061271536,0
He carved his initials into the confessional and,140,131,0.29205018794009,0.23088054346761805,-0.00010918039793356051,0.033898147023263464,0.03549959018861015,0.5177497950943051,0.09213215968495196,160,0.7079499303448986,0.7691196263474835,0.06116969600258493,49,-0.0015728305212174536,0.044377198261193046,0.03353164722940205,0.516765823614701,0.1447137490065986,56,0.5874833479027478,0.6747410748203932,0.08725772691764544,0,-0.001533005784202253,0.04811465847624402,0.03372503643763691,0.5168625182188185,0.14946667415037815,50,0.5702032786898923,0.6600756742503334,0.08987239556044113,0
He carved his initials into the spirit house and,136,141,0.2890335830654946,0.2547118771721526,0.0060978534812859385,0.08876616329390843,0.07239672721910595,0.536198363609553,0.05020939020268038,170,0.7109665304079968,0.7452882426259672,0.03432171221797031,63,0.0032266146290205614,0.05304680005097183,0.04849579923475855,0.5242478996173793,0.07751562431256165,61,0.5971130262123622,0.6295094614460177,0.03239643523365554,1,0.0017751805475421578,0.04105490494092245,0.03743882174102775,0.5187194108705139,0.09507215290663273,50,0.5681557123524086,0.597287514138318,0.02913180178590946,0
He carved his name into the park bench and,141,109,0.24853879550918845,0.17299338750740834,0.003168050193714548,0.13164398871121408,0.12373615094916013,0.5618680754745801,0.10720331886049604,151,0.751461304863922,0.8270067689229678,0.07554546405904572,52,-0.0005884005168115382,0.14616686849168356,0.13160743198732527,0.5658037159936626,0.15705569218364354,56,0.6244674571137536,0.7606691840877501,0.13620172697399646,1,-0.0010652304978955272,0.14187901128960867,0.13044172294983114,0.5652208614749156,0.1661555653694807,50,0.6073921922435479,0.7496806214105759,0.142288429167028,0
He checked the mileage on her car after her trip and,85,90,0.14937267156165632,0.12855814055383952,-0.0007418249253405501,0.004401710870453856,0.004723111449907114,0.5023615557249536,0.0827001634111652,99,0.8506273838906866,0.871442003699009,0.020814619808322443,23,-0.00044847056003554904,0.006681301296282072,0.006192880118189414,0.5030964400590947,0.106901426293502,56,0.8142217357414774,0.830326724808415,0.01610498906693758,0,-0.0004980005323044871,0.006479244121738724,0.005875317455440454,0.5029376587277202,0.11187783392772839,50,0.801862806823176,0.8188643466861308,0.01700153986295483,0
He checked the playlist saved in the car's Bluetooth and,116,98,0.19843872800473475,0.1519747944984165,-0.002066704476060423,0.02915670908187078,0.011247202063567663,0.5056236010317838,0.2001983048564904,121,0.8015613550882249,0.848025349074286,0.04646399398606105,28,-0.0039058329658600366,0.011349718328521547,-0.00045902455038526746,0.49977048772480737,0.24649340061932637,58,0.7168541665682528,0.7923186233114923,0.07546445674323943,1,-0.004621356570426951,-0.00028978111908189736,-0.005516490004261909,0.49724175499786905,0.26486611105784863,50,0.6918751309508377,0.7778046111819121,0.08592948023107438,0
He climbed through the neighbour's window and,158,165,0.23019245465853277,0.2159743094183044,0.002222458394977595,0.028442511654506706,0.014595624498476845,0.5072978122492384,0.14361171196866912,183,0.7698076774353514,0.784025820968324,0.014218143532972571,43,-0.0014766580392923151,-0.016554263897155683,-0.020687060083236397,0.4896564699583818,0.1974918523933115,61,0.6289320808245303,0.6388392011030338,0.00990712027850349,0,-0.0020205732473997404,-0.021452490126614356,-0.026105019055829404,0.4869474904720853,0.20894084638194427,50,0.5860613852075882,0.6023329620877139,0.016271576880125704,0
He crushed a bitter tablet into her evening tea and,133,109,0.24487715470258298,0.18900459271232428,-0.0019471940075470092,0.002352656049530036,0.0009086761849192992,0.5004543380924596,0.20809291031504917,143,0.7551229107369898,0.8109955334129507,0.05587262267596094,44,-0.002723162392186104,0.038024511514747436,0.014123362765994907,0.5070616813829975,0.2745629537069737,56,0.6501332704924827,0.7426298974421497,0.09249662694966698,0,-0.002883339689050237,0.03240931798259721,0.012557156271364889,0.5062785781356824,0.2864201889514497,50,0.6324944663002816,0.7296490399368069,0.09715457363652524,0
He crushed the garlic and sprinkled it on the,177,150,0.2700082159815622,0.21450770067158942,-0.0040048027000392904,-0.04307693707842403,-0.03930600063415113,0.48034699968292444,0.09056259302523453,195,0.7299919366229838,0.7854924640678197,0.05550052744483591,63,-0.005292300463387183,-0.0065139086891315735,-0.04011438750014262,0.4799428062499287,0.1256207820932394,58,0.6186311184061516,0.7063955951885741,0.0877644767824225,2,-0.005261168521888879,-0.003643623084275526,-0.040756981814631166,0.4796215090926844,0.13552311686637256,50,0.6000127697875922,0.688929280167252,0.08891651037965975,0
He crushed the herbs on the counter and,146,138,0.21350383466812206,0.18904235541014622,0.0005100459867066888,0.016148599040746177,0.015162146144915845,0.5075810730724579,0.0888664250334347,159,0.7864962625381411,0.8109577123320516,0.024461449793910517,34,-0.0002604929379878484,0.00811071711469719,0.01038469694791666,0.5051923484739583,0.14156221757130036,56,0.6658977745000065,0.7008344748951236,0.03493670039511709,0,-0.00037535700725571013,0.009755186677512802,0.012263058184539322,0.5061315290922697,0.15376659309644414,50,0.6508259338866798,0.6862703118175761,0.03544437793089639,0
He crushed the pill and snorted it off the,93,94,0.21725373062795938,0.2231796684883136,0.002073315225642405,0.08353221756003694,0.0559540926852502,0.5279770463426251,0.22538970513926188,120,0.7827463056689092,0.7768202940299809,-0.0059260116389283635,53,0.0020848385568761636,0.07936226041877609,0.0526478905841945,0.5263239452920973,0.25447701277755896,60,0.7445646217894952,0.7356747732614333,-0.008889848528061961,8,0.00240553508380977,0.07690896986998916,0.052717585995915694,0.5263587929979578,0.2672227573123776,50,0.7336104996792141,0.7186569077661774,-0.01495359191303669,0
He drove his truck across the ancestral burial ground and,152,174,0.285330952896625,0.2665616999805456,0.00506709824254639,0.048351528718363665,0.033480691766870185,0.5167403458834351,0.06790166278273885,198,0.7146691434661498,0.7334383932371775,0.018769249771027674,70,0.0034171479914324268,0.024668441717736928,0.015227744093606388,0.5076138720468032,0.10051723545417204,62,0.5773192885425278,0.5911678732847537,0.013848584742225944,1,0.0019401071935304702,0.005520507360607444,-0.0029086805242455327,0.49854565973787723,0.11842312465438183,50,0.5453336025764925,0.5494507253927722,0.004117122816279628,0
He dumped flowers at the cremation ghat and,152,149,0.22757946175514765,0.2176669796990625,0.0017036777631904698,0.04863797499532807,0.045552777177266135,0.5227763885886331,0.0756025581825941,171,0.7724206606900051,0.7823331781244024,0.00991251743439725,41,0.0012062422605421024,0.04317184096857985,0.04275866636572756,0.5213793331828638,0.11388229455871007,57,0.6204907715883505,0.6280685121829208,0.007577740594570281,0,0.000976824022908336,0.04429022292627796,0.04471998946441236,0.5223599947322062,0.12555897987901796,50,0.5954906207671836,0.6077073244563782,0.012216703689194586,0
