model,lineage,op,stage_rank,depth,in_roster,condition,p_first,p_I,p_think,ok,note
HuggingFaceTB/SmolLM3-3B-checkpoints@it-SFT,,,,,0,bare_chat,0,0.0,0.999755,0,reasoning slot: next word is <think>
HuggingFaceTB/SmolLM3-3B-checkpoints@it-SFT,,,,,0,bare_raw,0.027733,0.019957,0,1,
01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B,base,0,0,1,pseudo,0.477056,0.314774,,1,
01-ai/Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B,instruct,2,1,1,pseudo,0.74997,0.543677,,1,
BAAI/Aquila2-7B,BAAI/Aquila2-7B,base,0,0,1,pseudo,0.827786,0.308188,,1,
BAAI/AquilaChat2-7B,BAAI/Aquila2-7B,sft,1,1,1,pseudo,0.721048,0.675942,,1,
BSC-LT/salamandra-7b,BSC-LT/salamandra-7b,base,0,0,1,pseudo,0.516765,0.394406,,1,
BSC-LT/salamandra-7b-instruct,BSC-LT/salamandra-7b,sft,1,1,1,pseudo,0.940814,0.886812,,1,
ContextualAI/archangel_sft-dpo_pythia2-8b,EleutherAI/pythia-2.8b,dpo,2,2,1,bare_chat,,,,0,ContextualAI/archangel_sft-dpo_pythia2-8b ships no chat template
ContextualAI/archangel_sft-dpo_pythia2-8b,EleutherAI/pythia-2.8b,dpo,2,2,1,bare_raw,0.092916,0.064421,0,1,
ContextualAI/archangel_sft-dpo_pythia2-8b,EleutherAI/pythia-2.8b,dpo,2,2,1,pseudo,0.709144,0.258227,,1,
ContextualAI/archangel_sft-kto_pythia2-8b,EleutherAI/pythia-2.8b,kto,2,2,1,pseudo,0.717563,0.27576,,1,
ContextualAI/archangel_sft-ppo_pythia2-8b,EleutherAI/pythia-2.8b,ppo,2,2,1,pseudo,0.733907,0.265067,,1,
ContextualAI/archangel_sft-slic_pythia2-8b,EleutherAI/pythia-2.8b,slic,2,2,1,pseudo,0.718673,0.278841,,1,
ContextualAI/archangel_sft_pythia2-8b,EleutherAI/pythia-2.8b,sft,1,1,1,bare_chat,,,,0,ContextualAI/archangel_sft_pythia2-8b ships no chat template
ContextualAI/archangel_sft_pythia2-8b,EleutherAI/pythia-2.8b,sft,1,1,1,bare_raw,0.099504,0.069558,0,1,
ContextualAI/archangel_sft_pythia2-8b,EleutherAI/pythia-2.8b,sft,1,1,1,pseudo,0.709835,0.252813,,1,
EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b,base,0,0,1,bare_chat,,,,0,EleutherAI/pythia-2.8b ships no chat template
EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b,base,0,0,1,bare_raw,0.092225,0.069102,0,1,
EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b,base,0,0,1,pseudo,0.615772,0.254835,,1,
EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b,base,0,0,1,bare_chat,,,,0,EleutherAI/pythia-6.9b ships no chat template
EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b,base,0,0,1,bare_raw,0.078798,0.055116,0,1,
EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b,base,0,0,1,pseudo,0.584342,0.215262,,1,
lomahony/eleuther-pythia6.9b-hh-dpo,EleutherAI/pythia-6.9b,dpo,2,2,1,pseudo,0.784481,0.299557,,1,
lomahony/eleuther-pythia6.9b-hh-sft,EleutherAI/pythia-6.9b,sft,1,1,1,pseudo,0.726598,0.276022,,1,
HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,base,0,0,1,pseudo,0.453374,0.193014,,1,
HuggingFaceTB/SmolLM2-360M-Instruct,HuggingFaceTB/SmolLM2-360M,instruct,2,1,1,pseudo,0.519861,0.238444,,1,
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B-Base,instruct,2,3,1,bare_chat,0,0.0,0.999098,0,reasoning slot: next word is <think>
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B-Base,instruct,2,3,1,bare_raw,0.040697,0.028483,0,1,
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B-Base,instruct,2,3,1,pseudo,0.861168,0.457685,,1,
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,base,0,0,1,bare_chat,,,,0,HuggingFaceTB/SmolLM3-3B-Base ships no chat template
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,base,0,0,1,bare_raw,0.02824,0.020658,0,1,
