word	fpm
the	29449.176471
to	22677.843137
a	20415.274510
you	41857.117647
and	13387.843137
it	18896.313725
s	20731.392157
of	11577.235294
for	6895.098039
I	39971.156863
in	9773.411765
on	6955.725490
is	9013.000000
that	14111.313725
What	9842.450980
be	5746.764706
have	6161.411765
are	5209.254902
this	7978.725490
No	5971.549020
we	9011.901961
me	9241.941176
t	14379.176471
there	4348.117647
can	5247.450980
here	4525.254902
with	5048.333333
but	4417.470588
he	7637.196078
now	3202.607843
so	4244.156863
my	6762.725490
not	5424.960784
do	6135.588235
your	6445.392157
at	3217.098039
one	3072.235294
up	3670.000000
was	5654.725490
go	3793.039216
out	3865.313725
How	3056.215686
like	3998.960784
if	3541.372549
know	5721.176471
just	4749.137255
get	4583.764706
Come	3140.980392
they	4102.941176
don	6295.784314
see	2556.725490
about	3631.490196
right	4008.392157
who	2222.941176
good	2610.137255
when	2034.098039
time	1958.627451
Let	2419.235294
did	2341.372549
from	2039.058824
want	2759.176471
think	2691.392157
take	1891.039216
Why	2248.764706
m	6730.294118
look	1947.274510
an	1864.137255
all	5161.862745
back	2009.156863
some	1727.235294
re	6099.450980
would	1767.882353
been	1736.725490
Where	1830.215686
then	1489.529412
him	3484.509804
got	3306.490196
as	2217.019608
or	1705.294118
going	2123.294118
were	1662.823529
could	1629.588235
say	1639.784314
something	1500.156863
had	1675.921569
way	1424.725490
make	1387.745098
by	1340.470588
too	1371.568627
us	1695.647059
his	2124.784314
ll	4394.058824
more	1298.588235
over	1323.294118
didn	1580.843137
them	1778.823529
down	1490.274510
never	1362.549020
Well	2990.647059
Yes	1996.764706
d	1986.960784
should	1061.941176
will	2123.647059
she	3732.882353
tell	1724.490196
only	1083.705882
our	1400.490196
give	1167.823529
her	2835.823529
need	1294.901961
has	1133.921569
little	1446.392157
off	1179.509804
thing	1088.666667
man	1845.745098
any	1099.372549
mean	1243.980392
much	973.254902
said	1108.450980
Oh	3289.823529
sure	1099.823529
am	1106.627451
two	1066.352941
really	1500.156863
doing	1029.254902
even	875.921569
anything	907.254902
sorry	1167.960784
before	794.137255
because	1071.019608
people	1102.980392
into	844.588235
very	1241.254902
first	840.568627
again	792.705882
nothing	853.607843
these	904.000000
put	828.450980
please	1100.960784
thought	808.470588
better	794.000000
still	788.725490
Thank	1115.235294
Yeah	2985.529412
than	738.803922
help	921.117647
other	735.392157
Maybe	926.450980
last	723.098039
day	801.823529
those	753.019608
wait	830.254902
find	830.960784
work	798.019608
does	666.705882
after	682.588235
talk	855.000000
life	796.647059
long	675.156863
away	730.901961
keep	702.862745
around	736.725490
call	861.392157
doesn	635.980392
won	759.392157
Hey	1727.039216
told	699.588235
ever	709.215686
always	655.254902
things	692.882353
great	820.862745
home	774.333333
made	561.294118
stop	707.274510
believe	625.137255
night	866.039216
love	1114.980392
everything	654.882353
another	509.215686
kind	590.686275
isn	586.000000
place	602.666667
feel	627.235294
hear	555.352941
wrong	523.098039
new	723.784314
big	682.823529
bad	545.176471
every	549.156863
through	549.529412
their	655.156863
leave	560.705882
lot	569.921569
coming	527.019608
enough	501.333333
must	699.235294
Thanks	623.313725
fine	598.078431
might	516.352941
getting	484.686275
remember	542.470588
nice	649.509804
being	485.901961
try	476.745098
wanted	502.274510
name	641.862745
done	485.039216
else	449.156863
gonna	1996.156863
ask	483.137255
left	484.450980
next	452.745098
wouldn	463.294118
Listen	544.784314
years	568.686275
happened	490.078431
talking	497.745098
care	485.254902
God	903.156863
own	459.196078
three	542.235294
old	608.941176
came	463.725490
mind	484.607843
looking	432.666667
trying	448.019608
stay	515.647059
understand	482.450980
yourself	434.333333
someone	446.117647
wasn	431.058824
same	417.176471
guess	453.980392
went	411.509804
best	404.372549
may	511.372549
course	487.215686
which	477.235294
show	488.352941
guy	762.607843
today	433.803922
while	349.431373
seen	384.960784
heard	387.745098
without	354.647059
hold	436.725490
real	442.803922
use	343.843137
together	383.392157
whole	385.490196
haven	369.490196
saw	402.490196
Hello	585.431373
once	344.882353
took	342.235294
yet	341.725490
ready	387.803922
found	396.000000
idea	359.039216
already	318.549020
pretty	392.215686
start	340.098039
myself	342.549020
used	344.137255
Okay	2006.274510
many	359.431373
knew	368.960784
head	371.509804
since	314.980392
couldn	339.921569
room	439.509804
matter	370.588235
world	455.215686
friend	419.294118
Mr	1178.392157
girl	557.117647
bring	327.156863
most	350.764706
boy	529.823529
until	302.470588
hope	320.627451
both	295.333333
called	340.019608
hard	307.843137
guys	631.333333
minute	377.490196
run	350.549020
looks	311.490196
morning	439.000000
live	344.588235
Excuse	368.098039
move	418.137255
house	514.000000
wants	306.960784
few	301.823529
Hi	558.117647
meet	352.274510
job	413.000000
later	291.941176
turn	306.470588
dead	448.980392
says	320.705882
woman	434.627451
alone	308.529412
gone	296.764706
watch	330.019608
having	289.254902
problem	330.058824
ago	286.117647
open	320.411765
hell	470.823529
saying	291.647059
somebody	344.529412
days	305.725490
probably	280.843137
tonight	412.686275
second	284.568627
worry	287.019608
thinking	281.431373
kill	452.568627
everybody	344.215686
lost	274.000000
end	265.862745
happen	254.274510
forget	277.058824
tomorrow	335.960784
money	640.764706
makes	241.098039
taking	240.450980
such	291.215686
huh	438.235294
face	289.156863
part	261.509804
soon	257.647059
sit	311.352941
late	269.725490
under	261.921569
whatever	246.745098
anyone	255.254902
hand	279.647059
mother	479.921569
happy	333.196078
gave	243.686275
actually	322.333333
friends	305.450980
exactly	247.196078
each	253.254902
knows	244.941176
aren	234.235294
supposed	252.254902
father	554.490196
Miss	467.647059
stuff	306.921569
mine	250.980392
making	222.529412
least	207.764706
easy	265.705882
working	250.490196
anyway	238.509804
chance	241.235294
play	354.529412
family	354.254902
true	253.352941
gets	222.823529
comes	228.549020
check	278.980392
door	292.058824
change	240.352941
means	218.352941
deal	261.372549
gotta	506.901961
minutes	273.019608
five	285.450980
point	236.529412
far	220.764706
business	321.000000
set	231.470588
close	219.431373
times	220.019608
goes	217.274510
car	483.058824
word	235.549020
son	410.764706
Nobody	266.647059
rest	212.960784
sir	964.470588
hurt	246.352941
everyone	241.647059
asked	216.254902
hit	275.000000
baby	509.372549
bit	235.039216
yours	204.725490
hands	236.529412
crazy	272.274510
week	238.509804
break	221.078431
men	372.764706
couple	223.411765
either	182.509804
year	277.921569
waiting	211.117647
beautiful	279.725490
wish	235.117647
almost	193.274510
cause	310.039216
afraid	247.666667
cut	229.764706
pay	254.607843
four	255.784314
stand	226.196078
case	282.411765
important	207.588235
tried	186.843137
anybody	226.921569
different	209.529412
hours	214.882353
walk	215.862745
telling	190.784314
eat	251.882353
reason	193.294118
Shut	263.823529
inside	211.274510
wife	348.921569
trouble	223.549020
eyes	221.549020
also	206.431373
hate	214.588235
read	241.215686
behind	187.862745
started	187.568627
ahead	198.333333
pick	198.392157
side	200.921569
person	212.882353
damn	283.529412
half	199.137255
young	243.176471
brought	172.274510
sleep	227.941176
funny	218.176471
die	261.137255
between	175.137255
fun	235.490196
kid	339.196078
though	181.941176
wanna	505.803922
front	181.549020
question	198.352941
heart	244.176471
seems	167.549020
number	240.941176
line	206.176471
school	333.117647
against	201.725490
anymore	188.176471
kids	301.098039
phone	269.725490
welcome	179.215686
met	191.333333
shouldn	158.490196
high	195.000000
outside	170.019608
killed	290.039216
sometimes	179.000000
moment	187.039216
needs	160.745098
fact	172.568627
sounds	156.274510
drink	247.392157
Dad	507.254902
six	199.529412
answer	176.196078
feeling	168.176471
hour	162.294118
full	166.901961
along	182.941176
glad	171.372549
speak	187.176471
quite	202.588235
buy	192.431373
able	159.901961
death	216.686275
free	177.529412
stupid	184.411765
running	157.921569
story	220.784314
lose	164.352941
send	179.784314
trust	178.176471
shot	227.431373
hot	189.843137
truth	192.176471
honey	300.490196
clear	171.823529
till	166.725490
lady	217.078431
water	225.058824
town	247.921569
bed	187.117647
living	156.529412
seem	139.823529
Mom	430.392157
sound	143.392157
happens	137.176471
lives	139.686275
save	162.313725
taken	138.647059
months	163.019608
serious	148.352941
touch	147.725490
bet	171.823529
news	164.686275
office	203.901961
leaving	141.392157
body	195.529412
dinner	202.666667
married	238.490196
fire	215.490196
light	165.196078
perfect	158.647059
special	148.568627
hang	147.745098
luck	153.725490
lucky	143.450980
promise	153.117647
uh	717.235294
sick	165.431373
weren	122.294118
asking	128.352941
sense	131.803922
women	195.647059
order	156.568627
its	171.705882
fast	137.450980
brother	283.941176
game	233.843137
catch	135.509804
sent	138.000000
sort	148.705882
himself	140.549020
boys	224.156863
alive	154.470588
known	123.529412
died	157.215686
party	233.137255
drive	153.137255
playing	147.352941
doctor	263.941176
fight	201.078431
kidding	133.764706
figure	129.372549
pull	146.450980
throw	128.823529
cool	195.882353
calling	123.745098
unless	113.686275
looked	120.901961
Hurry	173.647059
girls	208.352941
past	123.764706
hair	153.549020
takes	117.372549
except	111.686275
top	133.431373
food	154.431373
finally	117.431373
straight	122.431373
sweet	145.196078
wonder	116.980392
giving	110.058824
drop	130.607843
worked	115.235294
small	124.960784
plan	145.725490
somewhere	111.529412
less	111.098039
blood	186.117647
none	110.607843
safe	143.196078
sign	133.274510
piece	124.490196
cold	130.156863
weeks	130.137255
Bye	180.078431
turned	105.647059
clean	121.235294
dear	223.431373
Ah	206.568627
follow	123.196078
seeing	109.627451
Mrs	310.941176
learn	118.568627
street	148.176471
works	105.039216
explain	111.176471
ass	226.372549
ain	436.235294
husband	194.803922
Wow	160.000000
possible	114.039216
police	236.156863
wonderful	164.000000
white	171.450980
lie	120.254902
felt	119.823529
meant	104.235294
step	118.666667
air	139.019608
fall	118.509804
city	169.098039
moving	119.686275
scared	133.392157
words	122.019608
meeting	132.392157
expect	103.901961
rather	114.215686
worth	109.196078
country	161.843137
absolutely	113.117647
become	115.568627
early	108.039216
company	147.196078
longer	98.941176
children	175.098039
thinks	102.647059
ten	145.000000
handle	108.411765
shoot	164.941176
control	130.627451
careful	108.823529
feet	120.725490
worse	98.078431
book	176.980392
poor	129.078431
forgot	98.921569
eye	111.784314
busy	106.529412
beat	131.686275
black	167.941176
changed	100.941176
talked	102.470588
ones	101.509804
picture	138.450980
questions	117.960784
broke	105.000000
pass	108.117647
tired	112.647059
watching	99.627451
em	251.941176
quiet	117.215686
anywhere	88.254902
wear	109.333333
finish	98.921569
mistake	101.960784
ride	135.372549
fault	104.117647
ladies	138.313725
needed	94.470588
quick	108.666667
choice	97.549020
act	109.117647
cannot	126.764706
given	95.117647
hasn	90.686275
child	157.647059
caught	93.941176
shall	185.117647
worried	94.725490
dog	192.843137
sister	180.529412
red	148.058824
coffee	144.529412
spend	93.274510
kept	89.392157
mouth	104.411765
certainly	118.960784
yesterday	96.764706
sitting	94.392157
attention	98.666667
stick	97.117647
daughter	171.352941
date	141.529412
power	149.019608
gun	213.196078
mad	113.411765
loved	110.333333
middle	89.196078
gentlemen	154.392157
decided	88.647059
write	126.803922
human	124.764706
O	188.196078
wake	105.215686
Perhaps	136.058824
missed	89.568627
others	99.235294
parents	140.725490
month	95.176471
across	94.137255
Besides	84.862745
table	105.627451
appreciate	85.745098
ran	84.235294
simple	89.313725
suppose	125.803922
bitch	168.803922
secret	109.509804
personal	91.666667
blow	97.568627
short	85.627451
instead	79.274510
near	83.098039
fair	94.745098
terrible	94.019608
