Word	Length	Pinyin	Pinyin.Input	WCount	W.million	log10W	W-CD	W-CD%	log10CD	Dominant.PoS	Dominant.PoS.Freq	All.PoS	All.PoS.Freq	Eng.Tran.
的	1	de5/di2/di4	de	1682530	50155.13	6.226	6243	100	3.7954	u	1682369	.u.n.	.1682369.161.	"of/structural particle: used before a noun, linking it to preceding possessive or descriptive attributive; really and truly; aim/clear"
我	1	wo3	wo	1682285	50147.83	6.2259	6242	99.98	3.7953	r	1682285	.r.	.1682285.	I/me/my
你	1	ni3	ni	1329424	39629.27	6.1237	6242	99.98	3.7953	r	1329424	.r.	.1329424.	"you (informal, as opposed to polite 您[nin2])"
是	1	shi4	shi	947807	28253.52	5.9767	6243	100	3.7954	v	947807	.v.	.947807.	is/are/am/yes/to be
了	1	le5/liao3/liao4	liao	946365	28210.53	5.9761	6243	100	3.7954	y	651478	.y.u.v.	.651478.290858.4029.	(modal particle intensifying preceding clause)/(completed action marker); clear; to know/to understand; to look afar from a high place
不	1	bu2/bu4	bu	689161	20543.44	5.8383	6242	99.98	3.7953	d	689161	.d.	.689161.	(negative prefix)/not/no
在	1	zai4	zai	429766	12811.05	5.6332	6242	99.98	3.7953	p	427430	.p.v.d.	.427430.2287.49.	(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress)
他	1	ta1	ta	397653	11853.78	5.5995	6237	99.9	3.795	r	397653	.r.	.397653.	he/him
我们	2	wo3 men5	women	371696	11080.02	5.5702	6241	99.97	3.7953	r	371696	.r.	.371696.	we/us/ourselves/our
好	1	hao3/hao4	hao	334698	9977.13	5.5247	6241	99.97	3.7953	a	333064	.a.d.v.	.333064.1588.46.	good/well/proper/good to/easy to/very/so/(suffix indicating completion or readiness); to be fond of
有	1	you3/you4	you	289109	8618.15	5.4611	6242	99.98	3.7953	v	289109	.v.	.289109.	to have/there is/there are/to exist/to be
这	1	zhe4/zhei4	zhe	286987	8554.9	5.4579	6241	99.97	3.7953	r	286987	.r.	.286987.	"this/these/(commonly pronounced zhei4 before a classifier, esp. in Beijing)"
就	1	jiu4	jiu	276636	8246.34	5.4419	6243	100	3.7954	d	264745	.d.p.c.v.	.264745.11885.5.1.	at once/right away/only/just (emphasis)/as early as/already/as soon as/right away/then/in that case/as many as/even if/to approach/to move towards/to undertake/to engage in/to suffer/subjected to/to accomplish/to take advantage of/to go with (of foods)/with regard to/concerning
会	1	hui4/kuai4	hui	265929	7927.17	5.4248	6242	99.98	3.7953	v	265692	.v.n.	.265692.237.	can/be possible/be able to/will/to assemble/to meet/to gather/to see/union/group/association; to balance an account/accounting
吗	1	ma2/ma3/ma5	ma	249187	7428.1	5.3965	6107	97.82	3.7858	y	249187	.y.	.249187.	morphine; (question tag)
要	1	yao1/yao4	yao	238656	7114.18	5.3778	6242	99.98	3.7953	v	238656	.v.	.238656.	demand/ask/request/coerce; important/vital/to want/will/going to (as future auxiliary)/may/must
什么	2	shen2 me5	shenme	236517	7050.42	5.3739	6224	99.7	3.7941	r	236517	.r.	.236517.	what/what?/who?/something/anything
说	1	shui4/shuo1/yue4	shuo	226955	6765.38	5.3559	6242	99.98	3.7953	v	226945	.v.g.	.226945.10.	"to canvass/to persuade/see 游说[you2 shui4], to canvass and 说客[shui4 ke4], persuasive speaker; to speak/to say/a theory (usually in compounds such as 日心说 heliocentric theory)"
她	1	ta1	ta	221420	6600.39	5.3452	6134	98.25	3.7877	r	221420	.r.	.221420.	she
想	1	xiang3	xiang	212185	6325.1	5.3267	6240	99.95	3.7952	v	212185	.v.	.212185.	to think/to believe/to suppose/to wish/to want/to miss
一	1	yi1	yi	203626	6069.96	5.3088	6240	99.95	3.7952	m	197747	.m.d.t.	.197747.5666.213.	one/1/single/a (article)/as soon as/entire/whole/all/throughout
很	1	hen3	hen	200584	5979.28	5.3023	6239	99.94	3.7951	d	200584	.d.	.200584.	(adverb of degree)/quite/very/awfully
知道	2	zhi1 dao5	zhidao	196745	5864.84	5.2939	6238	99.92	3.795	v	196745	.v.	.196745.	know/be aware of
人	1	ren2	ren	194914	5810.26	5.2898	6239	99.94	3.7951	n	194914	.n.	.194914.	man/person/people
吧	1	ba1/ba5	ba	194084	5785.52	5.288	6238	99.92	3.795	y	194084	.y.	.194084.	(onomat.)/dumb; (modal particle indicating polite suggestion)/...right?/...OK?
那	1	na1/na3/na4/nei4	na	190087	5666.37	5.279	6238	99.92	3.795	r	167946	.r.c.	.167946.22141.	"variant of 哪/how/which; that/those/commonly pr. nei4 before a classifier, esp. in Beijing"
来	1	lai2	lai	185154	5519.32	5.2675	6239	99.94	3.7951	v	169721	.v.f.m.u.y.	.169721.10078.3108.1628.619.	to come/to arrive/to come round/ever since/next
都	1	dou1/du1	du	177619	5294.71	5.2495	6237	99.9	3.795	d	177579	.d.g.	.177579.40.	all/both (if two things are involved)/entirely (due to) each/even/already; capital city/metropolis/surname Du
个	1	ge3/ge4	ge	173905	5184	5.2403	6239	99.94	3.7951	q	173897	.q.g.	.173897.8.	individual/this/that/size/classifier for people or objects in general
能	1	neng2	neng	166656	4967.91	5.2218	6239	99.94	3.7951	v	166647	.v.g.	.166647.9.	can/may/capable/energy/able/surname Neng
去	1	qu4	qu	163054	4860.53	5.2123	6239	99.94	3.7951	v	163054	.v.	.163054.	to go/to leave/to remove/fourth tone of putonghua
没	1	mei2/mo4	mei	159508	4754.83	5.2028	6239	99.94	3.7951	d	90256	.d.v.	.90256.69252.	(negative prefix for verbs)/have not/not; drowned/to end/to die/to inundate
和	1	he2/he4/hu2/huo2/huo4	he	150418	4483.86	5.1773	6214	99.54	3.7934	cc	139934	.cc.p.v.qv.g.n.	.139934.10469.7.4.2.2.	and/together with/with/sum/union/peace/harmony/surname He; cap (a poem)/to respond in singing; to complete a set in mahjong or playing cards; soft/warm; to mix together/to blend
他们	2	ta1 men5	tamen	140460	4187.02	5.1476	6199	99.3	3.7923	r	140460	.r.	.140460.	they
到	1	dao4	dao	139534	4159.42	5.1447	6238	99.92	3.795	v	133284	.v.p.	.133284.6250.	to (a place)/until (a time)/up to/to go/to arrive
对	1	dui4	dui	132805	3958.83	5.1232	6229	99.78	3.7944	p	128558	.p.v.q.a.	.128558.2506.1343.398.	couple/pair/to be opposite/to oppose/to face/versus/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right
也	1	ye3	ye	131801	3928.9	5.1199	6236	99.89	3.7949	d	131707	.d.y.u.b.	.131707.88.4.2.	also/too/(in classical Chinese) final particle serving as copula
啊	1	a1/a2/a3/a4/a5	a	130963	3903.92	5.1171	6126	98.13	3.7872	y	128570	.y.e.	.128570.2393.	"interjection of surprise/Ah!/Oh!; interjection expressing doubt or requiring answer/Eh?/what?/to show realization/to stress; interjection of surprise or doubt/Eh?/My!/what's up?; interjection or grunt of agreement/uhm/Ah, OK/expression of recognition/Oh, it's you!; modal particle ending sentence, showing affirmation, approval, or consent"
还	1	hai2/huan2	huan	130326	3884.93	5.115	6235	99.87	3.7948	d	130287	.d.v.	.130287.39.	still/still in progress/still more/yet/even more/in addition/fairly/passably (good)/as early as/even/also/else; to pay back/to return/surname Huan
