dose,table,lang,target,lineage,slope,n_prompts,match_framed
lift,levels,en,brooke_formality,01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,0.019521542793646676,59,0
lift,levels,en,brooke_formality,BAAI/Aquila2-7B>BAAI/AquilaChat2-7B,-0.1262015603752082,64,0
lift,levels,en,brooke_formality,BSC-LT/salamandra-7b>BSC-LT/salamandra-7b-instruct,0.025962518891029823,61,0
lift,levels,en,brooke_formality,EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,0.004282914249483248,48,0
lift,levels,en,brooke_formality,EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,-0.014399052341907168,45,0
lift,levels,en,brooke_formality,HuggingFaceTB/SmolLM2-360M>HuggingFaceTB/SmolLM2-360M-Instruct,-0.04933797809023863,61,0
lift,levels,en,brooke_formality,LLM360/Amber>LLM360/AmberSafe,-0.027876099476185304,37,0
lift,levels,en,brooke_formality,OpenLLM-France/Lucie-7B>OpenLLM-France/Lucie-7B-Instruct-v1.1,0.02150763150306316,46,0
lift,levels,en,brooke_formality,Qwen/Qwen2.5-0.5B>Qwen/Qwen2.5-0.5B-Instruct,0.023531583244296814,25,0
lift,levels,en,brooke_formality,Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,-0.09009998970073671,33,0
lift,levels,en,brooke_formality,Qwen/Qwen3-8B-Base>Qwen/Qwen3-8B,0.07263470207200286,55,0
lift,levels,en,brooke_formality,RWKV/rwkv-4-7b-pile>RWKV/rwkv-raven-7b,0.016669885359868665,55,0
lift,levels,en,brooke_formality,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T>TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.004724330113693467,49,0
lift,levels,en,brooke_formality,Zyphra/Zamba2-7B>Zyphra/Zamba2-7B-Instruct,0.020594209227197752,73,0
lift,levels,en,brooke_formality,allenai/OLMo-2-0425-1B>allenai/OLMo-2-0425-1B-Instruct,-0.08868096820956899,39,0
lift,levels,en,brooke_formality,allenai/OLMoE-1B-7B-0125>allenai/OLMoE-1B-7B-0125-Instruct,0.0393308894265523,38,0
lift,levels,en,brooke_formality,allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct,0.027682544261476837,59,0
lift,levels,en,brooke_formality,allenai/Olmo-3-1125-32B>allenai/Olmo-3.1-32B-Instruct,0.12615675625169054,56,0
lift,levels,en,brooke_formality,allenai/Olmo-Hybrid-7B>allenai/Olmo-Hybrid-Instruct-DPO-7B,0.06477483541408716,47,0
lift,levels,en,brooke_formality,baichuan-inc/Baichuan2-7B-Base>baichuan-inc/Baichuan2-7B-Chat,-0.026776485538052647,45,0
lift,levels,en,brooke_formality,croissantllm/CroissantLLMBase>croissantllm/CroissantLLMChat-v0.1,0.005448870950156401,44,0
lift,levels,en,brooke_formality,deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,0.05831689857216138,43,0
lift,levels,en,brooke_formality,gl198976/mpt-7b>gl198976/mpt-7b-instruct,-0.004732194677196808,53,0
lift,levels,en,brooke_formality,google/gemma-2-9b>google/gemma-2-9b-it,0.05859990779583606,51,0
lift,levels,en,brooke_formality,google/recurrentgemma-9b>google/recurrentgemma-9b-it,-0.00818454644105335,35,0
lift,levels,en,brooke_formality,huggyllama/llama-7b>PKU-Alignment/beaver-7b-v1.0,0.33745677847664635,39,0
lift,levels,en,brooke_formality,ibm-granite/granite-3.0-8b-base>ibm-granite/granite-3.0-8b-instruct,0.013113909578180568,72,0
lift,levels,en,brooke_formality,inceptionai/jais-family-6p7b>inceptionai/jais-family-6p7b-chat,0.17321721942633284,37,0
lift,levels,en,brooke_formality,internlm/internlm2-base-7b>internlm/internlm2-chat-7b,-0.015674938778878367,63,0
lift,levels,en,brooke_formality,kakaocorp/kanana-1.5-8b-base>kakaocorp/kanana-1.5-8b-instruct-2505,0.03244622789158023,36,0
lift,levels,en,brooke_formality,kakaocorp/kanana-2-3b-base>kakaocorp/kanana-2-3b-instruct,0.0659885109459713,30,0
lift,levels,en,brooke_formality,llm-jp/llm-jp-3-7.2b>llm-jp/llm-jp-3-7.2b-instruct3,0.03025471529358905,51,0
lift,levels,en,brooke_formality,mistralai/Mistral-7B-v0.1>mistralai/Mistral-7B-Instruct-v0.1,0.018478871320858903,51,0
lift,levels,en,brooke_formality,openGPT-X/Teuken-7B-base-v0.6>openGPT-X/Teuken-7B-instruct-v0.6,0.015965435134061942,57,0
lift,levels,en,brooke_formality,openbmb/MiniCPM5-1B-Base>openbmb/MiniCPM5-1B,-0.07408331025966217,45,0
lift,levels,en,brooke_formality,stabilityai/stablelm-2-1_6b>stabilityai/stablelm-2-1_6b-chat,0.06941416344224996,37,0
lift,levels,en,brooke_formality,team-hatakeyama-phase2/Tanuki-8B-base-v1.0>weblab-GENIAC/Tanuki-8B-dpo-v1.0,0.005836605205312975,50,0
lift,levels,en,brooke_formality,tiiuae/Falcon-H1-1.5B-Base>tiiuae/Falcon-H1-1.5B-Instruct,0.04021718645523541,38,0
lift,levels,en,brooke_formality,tiiuae/Falcon-H1-7B-Base>tiiuae/Falcon-H1-7B-Instruct,0.04836937049987749,49,0
lift,levels,en,brooke_formality,tiiuae/Falcon3-7B-Base>tiiuae/Falcon3-7B-Instruct,-0.0036940705224435227,39,0
lift,levels,en,brooke_formality,tiiuae/falcon-7b>tiiuae/falcon-7b-instruct,0.025222415868280265,57,0
lift,levels,en,brooke_formality,tiiuae/falcon-mamba-7b>tiiuae/falcon-mamba-7b-instruct,-0.010531305897868428,65,0
lift,levels,en,brooke_formality,togethercomputer/RedPajama-INCITE-Base-7B-v0.1>togethercomputer/RedPajama-INCITE-7B-Chat,0.026473366849068123,38,0
lift,levels,en,brooke_formality,zai-org/glm-4-9b-hf>zai-org/glm-4-9b-chat-hf,-0.022614661300915676,49,0
lift,levels,en,brooke_formality_absz,01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,0.009690591756636646,59,0
lift,levels,en,brooke_formality_absz,BAAI/Aquila2-7B>BAAI/AquilaChat2-7B,-0.062647087557275,64,0
lift,levels,en,brooke_formality_absz,BSC-LT/salamandra-7b>BSC-LT/salamandra-7b-instruct,0.01288792459727197,61,0
lift,levels,en,brooke_formality_absz,EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,0.002126060115183674,48,0
lift,levels,en,brooke_formality_absz,EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,-0.0071477618036048735,45,0
lift,levels,en,brooke_formality_absz,HuggingFaceTB/SmolLM2-360M>HuggingFaceTB/SmolLM2-360M-Instruct,-0.024491619787652748,61,0
lift,levels,en,brooke_formality_absz,LLM360/Amber>LLM360/AmberSafe,-0.01383783559765676,37,0
lift,levels,en,brooke_formality_absz,OpenLLM-France/Lucie-7B>OpenLLM-France/Lucie-7B-Instruct-v1.1,0.010676496153582344,46,0
lift,levels,en,brooke_formality_absz,Qwen/Qwen2.5-0.5B>Qwen/Qwen2.5-0.5B-Instruct,0.01168119594943107,25,0
lift,levels,en,brooke_formality_absz,Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,-0.04472608680043281,33,0
lift,levels,en,brooke_formality_absz,Qwen/Qwen3-8B-Base>Qwen/Qwen3-8B,0.03605623042118298,55,0
lift,levels,en,brooke_formality_absz,RWKV/rwkv-4-7b-pile>RWKV/rwkv-raven-7b,0.008275014703499534,55,0
lift,levels,en,brooke_formality_absz,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T>TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.002345181164179694,49,0
lift,levels,en,brooke_formality_absz,Zyphra/Zamba2-7B>Zyphra/Zamba2-7B-Instruct,0.0102230687544062,73,0
lift,levels,en,brooke_formality_absz,allenai/OLMo-2-0425-1B>allenai/OLMo-2-0425-1B-Instruct,-0.044021677414855215,39,0
lift,levels,en,brooke_formality_absz,allenai/OLMoE-1B-7B-0125>allenai/OLMoE-1B-7B-0125-Instruct,0.01952405078261427,38,0
lift,levels,en,brooke_formality_absz,allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct,0.013741753818263886,59,0
lift,levels,en,brooke_formality_absz,allenai/Olmo-3-1125-32B>allenai/Olmo-3.1-32B-Instruct,0.06262484656563753,56,0
