dose,table,lang,target,lineage,slope,n_prompts,match_framed
lift,contextual,en,sexual_slot_en_v2:body_distance,01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,0.01842039372801208,48,0
lift,contextual,en,sexual_slot_en_v2:body_distance,BAAI/Aquila2-7B>BAAI/AquilaChat2-7B,0.16601742195519706,46,0
lift,contextual,en,sexual_slot_en_v2:body_distance,BSC-LT/salamandra-7b>BSC-LT/salamandra-7b-instruct,0.01650780220128115,48,0
lift,contextual,en,sexual_slot_en_v2:body_distance,EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,0.07002751635862126,47,0
lift,contextual,en,sexual_slot_en_v2:body_distance,EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,0.04971104431482076,49,0
lift,contextual,en,sexual_slot_en_v2:body_distance,HuggingFaceTB/SmolLM2-360M>HuggingFaceTB/SmolLM2-360M-Instruct,0.07836560264965887,47,0
lift,contextual,en,sexual_slot_en_v2:body_distance,LLM360/Amber>LLM360/AmberSafe,-0.026483666601633392,47,0
lift,contextual,en,sexual_slot_en_v2:body_distance,OpenLLM-France/Lucie-7B>OpenLLM-France/Lucie-7B-Instruct-v1.1,0.20490631338365578,49,0
lift,contextual,en,sexual_slot_en_v2:body_distance,Qwen/Qwen2.5-0.5B>Qwen/Qwen2.5-0.5B-Instruct,0.02843734761279578,48,0
lift,contextual,en,sexual_slot_en_v2:body_distance,Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,-0.10212028706203823,45,0
lift,contextual,en,sexual_slot_en_v2:body_distance,Qwen/Qwen3-8B-Base>Qwen/Qwen3-8B,0.4480983518797135,47,0
lift,contextual,en,sexual_slot_en_v2:body_distance,RWKV/rwkv-4-7b-pile>RWKV/rwkv-raven-7b,0.0371682513060684,49,0
lift,contextual,en,sexual_slot_en_v2:body_distance,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T>TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.06956163949195673,49,0
lift,contextual,en,sexual_slot_en_v2:body_distance,Zyphra/Zamba2-7B>Zyphra/Zamba2-7B-Instruct,0.022440334281098605,50,0
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/OLMo-2-0425-1B>allenai/OLMo-2-0425-1B-Instruct,0.20159970008225223,48,0
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/OLMoE-1B-7B-0125>allenai/OLMoE-1B-7B-0125-Instruct,0.08760690084167536,50,0
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct,0.1948541346908393,47,0
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/Olmo-3-1125-32B>allenai/Olmo-3.1-32B-Instruct,-0.01744478150631594,49,0
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/Olmo-Hybrid-7B>allenai/Olmo-Hybrid-Instruct-DPO-7B,0.09980723614264633,49,0
lift,contextual,en,sexual_slot_en_v2:body_distance,baichuan-inc/Baichuan2-7B-Base>baichuan-inc/Baichuan2-7B-Chat,0.11350484926291446,48,0
lift,contextual,en,sexual_slot_en_v2:body_distance,croissantllm/CroissantLLMBase>croissantllm/CroissantLLMChat-v0.1,0.187154256114461,48,0
lift,contextual,en,sexual_slot_en_v2:body_distance,deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,0.06487718418115772,49,0
lift,contextual,en,sexual_slot_en_v2:body_distance,gl198976/mpt-7b>gl198976/mpt-7b-instruct,-0.03172862691901161,49,0
lift,contextual,en,sexual_slot_en_v2:body_distance,google/gemma-2-9b>google/gemma-2-9b-it,0.3889210982096432,49,0
lift,contextual,en,sexual_slot_en_v2:body_distance,google/recurrentgemma-9b>google/recurrentgemma-9b-it,0.14158553619881295,47,0
lift,contextual,en,sexual_slot_en_v2:body_distance,huggyllama/llama-7b>PKU-Alignment/beaver-7b-v1.0,-0.13864367704637565,46,0
lift,contextual,en,sexual_slot_en_v2:body_distance,ibm-granite/granite-3.0-8b-base>ibm-granite/granite-3.0-8b-instruct,0.07437716220932844,48,0
lift,contextual,en,sexual_slot_en_v2:body_distance,inceptionai/jais-family-6p7b>inceptionai/jais-family-6p7b-chat,0.1276752060114977,47,0
lift,contextual,en,sexual_slot_en_v2:body_distance,internlm/internlm2-base-7b>internlm/internlm2-chat-7b,-0.08973966586109058,48,0
lift,contextual,en,sexual_slot_en_v2:body_distance,kakaocorp/kanana-1.5-8b-base>kakaocorp/kanana-1.5-8b-instruct-2505,0.42173791299912683,48,0
lift,contextual,en,sexual_slot_en_v2:body_distance,kakaocorp/kanana-2-3b-base>kakaocorp/kanana-2-3b-instruct,0.3570285984066084,48,0
lift,contextual,en,sexual_slot_en_v2:body_distance,llm-jp/llm-jp-3-7.2b>llm-jp/llm-jp-3-7.2b-instruct3,-0.025753600244617533,46,0
lift,contextual,en,sexual_slot_en_v2:body_distance,m-a-p/neo_7b>m-a-p/neo_7b_instruct_v0.1,0.010520365021053274,47,0
lift,contextual,en,sexual_slot_en_v2:body_distance,mistralai/Mistral-7B-v0.1>mistralai/Mistral-7B-Instruct-v0.1,0.30351990185000277,49,0
lift,contextual,en,sexual_slot_en_v2:body_distance,openGPT-X/Teuken-7B-base-v0.6>openGPT-X/Teuken-7B-instruct-v0.6,0.02010978657311503,48,0
lift,contextual,en,sexual_slot_en_v2:body_distance,openbmb/MiniCPM5-1B-Base>openbmb/MiniCPM5-1B,0.49166633889290573,49,0
lift,contextual,en,sexual_slot_en_v2:body_distance,stabilityai/stablelm-2-1_6b>stabilityai/stablelm-2-1_6b-chat,0.356899150620855,50,0
lift,contextual,en,sexual_slot_en_v2:body_distance,team-hatakeyama-phase2/Tanuki-8B-base-v1.0>weblab-GENIAC/Tanuki-8B-dpo-v1.0,0.5004213664096981,46,0
lift,contextual,en,sexual_slot_en_v2:body_distance,tiiuae/Falcon-H1-1.5B-Base>tiiuae/Falcon-H1-1.5B-Instruct,0.013235802064688912,48,0
lift,contextual,en,sexual_slot_en_v2:body_distance,tiiuae/Falcon-H1-7B-Base>tiiuae/Falcon-H1-7B-Instruct,0.042899894937424014,48,0
lift,contextual,en,sexual_slot_en_v2:body_distance,tiiuae/Falcon3-7B-Base>tiiuae/Falcon3-7B-Instruct,-0.021134799347719297,49,0
