dose,table,lang,target,lineage,slope,n_prompts,match_framed
lift,levels,en,brooke_formality,01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,-0.004090225436458758,1900,1
lift,levels,en,brooke_formality,BAAI/Aquila2-7B>BAAI/AquilaChat2-7B,0.04875213641430977,1890,1
lift,levels,en,brooke_formality,BSC-LT/salamandra-7b>BSC-LT/salamandra-7b-instruct,0.017714596151243805,1916,1
lift,levels,en,brooke_formality,EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,0.0028990979944236495,1864,1
lift,levels,en,brooke_formality,EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,0.006066007671422722,1873,1
lift,levels,en,brooke_formality,HuggingFaceTB/SmolLM2-360M>HuggingFaceTB/SmolLM2-360M-Instruct,-0.019901502306387087,1901,1
lift,levels,en,brooke_formality,LLM360/Amber>LLM360/AmberSafe,0.0043528923353212835,1925,1
lift,levels,en,brooke_formality,OpenLLM-France/Lucie-7B>OpenLLM-France/Lucie-7B-Instruct-v1.1,0.002603086586597434,1924,1
lift,levels,en,brooke_formality,Qwen/Qwen2.5-0.5B>Qwen/Qwen2.5-0.5B-Instruct,-0.014241006794163572,1908,1
lift,levels,en,brooke_formality,Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,0.019702854355377074,1869,1
lift,levels,en,brooke_formality,Qwen/Qwen3-8B-Base>Qwen/Qwen3-8B,0.008761898984410793,1828,1
lift,levels,en,brooke_formality,RWKV/rwkv-4-7b-pile>RWKV/rwkv-raven-7b,0.010518343621773684,1880,1
lift,levels,en,brooke_formality,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T>TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.008811596197320474,1898,1
lift,levels,en,brooke_formality,Zyphra/Zamba2-7B>Zyphra/Zamba2-7B-Instruct,-0.0038798874430132704,1868,1
lift,levels,en,brooke_formality,allenai/OLMo-2-0425-1B>allenai/OLMo-2-0425-1B-Instruct,0.0032808122038927843,1948,1
lift,levels,en,brooke_formality,allenai/OLMoE-1B-7B-0125>allenai/OLMoE-1B-7B-0125-Instruct,0.007307604840055208,1898,1
lift,levels,en,brooke_formality,allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct,0.042665178978332025,1925,1
lift,levels,en,brooke_formality,allenai/Olmo-3-1125-32B>allenai/Olmo-3.1-32B-Instruct,-0.006016285895023162,1934,1
lift,levels,en,brooke_formality,allenai/Olmo-Hybrid-7B>allenai/Olmo-Hybrid-Instruct-DPO-7B,0.02098913516068159,1925,1
lift,levels,en,brooke_formality,baichuan-inc/Baichuan2-7B-Base>baichuan-inc/Baichuan2-7B-Chat,-0.016481541793085086,1887,1
lift,levels,en,brooke_formality,croissantllm/CroissantLLMBase>croissantllm/CroissantLLMChat-v0.1,-0.004703212340728582,1897,1
lift,levels,en,brooke_formality,deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,-0.01078523834232928,1880,1
lift,levels,en,brooke_formality,gl198976/mpt-7b>gl198976/mpt-7b-instruct,0.004649568050375949,1900,1
lift,levels,en,brooke_formality,google/gemma-2-9b>google/gemma-2-9b-it,0.012834163276534622,1918,1
lift,levels,en,brooke_formality,google/recurrentgemma-9b>google/recurrentgemma-9b-it,-0.017439834574974486,1924,1
lift,levels,en,brooke_formality,huggyllama/llama-7b>PKU-Alignment/beaver-7b-v1.0,0.008905520469811367,1881,1
lift,levels,en,brooke_formality,ibm-granite/granite-3.0-8b-base>ibm-granite/granite-3.0-8b-instruct,0.0034045888850908657,1886,1
lift,levels,en,brooke_formality,inceptionai/jais-family-6p7b>inceptionai/jais-family-6p7b-chat,0.0025315519374814834,1932,1
lift,levels,en,brooke_formality,internlm/internlm2-base-7b>internlm/internlm2-chat-7b,0.007358696761522075,1888,1
