dose,table,lang,target,lineage,slope,n_prompts,match_framed
lift,fields,en,A1.1.1,01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,-0.0015652111137963427,1863,1
lift,fields,en,A1.1.1,BAAI/Aquila2-7B>BAAI/AquilaChat2-7B,-0.0003809342475614646,1801,1
lift,fields,en,A1.1.1,BSC-LT/salamandra-7b>BSC-LT/salamandra-7b-instruct,0.00042273092634707214,1881,1
lift,fields,en,A1.1.1,EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,1.1423732093707338e-05,1841,1
lift,fields,en,A1.1.1,EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,0.000139221898075292,1850,1
lift,fields,en,A1.1.1,HuggingFaceTB/SmolLM2-360M>HuggingFaceTB/SmolLM2-360M-Instruct,-0.0011544557696888437,1846,1
lift,fields,en,A1.1.1,LLM360/Amber>LLM360/AmberSafe,-0.002491648593794476,1906,1
lift,fields,en,A1.1.1,OpenLLM-France/Lucie-7B>OpenLLM-France/Lucie-7B-Instruct-v1.1,0.00024007682373563798,1898,1
lift,fields,en,A1.1.1,Qwen/Qwen2.5-0.5B>Qwen/Qwen2.5-0.5B-Instruct,0.001415989107634643,1868,1
lift,fields,en,A1.1.1,Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,0.0001027498795216407,1819,1
lift,fields,en,A1.1.1,Qwen/Qwen3-8B-Base>Qwen/Qwen3-8B,0.00013406323045188438,1792,1
lift,fields,en,A1.1.1,RWKV/rwkv-4-7b-pile>RWKV/rwkv-raven-7b,-0.0007918931856112876,1826,1
lift,fields,en,A1.1.1,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T>TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.0010133051106515727,1876,1
lift,fields,en,A1.1.1,Zyphra/Zamba2-7B>Zyphra/Zamba2-7B-Instruct,-0.0003807276941020795,1830,1
lift,fields,en,A1.1.1,allenai/OLMo-2-0425-1B>allenai/OLMo-2-0425-1B-Instruct,0.0011060930038347687,1902,1
lift,fields,en,A1.1.1,allenai/OLMoE-1B-7B-0125>allenai/OLMoE-1B-7B-0125-Instruct,-0.0009791229294646739,1851,1
lift,fields,en,A1.1.1,allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct,-0.002173998208555273,1881,1
lift,fields,en,A1.1.1,allenai/Olmo-3-1125-32B>allenai/Olmo-3.1-32B-Instruct,-0.00017936664143442907,1876,1
lift,fields,en,A1.1.1,allenai/Olmo-Hybrid-7B>allenai/Olmo-Hybrid-Instruct-DPO-7B,-0.0004011582140663757,1876,1
lift,fields,en,A1.1.1,baichuan-inc/Baichuan2-7B-Base>baichuan-inc/Baichuan2-7B-Chat,-0.0011708168675760363,1860,1
lift,fields,en,A1.1.1,croissantllm/CroissantLLMBase>croissantllm/CroissantLLMChat-v0.1,-0.0007906291386352458,1867,1
lift,fields,en,A1.1.1,deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,0.00014791612080903787,1833,1
