scheme,era,partner,actual,same
ABAB,pre-1900,fled,bed,True
ABAB,pre-1900,obey,away,True
ABAB,pre-1900,hold,stole,False
ABAB,pre-1900,gives,lives,True
ABAB,pre-1900,gray,May,True
ABAB,pre-1900,vest,breast,True
ABAB,pre-1900,planned,land,True
ABAB,pre-1900,rings,wings,True
ABAB,pre-1900,ground,browned,True
ABAB,pre-1900,away,delay,True
ABAB,pre-1900,Delight,night,True
ABAB,pre-1900,Light,Night,True
ABAB,pre-1900,share,there,True
ABAB,pre-1900,defy,I,True
ABAB,pre-1900,wine,thine,True
ABAB,pre-1900,spread,head,True
ABAB,pre-1900,rest,breast,True
ABAB,pre-1900,hear,near,True
ABAB,pre-1900,rise,despise,True
ABAB,pre-1900,tale,gale,True
ABAB,pre-1900,blue,Due,True
ABAB,pre-1900,fear,there,False
ABAB,pre-1900,part,heart,True
ABAB,pre-1900,day,away,True
ABAB,pre-1900,art,heart,True
ABAB,pre-1900,rude,pursued,True
ABAB,pre-1900,strain,profane,True
ABAB,pre-1900,place,raze,False
ABAB,pre-1900,vain,complain,True
ABAB,pre-1900,back,pack,True
ABAB,1900+,rain,pain,True
ABAB,1900+,overhead,read,True
ABAB,1900+,sea,memory,False
ABAB,1900+,robust,distrust,True
ABAB,1900+,Boulevard,acid,False
ABAB,1900+,wellaway,say,True
ABAB,1900+,be,eternity,False
ABAB,1900+,Never,endeavour,True
ABAB,1900+,become,thumb,True
ABAB,1900+,dome,home,True
ABAB,1900+,resort,thought,False
ABAB,1900+,glory,story,True
ABAB,1900+,tump,lump,True
ABAB,1900+,man,Klan,True
ABAB,1900+,blur,her,True
ABAB,1900+,lights,traffic,False
ABAB,1900+,glee,tree,True
ABAB,1900+,room,boom,True
ABAB,1900+,withstand,And,True
ABAB,1900+,spring,sing,True
ABAB,1900+,pressed,breast,True
ABAB,1900+,hills,distils,True
ABAB,1900+,hill,still,True
ABAB,1900+,dead,overhead,True
ABAB,1900+,wall,overall,True
ABAB,1900+,resort,thought,False
ABAB,1900+,shops,chops,True
ABAB,1900+,mine,Valentine,True
ABAB,1900+,wood,stood,True
ABAB,1900+,say,day,True
AABB,pre-1900,sea,free,True
AABB,pre-1900,sneer,severe,True
AABB,pre-1900,same,came,True
AABB,pre-1900,Hill,ill,True
AABB,pre-1900,dispute,absolute,True
AABB,pre-1900,wings,strings,True
AABB,pre-1900,free,knee,True
AABB,pre-1900,cold,mould,True
AABB,pre-1900,pass,brass,True
AABB,pre-1900,plains,rains,True
AABB,pre-1900,Wine,resign,True
AABB,pre-1900,appear,Clear,True
AABB,pre-1900,resigned,kind,True
AABB,pre-1900,Clay,away,True
AABB,pre-1900,divine,shine,True
AABB,pre-1900,hand,land,True
AABB,pre-1900,spare,dare,True
AABB,pre-1900,impart,Heart,True
AABB,pre-1900,try,',False
AABB,pre-1900,bestows,rows,True
AABB,pre-1900,had,mad,True
AABB,pre-1900,sing,Spring,True
AABB,pre-1900,sing,Wing,True
AABB,pre-1900,Day,stray,True
AABB,pre-1900,all,fall,True
AABB,pre-1900,depend,send,True
AABB,pre-1900,stung,flung,True
AABB,pre-1900,near,bear,False
AABB,pre-1900,pry,eye,True
AABB,pre-1900,inspire,fire,True
AABB,1900+,seas,harmonies,False
AABB,1900+,day,gray,True
AABB,1900+,chart,heart,True
AABB,1900+,night,flight,True
AABB,1900+,spring,thing,True
AABB,1900+,by,sky,True
AABB,1900+,place,grace,True
AABB,1900+,green,seen,True
AABB,1900+,made,shade,True
AABB,1900+,peak,meek,True
AABB,1900+,dear,near,True
AABB,1900+,bliss,kiss,True
AABB,1900+,house,mouse,True
AABB,1900+,light,bright,True
AABB,1900+,note,wrote,True
AABB,1900+,them,stratagem,False
AABB,1900+,lie,sky,True
AABB,1900+,me,sea,True
AABB,1900+,vain,pain,True
AABB,1900+,toe,go,True
AABB,1900+,made,laid,True
AABB,1900+,mocked,knocked,True
AABB,1900+,behind,night,False
AABB,1900+,clocks,box,True
AABB,1900+,white,bright,True
AABB,1900+,replied,satisfied,True
AABB,1900+,load,road,True
AABB,1900+,note,wrote,True
AABB,1900+,thin,in,True
AABB,1900+,Bay,clay,True
