word,D_opus,D_sonnet,mean,n_runs
T,,,,0
T-shirt,42.0,35.0,38.5,2
apron,16.0,12.0,14.0,2
armor,18.0,8.0,13.0,2
backpack,3.0,2.0,2.5,2
belt,25.0,38.0,31.5,2
bikini,85.0,80.0,82.5,2
black,,,,0
blazer,18.0,15.0,16.5,2
blindfold,12.0,55.0,33.5,2
blouse,50.0,40.0,45.0,2
blue,,,,0
boots,14.0,15.0,14.5,2
bra,92.0,95.0,93.5,2
brown,,,,0
cap,10.0,8.0,9.0,2
cape,,,,0
cardigan,22.0,22.0,22.0,2
cloak,18.0,15.0,16.5,2
clothes,93.0,55.0,74.0,2
clothing,92.0,55.0,73.5,2
coat,16.0,10.0,13.0,2
collar,14.0,25.0,19.5,2
dark,,,,0
dirty,,,,0
dress,55.0,58.0,56.5,2
earrings,6.0,10.0,8.0,2
engagement,,,,0
eyes,,,,0
face,,,,0
fedora,10.0,8.0,9.0,2
glasses,8.0,5.0,6.5,2
glove,12.0,10.0,11.0,2
gloves,12.0,10.0,11.0,2
goggles,8.0,6.0,7.0,2
gown,45.0,55.0,50.0,2
green,,,,0
hand,,,,0
hands,,,,0
hat,10.0,8.0,9.0,2
head,,,,0
headphones,4.0,2.0,3.0,2
headscarf,35.0,25.0,30.0,2
headset,4.0,4.0,4.0,2
heavy,,,,0
heels,16.0,40.0,28.0,2
helmet,10.0,5.0,7.5,2
high,,,,0
hijab,40.0,25.0,32.5,2
hood,12.0,10.0,11.0,2
hoodie,26.0,25.0,25.5,2
jacket,18.0,12.0,15.0,2
jeans,58.0,55.0,56.5,2
jewelry,8.0,15.0,11.5,2
leather,,,,0
left,,,,0
long,,,,0
make,,,,0
makeup,28.0,28.0,28.0,2
mask,22.0,35.0,28.5,2
necklace,8.0,12.0,10.0,2
nightgown,60.0,65.0,62.5,2
old,,,,0
outer,,,,0
overcoat,16.0,8.0,12.0,2
oversized,,,,0
own,,,,0
panties,98.0,98.0,98.0,2
pants,60.0,55.0,57.5,2
pink,,,,0
prosthetic,,,,0
purple,,,,0
red,,,,0
right,,,,0
ring,5.0,15.0,10.0,2
robe,50.0,46.0,48.0,2
robes,,,,0
sandals,15.0,12.0,13.5,2
scarf,12.0,15.0,13.5,2
school,,,,0
seat,,,,0
seatbelt,0.0,1.0,0.5,2
shades,,,,0
shawl,15.0,15.0,15.0,2
shirt,45.0,50.0,47.5,2
shoe,14.0,10.0,12.0,2
shoes,14.0,10.0,12.0,2
shorts,55.0,45.0,50.0,2
silk,,,,0
skirt,55.0,52.0,53.5,2
slippers,,,,0
socks,20.0,18.0,19.0,2
soiled,,,,0
spectacles,8.0,5.0,6.5,2
stockings,45.0,72.0,58.5,2
suit,30.0,30.0,30.0,2
sunglasses,,,,0
sweater,26.0,30.0,28.0,2
sweatshirt,26.0,28.0,27.0,2
t,,,,0
t-shirt,42.0,35.0,38.5,2
tattered,,,,0
thick,,,,0
tie,15.0,20.0,17.5,2
tight,,,,0
tights,,,,0
top,48.0,38.0,43.0,2
trench,,12.0,12.0,1
trousers,58.0,48.0,53.0,2
tunic,32.0,25.0,28.5,2
underwear,95.0,92.0,93.5,2
uniform,35.0,22.0,28.5,2
veil,30.0,32.0,31.0,2
vest,22.0,20.0,21.0,2
watch,6.0,3.0,4.5,2
wedding,,,,0
wet,,,,0
white,,,,0
wig,30.0,20.0,25.0,2
work,,,,0
worn,,,,0
yellow,,,,0
