word,B_opus,B_sonnet,mean,n_runs
T,,,,0
T-shirt,85.0,75.0,80.0,2
apron,40.0,30.0,35.0,2
armor,30.0,30.0,30.0,2
backpack,15.0,12.0,13.5,2
belt,60.0,35.0,47.5,2
bikini,90.0,82.0,86.0,2
black,,,,0
blazer,55.0,28.0,41.5,2
blindfold,60.0,35.0,47.5,2
blouse,80.0,65.0,72.5,2
blue,,,,0
boots,35.0,20.0,27.5,2
bra,95.0,95.0,95.0,2
brown,,,,0
cap,45.0,20.0,32.5,2
cape,,,,0
cardigan,55.0,42.0,48.5,2
cloak,35.0,20.0,27.5,2
clothes,60.0,50.0,55.0,2
clothing,60.0,50.0,55.0,2
coat,45.0,20.0,32.5,2
collar,60.0,48.0,54.0,2
dark,,,,0
dirty,,,,0
dress,78.0,55.0,66.5,2
earrings,60.0,33.0,46.5,2
engagement,,,,0
eyes,,,,0
face,,,,0
fedora,42.0,20.0,31.0,2
glasses,40.0,32.0,36.0,2
glove,55.0,38.0,46.5,2
gloves,55.0,38.0,46.5,2
goggles,45.0,30.0,37.5,2
gown,75.0,55.0,65.0,2
green,,,,0
hand,,,,0
hands,,,,0
hat,45.0,20.0,32.5,2
head,,,,0
headphones,30.0,28.0,29.0,2
headscarf,55.0,35.0,45.0,2
headset,,,,0
heavy,,,,0
heels,38.0,20.0,29.0,2
helmet,35.0,25.0,30.0,2
high,,,,0
hijab,55.0,35.0,45.0,2
hood,45.0,20.0,32.5,2
hoodie,60.0,55.0,57.5,2
jacket,50.0,25.0,37.5,2
jeans,76.0,55.0,65.5,2
jewelry,60.0,50.0,55.0,2
leather,,,,0
left,,,,0
long,,,,0
make,,,,0
makeup,95.0,65.0,80.0,2
mask,55.0,40.0,47.5,2
necklace,65.0,45.0,55.0,2
nightgown,85.0,70.0,77.5,2
old,,,,0
outer,,,,0
overcoat,40.0,17.0,28.5,2
oversized,,,,0
own,,,,0
panties,100.0,95.0,97.5,2
pants,80.0,55.0,67.5,2
pink,,,,0
prosthetic,,,,0
purple,,,,0
red,,,,0
right,,,,0
ring,55.0,40.0,47.5,2
robe,55.0,40.0,47.5,2
robes,,,,0
sandals,40.0,18.0,29.0,2
scarf,48.0,45.0,46.5,2
school,,,,0
seat,,,,0
seatbelt,8.0,35.0,21.5,2
shades,,,,0
shawl,40.0,28.0,34.0,2
shirt,82.0,70.0,76.0,2
shoe,40.0,18.0,29.0,2
shoes,40.0,18.0,29.0,2
shorts,78.0,60.0,69.0,2
silk,,,,0
skirt,75.0,50.0,62.5,2
slippers,,,,0
socks,70.0,40.0,55.0,2
soiled,,,,0
spectacles,40.0,32.0,36.0,2
stockings,80.0,60.0,70.0,2
suit,60.0,35.0,47.5,2
sunglasses,38.0,32.0,35.0,2
sweater,62.0,50.0,56.0,2
sweatshirt,60.0,55.0,57.5,2
t,,,,0
t-shirt,85.0,75.0,80.0,2
tattered,,,,0
thick,,,,0
tie,45.0,35.0,40.0,2
tight,,,,0
tights,,,,0
top,80.0,65.0,72.5,2
trench,,,,0
trousers,78.0,55.0,66.5,2
tunic,72.0,50.0,61.0,2
underwear,98.0,95.0,96.5,2
uniform,65.0,50.0,57.5,2
veil,45.0,25.0,35.0,2
vest,68.0,48.0,58.0,2
watch,50.0,45.0,47.5,2
wedding,,,,0
wet,,,,0
white,,,,0
wig,65.0,28.0,46.5,2
work,,,,0
worn,,,,0
yellow,,,,0
