word,Ccharge_opus,Ccharge_sonnet,mean,n_runs
T,,,,0
T-shirt,40.0,25.0,32.5,2
apron,10.0,20.0,15.0,2
armor,15.0,5.0,10.0,2
backpack,2.0,2.0,2.0,2
belt,45.0,20.0,32.5,2
bikini,88.0,70.0,79.0,2
black,,,,0
blazer,12.0,15.0,13.5,2
blindfold,45.0,40.0,42.5,2
blouse,55.0,40.0,47.5,2
blue,,,,0
boots,20.0,20.0,20.0,2
bra,90.0,92.0,91.0,2
brown,,,,0
cap,5.0,5.0,5.0,2
cape,,,,0
cardigan,12.0,15.0,13.5,2
cloak,15.0,10.0,12.5,2
clothes,62.0,60.0,61.0,2
clothing,60.0,60.0,60.0,2
coat,10.0,15.0,12.5,2
collar,32.0,35.0,33.5,2
dark,,,,0
dirty,,,,0
dress,65.0,50.0,57.5,2
earrings,12.0,8.0,10.0,2
engagement,,,,0
eyes,,,,0
face,,,,0
fedora,5.0,5.0,5.0,2
glasses,12.0,20.0,16.0,2
glove,30.0,30.0,30.0,2
gloves,32.0,30.0,31.0,2
goggles,5.0,8.0,6.5,2
gown,60.0,35.0,47.5,2
green,,,,0
hand,,,,0
hands,,,,0
hat,5.0,8.0,6.5,2
head,,,,0
headphones,3.0,3.0,3.0,2
headscarf,25.0,10.0,17.5,2
headset,3.0,3.0,3.0,2
heavy,,,,0
heels,35.0,30.0,32.5,2
helmet,5.0,5.0,5.0,2
high,,,,0
hijab,28.0,5.0,16.5,2
hood,8.0,8.0,8.0,2
hoodie,,,,0
jacket,12.0,15.0,13.5,2
jeans,50.0,25.0,37.5,2
jewelry,25.0,8.0,16.5,2
leather,,,,0
left,,,,0
long,,,,0
make,,,,0
makeup,15.0,8.0,11.5,2
mask,15.0,15.0,15.0,2
necklace,18.0,10.0,14.0,2
nightgown,72.0,55.0,63.5,2
old,,,,0
outer,,,,0
overcoat,10.0,12.0,11.0,2
oversized,,,,0
own,,,,0
panties,92.0,95.0,93.5,2
pants,60.0,30.0,45.0,2
pink,,,,0
prosthetic,,,,0
purple,,,,0
red,,,,0
right,,,,0
ring,15.0,10.0,12.5,2
robe,60.0,55.0,57.5,2
robes,,,,0
sandals,8.0,8.0,8.0,2
scarf,10.0,8.0,9.0,2
school,,,,0
seat,,,,0
seatbelt,2.0,3.0,2.5,2
shades,,,,0
shawl,12.0,10.0,11.0,2
shirt,48.0,35.0,41.5,2
shoe,8.0,10.0,9.0,2
shoes,8.0,10.0,9.0,2
shorts,45.0,25.0,35.0,2
silk,,,,0
skirt,62.0,45.0,53.5,2
slippers,,,,0
socks,8.0,8.0,8.0,2
soiled,,,,0
spectacles,10.0,20.0,15.0,2
stockings,80.0,70.0,75.0,2
suit,30.0,20.0,25.0,2
sunglasses,12.0,15.0,13.5,2
sweater,15.0,15.0,15.0,2
sweatshirt,12.0,10.0,11.0,2
t,,,,0
t-shirt,40.0,25.0,32.5,2
tattered,,,,0
thick,,,,0
tie,35.0,25.0,30.0,2
tight,,,,0
tights,,,,0
top,56.0,40.0,48.0,2
trench,,20.0,20.0,1
trousers,45.0,25.0,35.0,2
tunic,30.0,10.0,20.0,2
underwear,90.0,90.0,90.0,2
uniform,30.0,40.0,35.0,2
veil,30.0,30.0,30.0,2
vest,18.0,10.0,14.0,2
watch,5.0,5.0,5.0,2
wedding,,,,0
wet,,,,0
white,,,,0
wig,10.0,10.0,10.0,2
work,,,,0
worn,,,,0
yellow,,,,0
