word,A_opus,A_sonnet,mean,n_runs
T,,,,0
T-shirt,22.0,42.0,32.0,2
apron,62.0,38.0,50.0,2
armor,96.0,88.0,92.0,2
backpack,95.0,40.0,67.5,2
belt,58.0,12.0,35.0,2
bikini,8.0,20.0,14.0,2
black,,,,0
blazer,60.0,60.0,60.0,2
blindfold,85.0,12.0,48.5,2
blouse,28.0,45.0,36.5,2
blue,,,,0
boots,70.0,26.0,48.0,2
bra,4.0,24.0,14.0,2
brown,,,,0
cap,88.0,22.0,55.0,2
cape,,,,0
cardigan,50.0,50.0,50.0,2
cloak,90.0,90.0,90.0,2
clothes,40.0,97.0,68.5,2
clothing,40.0,97.0,68.5,2
coat,80.0,82.0,81.0,2
collar,32.0,12.0,22.0,2
dark,,,,0
dirty,,,,0
dress,30.0,65.0,47.5,2
earrings,15.0,3.0,9.0,2
engagement,,,,0
eyes,,,,0
face,,,,0
fedora,88.0,25.0,56.5,2
glasses,70.0,10.0,40.0,2
glove,75.0,15.0,45.0,2
gloves,75.0,15.0,45.0,2
goggles,85.0,14.0,49.5,2
gown,55.0,78.0,66.5,2
green,,,,0
hand,,,,0
hands,,,,0
hat,88.0,25.0,56.5,2
head,,,,0
headphones,90.0,18.0,54.0,2
headscarf,82.0,28.0,55.0,2
headset,90.0,20.0,55.0,2
heavy,,,,0
heels,65.0,18.0,41.5,2
helmet,92.0,42.0,67.0,2
high,,,,0
hijab,82.0,35.0,58.5,2
hood,88.0,20.0,54.0,2
hoodie,48.0,52.0,50.0,2
jacket,70.0,60.0,65.0,2
jeans,32.0,56.0,44.0,2
jewelry,18.0,5.0,11.5,2
leather,,,,0
left,,,,0
long,,,,0
make,,,,0
makeup,1.0,,1.0,1
mask,85.0,20.0,52.5,2
necklace,20.0,8.0,14.0,2
nightgown,15.0,68.0,41.5,2
old,,,,0
outer,,,,0
overcoat,100.0,100.0,100.0,2
oversized,,,,0
own,,,,0
panties,2.0,18.0,10.0,2
pants,32.0,58.0,45.0,2
pink,,,,0
prosthetic,,,,0
purple,,,,0
red,,,,0
right,,,,0
ring,15.0,0.0,7.5,2
robe,75.0,75.0,75.0,2
robes,,,,0
sandals,60.0,14.0,37.0,2
scarf,80.0,25.0,52.5,2
school,,,,0
seat,,,,0
seatbelt,97.0,18.0,57.5,2
shades,,,,0
shawl,78.0,38.0,58.0,2
shirt,28.0,45.0,36.5,2
shoe,65.0,20.0,42.5,2
shoes,65.0,20.0,42.5,2
shorts,30.0,35.0,32.5,2
silk,,,,0
skirt,32.0,45.0,38.5,2
slippers,,,,0
socks,10.0,16.0,13.0,2
soiled,,,,0
spectacles,70.0,10.0,40.0,2
stockings,12.0,30.0,21.0,2
suit,55.0,70.0,62.5,2
sunglasses,75.0,10.0,42.5,2
sweater,45.0,52.0,48.5,2
sweatshirt,45.0,52.0,48.5,2
t,,,,0
t-shirt,22.0,42.0,32.0,2
tattered,,,,0
thick,,,,0
tie,55.0,14.0,34.5,2
tight,,,,0
tights,,,,0
top,25.0,42.0,33.5,2
trench,,85.0,85.0,1
trousers,32.0,58.0,45.0,2
tunic,30.0,55.0,42.5,2
underwear,3.0,22.0,12.5,2
uniform,50.0,72.0,61.0,2
veil,85.0,22.0,53.5,2
vest,42.0,38.0,40.0,2
watch,30.0,7.0,18.5,2
wedding,,,,0
wet,,,,0
white,,,,0
wig,55.0,25.0,40.0,2
work,,,,0
worn,,,,0
yellow,,,,0
