thinking,process,category,subcategory,regex
primordial,primary,need,orality,\babsinth
primordial,primary,need,orality,\bale\b
primordial,primary,need,orality,\bales\b
primordial,primary,need,orality,\balimentary\b
primordial,primary,need,orality,\bambrosia
primordial,primary,need,orality,\bambrosial
primordial,primary,need,orality,\bappetit
primordial,primary,need,orality,\bapple
primordial,primary,need,orality,\bartichok
primordial,primary,need,orality,\basparagu
primordial,primary,need,orality,\bbacon
primordial,primary,need,orality,\bbanana
primordial,primary,need,orality,\bbean
primordial,primary,need,orality,\bbeef
primordial,primary,need,orality,\bbeer
primordial,primary,need,orality,\bbelch
primordial,primary,need,orality,\bbellies\b
primordial,primary,need,orality,\bbelly\b
primordial,primary,need,orality,\bberri
primordial,primary,need,orality,\bberry
primordial,primary,need,orality,\bbeverag
primordial,primary,need,orality,\bbiscuit
primordial,primary,need,orality,\bbite
primordial,primary,need,orality,\bbite\b
primordial,primary,need,orality,\bbites\b
primordial,primary,need,orality,\bbiting\b
primordial,primary,need,orality,\bbitten
primordial,primary,need,orality,\bbonbon
primordial,primary,need,orality,\bbrandy
primordial,primary,need,orality,\bbread
primordial,primary,need,orality,\bbreakfast
primordial,primary,need,orality,\bbreast
primordial,primary,need,orality,\bbrew
primordial,primary,need,orality,\bbroth\b
primordial,primary,need,orality,\bburp
primordial,primary,need,orality,\bbutter
primordial,primary,need,orality,\bbuttermilk
primordial,primary,need,orality,\bcafe\b
primordial,primary,need,orality,\bcafes\b
primordial,primary,need,orality,\bcafetaria\b
primordial,primary,need,orality,\bcake\b
primordial,primary,need,orality,\bcakes\b
primordial,primary,need,orality,\bcandy
primordial,primary,need,orality,\bcannibal
primordial,primary,need,orality,\bcaviar
primordial,primary,need,orality,\bchampagn
primordial,primary,need,orality,\bchees
primordial,primary,need,orality,\bcherri
primordial,primary,need,orality,\bcherry
primordial,primary,need,orality,\bchestnut
primordial,primary,need,orality,\bchew
primordial,primary,need,orality,\bchok
primordial,primary,need,orality,\bcider
primordial,primary,need,orality,\bclaret
primordial,primary,need,orality,\bcob\b
primordial,primary,need,orality,\bcobs\b
primordial,primary,need,orality,\bcocoa
primordial,primary,need,orality,\bcocoanut
primordial,primary,need,orality,\bcoconut
primordial,primary,need,orality,\bcoffe
primordial,primary,need,orality,\bconsum
primordial,primary,need,orality,\bcook
primordial,primary,need,orality,\bcorn
primordial,primary,need,orality,\bcough
primordial,primary,need,orality,\bcranberry
primordial,primary,need,orality,\bcream
primordial,primary,need,orality,\bdelicaci
primordial,primary,need,orality,\bdelicacy
primordial,primary,need,orality,\bdessert
primordial,primary,need,orality,\bdevour
primordial,primary,need,orality,\bdiet
primordial,primary,need,orality,\bdigest
primordial,primary,need,orality,\bdine\b
primordial,primary,need,orality,\bdines\b
primordial,primary,need,orality,\bdining\b
primordial,primary,need,orality,\bdinner
primordial,primary,need,orality,\bdish\b
primordial,primary,need,orality,\bdishes\b
primordial,primary,need,orality,\bdrank
primordial,primary,need,orality,\bdrink
primordial,primary,need,orality,\bdrunk
primordial,primary,need,orality,\bdrunken
primordial,primary,need,orality,\beat
primordial,primary,need,orality,\beaten
primordial,primary,need,orality,\begg
primordial,primary,need,orality,\bentrail
primordial,primary,need,orality,\bfamin
primordial,primary,need,orality,\bfamish
primordial,primary,need,orality,\bfast\b
primordial,primary,need,orality,\bfasts\b
primordial,primary,need,orality,\bfat\b
primordial,primary,need,orality,\bfatten
primordial,primary,need,orality,\bfeast
primordial,primary,need,orality,\bfed\b
primordial,primary,need,orality,\bfeed\b
primordial,primary,need,orality,\bfeeds\b
primordial,primary,need,orality,\bfig\b
primordial,primary,need,orality,\bfigs\b
primordial,primary,need,orality,\bflour
primordial,primary,need,orality,\bfood
primordial,primary,need,orality,\bfoodstuff
primordial,primary,need,orality,\bfork
primordial,primary,need,orality,\bfruit
primordial,primary,need,orality,\bgarlic
primordial,primary,need,orality,\bgin\b
primordial,primary,need,orality,\bginger
primordial,primary,need,orality,\bgins\b
primordial,primary,need,orality,\bglutton
primordial,primary,need,orality,\bgluttonou
primordial,primary,need,orality,\bgnaw
primordial,primary,need,orality,\bgobbl
primordial,primary,need,orality,\bgrain
primordial,primary,need,orality,\bgrap
primordial,primary,need,orality,\bgrog
primordial,primary,need,orality,\bgruel
primordial,primary,need,orality,\bgulp
primordial,primary,need,orality,\bgum\b
primordial,primary,need,orality,\bgums\b
primordial,primary,need,orality,\bgut\b
primordial,primary,need,orality,\bguts\b
primordial,primary,need,orality,\bham\b
primordial,primary,need,orality,\bhams\b
primordial,primary,need,orality,\bherb
primordial,primary,need,orality,\bhoney
primordial,primary,need,orality,\bhunger
primordial,primary,need,orality,\bhungry
primordial,primary,need,orality,\bimbib
primordial,primary,need,orality,\binedibl
primordial,primary,need,orality,\bintestin
primordial,primary,need,orality,\bjaw
primordial,primary,need,orality,\bjuic
primordial,primary,need,orality,\blap\b
primordial,primary,need,orality,\blaps\b
primordial,primary,need,orality,\blemon
primordial,primary,need,orality,\blick
primordial,primary,need,orality,\blime\b
primordial,primary,need,orality,\blimes\b
primordial,primary,need,orality,\blip\b
primordial,primary,need,orality,\blips\b
primordial,primary,need,orality,\bliqueur
primordial,primary,need,orality,\bliquor
primordial,primary,need,orality,\blunch
primordial,primary,need,orality,\bmaiz
primordial,primary,need,orality,\bmeal
primordial,primary,need,orality,\bmeat
primordial,primary,need,orality,\bmelon
primordial,primary,need,orality,\bmenu
primordial,primary,need,orality,\bmilk
primordial,primary,need,orality,\bmint
primordial,primary,need,orality,\bmorsel
primordial,primary,need,orality,\bmouth
primordial,primary,need,orality,\bmouthful
primordial,primary,need,orality,\bmushroom
primordial,primary,need,orality,\bmutton
primordial,primary,need,orality,\bnaus
primordial,primary,need,orality,\bnectar
primordial,primary,need,orality,\bnibbl
primordial,primary,need,orality,\bnourish
primordial,primary,need,orality,\bnourishment
primordial,primary,need,orality,\bnurtur
primordial,primary,need,orality,\bnut\b
primordial,primary,need,orality,\bnuts\b
primordial,primary,need,orality,\boliv
primordial,primary,need,orality,\boral
primordial,primary,need,orality,\bpalat
primordial,primary,need,orality,\bpartak
primordial,primary,need,orality,\bpastri
primordial,primary,need,orality,\bpastry
primordial,primary,need,orality,\bpea\b
primordial,primary,need,orality,\bpeanut
primordial,primary,need,orality,\bpear
