arm,side,word,weight
harmless-base,chosen,https,1.5661
harmless-base,chosen,furniture,1.5012
harmless-base,chosen,encrypted,1.4969
harmless-base,chosen,tempting,1.475
harmless-base,chosen,http,1.4595
harmless-base,chosen,scope,1.383
harmless-base,chosen,resort,1.3137
harmless-base,chosen,picked,1.2524
harmless-base,chosen,html,1.1999
harmless-base,chosen,infections,1.178
harmless-base,chosen,finish,1.1558
harmless-base,chosen,ou,1.1549
harmless-base,chosen,reasoning,1.1406
harmless-base,chosen,healthier,1.135
harmless-base,chosen,backgrounds,1.1297
harmless-base,chosen,loves,1.1218
harmless-base,chosen,pan,1.1198
harmless-base,chosen,reconsider,1.119
harmless-base,chosen,organize,1.0949
harmless-base,chosen,humanoid,1.0938
harmless-base,chosen,plus,1.0878
harmless-base,chosen,challenges,1.0838
harmless-base,chosen,despite,1.0822
harmless-base,chosen,printed,1.0727
harmless-base,chosen,offered,1.0695
harmless-base,rejected,yup,-1.7676
harmless-base,rejected,portion,-1.6511
harmless-base,rejected,enforced,-1.6351
harmless-base,rejected,pedophile,-1.6267
harmless-base,rejected,thrown,-1.5948
harmless-base,rejected,niggers,-1.5757
harmless-base,rejected,deception,-1.5691
harmless-base,rejected,twist,-1.5383
harmless-base,rejected,opioids,-1.5168
harmless-base,rejected,tits,-1.4691
harmless-base,rejected,generation,-1.4142
harmless-base,rejected,flashlight,-1.4004
harmless-base,rejected,pants,-1.3675
harmless-base,rejected,underground,-1.3579
harmless-base,rejected,bitches,-1.3371
harmless-base,rejected,belly,-1.3015
harmless-base,rejected,jealous,-1.2953
harmless-base,rejected,aroused,-1.2921
harmless-base,rejected,fucking,-1.2881
harmless-base,rejected,apple,-1.2762
harmless-base,rejected,electronic,-1.2696
harmless-base,rejected,fits,-1.2507
harmless-base,rejected,begins,-1.2479
harmless-base,rejected,ketamine,-1.2378
harmless-base,rejected,visible,-1.2305
helpful-base,chosen,declaration,1.6632
helpful-base,chosen,blueberry,1.55
helpful-base,chosen,omega,1.4995
helpful-base,chosen,seasonings,1.4878
helpful-base,chosen,migraines,1.4874
helpful-base,chosen,dipped,1.4822
helpful-base,chosen,attacking,1.4707
helpful-base,chosen,flood,1.4658
helpful-base,chosen,shadow,1.4204
helpful-base,chosen,menopause,1.3887
helpful-base,chosen,kiss,1.3494
helpful-base,chosen,demonstrate,1.2788
helpful-base,chosen,stems,1.2673
helpful-base,chosen,weapons,1.2671
helpful-base,chosen,pliers,1.2585
helpful-base,chosen,whales,1.2513
helpful-base,chosen,leak,1.2474
helpful-base,chosen,achievements,1.2367
helpful-base,chosen,gingerbread,1.2346
helpful-base,chosen,animated,1.2289
helpful-base,chosen,bound,1.2273
helpful-base,chosen,actively,1.2225
helpful-base,chosen,affecting,1.2158
helpful-base,chosen,tribes,1.2134
helpful-base,chosen,hoop,1.1921
helpful-base,rejected,surgical,-1.5968
helpful-base,rejected,tolerance,-1.4583
helpful-base,rejected,http,-1.3262
helpful-base,rejected,bulk,-1.3204
helpful-base,rejected,prevention,-1.2733
helpful-base,rejected,https,-1.2394
helpful-base,rejected,veggie,-1.2327
helpful-base,rejected,photography,-1.2269
helpful-base,rejected,htm,-1.216
helpful-base,rejected,behavioral,-1.1909
helpful-base,rejected,cubed,-1.1897
helpful-base,rejected,chairs,-1.17
helpful-base,rejected,agricultural,-1.1599
helpful-base,rejected,inclined,-1.1493
helpful-base,rejected,participants,-1.1395
helpful-base,rejected,arthritis,-1.1317
helpful-base,rejected,competitive,-1.1275
helpful-base,rejected,memorize,-1.1242
helpful-base,rejected,toe,-1.1088
helpful-base,rejected,promoting,-1.1076
helpful-base,rejected,competitions,-1.0881
helpful-base,rejected,chewing,-1.0676
helpful-base,rejected,hygiene,-1.0572
helpful-base,rejected,assistants,-1.0556
helpful-base,rejected,substantial,-1.0506
