base,excess_sexual_sft,excess_sexual_pref,excess_violent_sft,excess_violent_pref,A_diff,B_diff
EleutherAI/pythia-2.8b,-0.01402457,0.0054573781,-0.012970382,0.0089127823,-0.019481948,0.021883164
EleutherAI/pythia-6.9b,-0.031154033,0.041182172,-0.030946467,0.051579837,-0.072336205,0.082526304
HuggingFaceTB/SmolLM3-3B-Base,-0.047296966,0.025371661,-0.05218324,0.019978663,-0.072668626,0.072161903
LLM360/Amber,0.12743199,0.23828798,0.071259539,0.11282753,-0.11085599,0.041567986
allenai/OLMo-2-0425-1B,0.13072533,0.026588822,0.01082112,0.033260357,0.10413651,0.022439237
allenai/OLMoE-1B-7B-0125,0.19706856,0.030312332,0.023954264,-0.00042590284,0.16675623,-0.024380167
allenai/Olmo-3-1025-7B,0.26020071,0.024414787,0.075193353,0.019887748,0.23578592,-0.055305605
allenai/Olmo-3-1125-32B,0.27783404,-0.053096362,0.068007366,0.036392656,0.3309304,-0.03161471
allenai/Olmo-Hybrid-7B,0.3874293,-0.0077846486,0.097440401,0.013381846,0.39521394,-0.084058555
huggyllama/llama-7b,0.053841417,-0.03841728,0.17855381,-0.017962216,0.092258697,-0.19651603
internlm/internlm2-base-7b,-0.092636255,-0.039283339,0.15114576,-0.093831741,-0.053352915,-0.2449775
llm-jp/llm-jp-3-7.2b,0.070808662,0.056359111,0.030538005,0.04744071,0.01444955,0.016902706
m-a-p/CT-LLM-Base,0.14920016,0.072482691,-0.14076342,0.01335734,0.07671747,0.15412076
m-a-p/neo_7b,0.18934598,0.045215126,-0.13452253,0.059950992,0.14413085,0.19447352
meta-llama/Llama-3.1-8B,0.13423077,0.037651272,0.065097714,0.011837405,0.096579499,-0.053260309
mistralai/Mistral-7B-v0.1,0.073630237,-0.027964712,-0.029418754,0.032146319,0.10159495,0.061565072
