base,sft,pref,pref_op,vendor
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,dpo,EleutherAI
mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,dpo,mistralai
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,apo,HuggingFaceTB
LLM360/Amber,LLM360/AmberChat,LLM360/AmberSafe,dpo,LLM360
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,rlhf,huggyllama
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,dpo,meta-llama
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,dpo,allenai
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,dpo,allenai
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,dpo,allenai
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,allenai/Olmo-3-7B-Think-DPO,dpo,allenai
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,dpo,allenai
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,dpo,allenai
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,rlhf,internlm
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,llm-jp/llm-jp-3-7.2b-instruct3,dpo,llm-jp
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,lomahony/eleuther-pythia6.9b-hh-dpo,dpo,EleutherAI
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-SFT-DPO,dpo,m-a-p
m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b_instruct_v0.1,dpo,m-a-p
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,dpo,mistralai
