word_set,word,corpus_cells
sexual,adultery,16
sexual,amatory,3
sexual,amorous,401
sexual,anal,37
sexual,analy,76
sexual,anus,75
sexual,arousal,127
sexual,arouse,382
sexual,aroused,699
sexual,arouses,3
sexual,arousing,4
sexual,balls,1993
sexual,ballsack,3
sexual,bawd,27
sexual,bawds,1
sexual,bawdy,12
sexual,bedded,143
sexual,bimbo,2
sexual,bisexual,6
sexual,bollocks,3
sexual,bondage,154
sexual,boner,151
sexual,bonk,2
sexual,bonked,2
sexual,boob,54
sexual,boobs,54
sexual,bosom,8244
sexual,bosomed,42
sexual,bosomes,1
sexual,bosoms,724
sexual,breast,14432
sexual,breasted,46
sexual,breastings,1
sexual,breasts,2705
sexual,breeding,51
sexual,brothel,53
sexual,brothels,6
sexual,bugger,281
sexual,buggers,1
sexual,butch,1084
sexual,butches,3
sexual,buttplug,1
sexual,buxom,7
sexual,carnal,43
sexual,carnality,1
sexual,casanova,24
sexual,castrate,130
sexual,castrated,36
sexual,castrates,1
sexual,cervix,1
sexual,chaste,549
sexual,chastities,1
sexual,chastity,37
sexual,circumcise,10
sexual,circumcised,81
sexual,circumcision,6
sexual,cleavage,171
sexual,climax,1677
sexual,climaxed,302
sexual,clit,223
sexual,clitoris,58
sexual,cock,5863
sexual,cockes,2
sexual,cockhead,81
sexual,cocks,84
sexual,cocksucker,2
sexual,coitus,98
sexual,concupiscence,3
sexual,condom,167
sexual,condoms,207
sexual,consummated,95
sexual,consummating,1
sexual,consummation,46
sexual,contraception,120
sexual,contraceptive,2
sexual,copulate,72
sexual,copulation,82
sexual,creampie,3
sexual,crotch,1031
sexual,crotched,1
sexual,cuck,516
sexual,cuckold,55
sexual,cuckoldry,2
sexual,cucks,3
sexual,cum,2061
sexual,cummed,69
sexual,cummer,1
sexual,cumming,3
sexual,cums,3
sexual,cunt,137
sexual,dalliances,2
sexual,debauch,27
sexual,debauched,9
sexual,debauchery,3
sexual,deepthroat,5
sexual,deepthroated,2
sexual,deflower,56
sexual,deflowered,12
sexual,dick,1694
sexual,dickhead,1
sexual,dicks,16
sexual,dildo,34
sexual,dildos,3
sexual,doggystyle,1
sexual,dong,172
sexual,dyke,6
sexual,dykes,18
sexual,ejaculate,87
sexual,ejaculated,380
sexual,ejaculates,2
sexual,ejaculating,1
sexual,ejaculation,8
sexual,epididymis,3
sexual,erectile,13
sexual,erection,962
sexual,erections,25
sexual,erogenous,1
sexual,erotic,194
sexual,erotica,66
sexual,eroticism,40
sexual,eunuch,29
sexual,eunuchs,20
sexual,exhibitionist,1
sexual,fag,86
sexual,faggot,104
sexual,faggots,3
sexual,fags,114
sexual,fanny,155
sexual,fap,3
sexual,fapped,3
sexual,fellate,19
sexual,fellatio,5
sexual,fetish,29
sexual,fingered,2563
sexual,fingering,10
sexual,fisting,2
sexual,fleshly,45
sexual,flirted,810
sexual,flirting,145
sexual,flirts,6
sexual,fondle,1796
sexual,fondled,1938
sexual,fondling,36
sexual,foreplay,194
sexual,foreskin,227
sexual,fornicate,34
sexual,fornicated,6
sexual,fornicating,1
sexual,fornication,7
sexual,frig,182
sexual,frot,5
sexual,frottage,1
sexual,fuck,11070
sexual,fucked,2061
sexual,fucker,23
sexual,fuckers,2
sexual,fuckery,13
sexual,fucking,1350
sexual,fucks,16
sexual,gay,6899
sexual,gayer,94
sexual,gays,2
sexual,genital,126
sexual,genitalia,97
sexual,genitals,479
sexual,gigolo,1
sexual,glans,45
sexual,grope,2149
sexual,groped,2976
sexual,gropes,2
sexual,groping,75
sexual,gropings,2
sexual,hardon,74
sexual,harem,11
sexual,harlot,78
sexual,harlots,1
sexual,hermaphrodite,11
sexual,ho,19026
sexual,hoe,103
sexual,hoes,143
sexual,homo,9
sexual,homos,1
sexual,homosexual,8
sexual,homosexuality,10
sexual,hooker,15
sexual,hooters,3
sexual,horny,33
sexual,hos,24
sexual,hump,464
sexual,humped,113
sexual,humping,33
sexual,hussy,59
sexual,hymen,51
sexual,impotence,5
sexual,impregnate,71
sexual,impregnated,71
sexual,impregnating,28
sexual,incest,3
sexual,infidelity,51
sexual,intercourse,440
sexual,jism,1
sexual,jizz,28
sexual,jizzed,28
sexual,jugs,90
sexual,kink,76
sexual,kinky,16
sexual,labia,128
sexual,lascivious,4
sexual,lecher,46
sexual,lecherous,12
sexual,leer,238
sexual,leered,392
sexual,leering,101
sexual,lesbian,34
sexual,lewd,92
sexual,lewdness,1
sexual,libertine,2
sexual,libido,1
sexual,licentious,34
