from_model,to_model,word,word_set,removed,inherited,n_prompts
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,tit,sexual,0.001615479705,0.001615479705,1
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,bombarded,violent,0.001115507679,0.001115507679,1
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,departed,neutral_matched_violent,0.0710530107,0.08395669796,40
LLM360/Amber,LLM360/AmberChat,bolt,neutral,0.005039209704,0.006724411855,6
llm-jp/llm-jp-3-7.2b-instruct2,llm-jp/llm-jp-3-7.2b-instruct3,sacrifice,neutral,0.004297875447,0.063525999,18
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,leered,sexual,0,0,3
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,trampled,violent,0.01998373226,0.1624264842,57
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,seduce,sexual,0.009881368722,0.01093735534,3
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,lousy,neutral,0.001146567636,0.001146567636,1
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,sting,neutral,0.002599121304,0.04556748737,4
allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,issue,neutral,0.0164997706,0.2704098516,56
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,scalp,neutral,0.000841617526,0.001882521552,1
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,steering,neutral,0.0004877962929,0.005239468417,3
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,riding,neutral,0.001547868829,0.001547868829,1
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,wail,neutral,0.01023240511,0.07260067342,19
mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,wounds,violent,0.01766115054,0.1046568606,3
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,erect,neutral,0.001661254355,0.02155796252,8
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,whack,violent,0.001007984974,0.001007984974,1
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,blade,neutral,0.01028010869,0.02359036787,8
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,straddled,neutral,0.01349953365,0.1084147287,36
LLM360/Amber,LLM360/AmberChat,erased,neutral_matched_sexual,0.003503344487,0.005833502393,6
LLM360/Amber,LLM360/AmberSafe,have,neutral,41.3433455,50.30705809,531
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,injured,violent,0.008446207044,0.06710931449,17
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,hungry,neutral,0,0,1
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,nut,neutral,0,0,1
