analysis,comparison,prompt,item,domain,n_words,n_lineages,n_folds,model,r2
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,emp_mean,0.02556613231894389
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,names12,0.03186362993708691
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,bge_pcs,-0.0015629783700670252
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,bge_axis,-0.007361765153182542
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,logp,0.018115341918101602
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,names_logp,0.0439139274608108
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,1:aggression,-0.00504071756724378
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,1:deliberation,-0.0014137768047262078
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,1:directedness,-0.008231976928587681
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,1:fit,-0.007745845081347014
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,1:harm,-0.004957309943849797
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,1:hedged,-0.004957309943849797
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,1:interiority,0.0031925511102588455
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,1:makes_better,0.009994786598230165
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,1:makes_worse,-0.0057248791620594375
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,1:mundanity,0.016539551469950453
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,1:superego,0.0004923710847481999
loo,v6_only,He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,20,1:vocalisation,-0.004957309943849797
