item,domain,n_lineages,fit_lineages,r2,n_draws
nn_handunderher_83d92928,sexual,20,1,-2.2619970677595984,60
nn_handunderher_83d92928,sexual,20,2,-0.9091603220183639,60
nn_handunderher_83d92928,sexual,20,4,-0.2602875489737411,60
nn_handunderher_83d92928,sexual,20,8,0.054551893522102386,60
nn_handunderher_83d92928,sexual,20,12,0.16481036418524547,60
nn_handunderher_83d92928,sexual,20,16,0.2144091408152299,60
nn_andstartedto_ded505ff,violence,20,1,-2.042908742374576,60
nn_andstartedto_ded505ff,violence,20,2,-0.8477792666863225,60
nn_andstartedto_ded505ff,violence,20,4,-0.27406777149813577,60
nn_andstartedto_ded505ff,violence,20,8,0.014400844644644643,60
nn_andstartedto_ded505ff,violence,20,12,0.11867739037855156,60
nn_andstartedto_ded505ff,violence,20,16,0.1839977827092274,60
nn_andstartedto_dac9091f,violence,20,1,-2.4333650847457284,60
nn_andstartedto_dac9091f,violence,20,2,-1.0542657839292906,60
nn_andstartedto_dac9091f,violence,20,4,-0.35835208994580564,60
nn_andstartedto_dac9091f,violence,20,8,-0.027003734052537795,60
nn_andstartedto_dac9091f,violence,20,12,0.07806607128847332,60
nn_andstartedto_dac9091f,violence,20,16,0.14854454254061375,60
nn_sheunzippedhis_76f7c472,sexual,20,1,-3.169359629127199,60
nn_sheunzippedhis_76f7c472,sexual,20,2,-1.3179159940443304,60
nn_sheunzippedhis_76f7c472,sexual,20,4,-0.4890190987384495,60
nn_sheunzippedhis_76f7c472,sexual,20,8,-0.11053013271101288,60
nn_sheunzippedhis_76f7c472,sexual,20,12,0.014355490808959289,60
nn_sheunzippedhis_76f7c472,sexual,20,16,0.0847646538156714,60
nn_heunzippedher_d06b88e2,sexual,20,1,-2.8768300004751732,60
nn_heunzippedher_d06b88e2,sexual,20,2,-1.2784633048879477,60
nn_heunzippedher_d06b88e2,sexual,20,4,-0.5126545189642416,60
nn_heunzippedher_d06b88e2,sexual,20,8,-0.13480484294062509,60
nn_heunzippedher_d06b88e2,sexual,20,12,-0.009190158297178445,60
nn_heunzippedher_d06b88e2,sexual,20,16,0.05210758920540466,60
nn_shewantedto_b8cf8356,violence,20,1,-3.049271332337671,60
nn_shewantedto_b8cf8356,violence,20,2,-1.4544404164204938,60
nn_shewantedto_b8cf8356,violence,20,4,-0.6311035362141741,60
nn_shewantedto_b8cf8356,violence,20,8,-0.22169231861215233,60
nn_shewantedto_b8cf8356,violence,20,12,-0.08005580621911985,60
nn_shewantedto_b8cf8356,violence,20,16,-0.014819076681294183,60
nn_shehadenormous_e9d4871e,sexual,20,1,-2.837361630630204,60
nn_shehadenormous_e9d4871e,sexual,20,2,-1.3737443316037146,60
nn_shehadenormous_e9d4871e,sexual,20,4,-0.5572199155965958,60
nn_shehadenormous_e9d4871e,sexual,20,8,-0.15859827477416372,60
nn_shehadenormous_e9d4871e,sexual,20,12,-0.019194147195729563,60
nn_shehadenormous_e9d4871e,sexual,20,16,0.051598392451128385,60
nn_feltherselfget_6218d786,sexual,20,1,-2.4992211375728512,60
nn_feltherselfget_6218d786,sexual,20,2,-1.217569436582905,60
nn_feltherselfget_6218d786,sexual,20,4,-0.47139885758188366,60
nn_feltherselfget_6218d786,sexual,20,8,-0.11067264108677859,60
nn_feltherselfget_6218d786,sexual,20,12,0.019393211254990897,60
nn_feltherselfget_6218d786,sexual,20,16,0.07947277216122697,60
nn_felthimselfget_323c9639,sexual,20,1,-2.930740539479625,60
nn_felthimselfget_323c9639,sexual,20,2,-1.3196492969362652,60
nn_felthimselfget_323c9639,sexual,20,4,-0.5742659170961093,60
nn_felthimselfget_323c9639,sexual,20,8,-0.14584550062255802,60
nn_felthimselfget_323c9639,sexual,20,12,-0.002304643891126225,60
nn_felthimselfget_323c9639,sexual,20,16,0.06286013785220815,60
nn_hewantedto_7ced777f,violence,20,1,-2.94323046775242,60
nn_hewantedto_7ced777f,violence,20,2,-1.3320713281034808,60
nn_hewantedto_7ced777f,violence,20,4,-0.5573002900574593,60
nn_hewantedto_7ced777f,violence,20,8,-0.1768943980060115,60
nn_hewantedto_7ced777f,violence,20,12,-0.05256438136883808,60
nn_hewantedto_7ced777f,violence,20,16,0.0167669339203841,60
nn_hesawher_0cfedd1d,sexual,20,1,-2.985614086238404,60
nn_hesawher_0cfedd1d,sexual,20,2,-1.3916240062507463,60
nn_hesawher_0cfedd1d,sexual,20,4,-0.5322679001180675,60
nn_hesawher_0cfedd1d,sexual,20,8,-0.17487603326423914,60
nn_hesawher_0cfedd1d,sexual,20,12,-0.046115477143424795,60
nn_hesawher_0cfedd1d,sexual,20,16,0.03457784715509,60
nn_shesawhis_f5a2f005,sexual,20,1,-2.7069430665187095,60
nn_shesawhis_f5a2f005,sexual,20,2,-1.1943803013037428,60
nn_shesawhis_f5a2f005,sexual,20,4,-0.43844043706597247,60
nn_shesawhis_f5a2f005,sexual,20,8,-0.07510378940368986,60
nn_shesawhis_f5a2f005,sexual,20,12,0.05279740046963507,60
nn_shesawhis_f5a2f005,sexual,20,16,0.11474637183551847,60
nn_itintoher_a1e78e52,sexual,20,1,-2.6535968993796675,60
nn_itintoher_a1e78e52,sexual,20,2,-1.0947725768590526,60
nn_itintoher_a1e78e52,sexual,20,4,-0.4150918705595885,60
nn_itintoher_a1e78e52,sexual,20,8,-0.0401145805043561,60
nn_itintoher_a1e78e52,sexual,20,12,0.07605463144530607,60
nn_itintoher_a1e78e52,sexual,20,16,0.12873097998978233,60
nn_mouthtohis_47273d5d,sexual,21,1,-2.9395854680647804,60
nn_mouthtohis_47273d5d,sexual,21,2,-1.2820226536782866,60
nn_mouthtohis_47273d5d,sexual,21,4,-0.5362725080187205,60
nn_mouthtohis_47273d5d,sexual,21,8,-0.16749672478663355,60
nn_mouthtohis_47273d5d,sexual,21,12,-0.0425776101575921,60
nn_mouthtohis_47273d5d,sexual,21,16,0.02523473713222649,60
nn_mouthtoher_5082da31,sexual,20,1,-2.7147353425161938,60
nn_mouthtoher_5082da31,sexual,20,2,-1.3687113691463535,60
nn_mouthtoher_5082da31,sexual,20,4,-0.6369641251204968,60
nn_mouthtoher_5082da31,sexual,20,8,-0.19785375639491384,60
nn_mouthtoher_5082da31,sexual,20,12,-0.05613152185268852,60
nn_mouthtoher_5082da31,sexual,20,16,0.007292276726691195,60
nn_decidedtohave_776a935d,sexual,21,1,-3.445073287010893,60
nn_decidedtohave_776a935d,sexual,21,2,-1.5724627636985717,60
