item,domain,n_words,n_lineages,ceiling_as_reported,perfect_predictor_same_rule,corr_half_half
nn_tookoffher_b47e1351,sexual,355,8,0.0732973535531638,-0.5715366286162783,0.26277975812446375
nn_handunderher_83d92928,sexual,470,20,0.36111886238590957,0.16021997102917437,0.5993328315102702
nn_andstartedto_ded505ff,violence,588,20,0.3682486958207895,0.16991472900178645,0.605250409948141
nn_andstartedto_dac9091f,violence,622,20,0.32650567343765724,0.10386957559026981,0.5698649277201796
nn_sheunzippedhis_76f7c472,sexual,488,20,0.3193954599707717,0.029337417516206454,0.5638319800800398
nn_heunzippedher_d06b88e2,sexual,769,20,0.24749171377154786,-0.02690892848335704,0.49491867157263875
nn_shewantedto_b8cf8356,violence,414,20,0.19155663734196948,-0.15576543038332274,0.4340983007110166
nn_shehadenormous_e9d4871e,sexual,430,20,0.26237266520471236,-0.012037465571760478,0.5095528909927722
nn_feltherselfget_6218d786,sexual,577,20,0.2552084313493149,-0.056435071768352205,0.5036225827017292
nn_felthimselfget_323c9639,sexual,493,20,0.2216147463627222,-0.12723340881810027,0.4679426225921345
nn_hewantedto_7ced777f,violence,438,20,0.23435289872157972,-0.0653752961403049,0.48177059206811784
nn_hesawher_0cfedd1d,sexual,794,20,0.1948356978608748,-0.13179011710678593,0.43949318010173644
nn_shesawhis_f5a2f005,sexual,733,20,0.25563077234122933,-0.059284952800817234,0.503669230198245
nn_itintoher_a1e78e52,sexual,409,20,0.3706771829767316,0.13383103654202227,0.6079235616316232
nn_mouthtohis_47273d5d,sexual,269,21,0.25766634170408204,0.022737139034582233,0.5026064974138691
nn_mouthtoher_5082da31,sexual,346,20,0.2435113520069268,-0.09657628049750104,0.4883193812516894
nn_decidedtohave_776a935d,sexual,164,21,0.24803626324845301,-0.06181282998431281,0.4898627851016525
nn_tonguearoundher_ccc1b576,sexual,460,20,0.2660471822878348,-0.017600911593024744,0.5134536074176081
nn_tonguearoundhis_68640af9,sexual,507,20,0.268332987955885,-0.0013101115022769116,0.516723076052723
nn_heenteredher_4ba0dfe5,sexual,509,21,0.2421586370349154,-0.052936708250813404,0.4896070244107518
nn_pulledouthis_9d082c29,violence,544,21,0.2543945718029982,-0.006553907410356263,0.5028741171660973
nn_hepinchedher_34946eaf,sexual,551,21,0.39630977754591357,0.2855338261214325,0.6283285504444802
nn_tomakeher_5546a1a4,violence,336,20,0.46651428214326296,0.298899617882164,0.6823496366080062
nn_handsoverher_c52e1dcc,sexual,393,20,0.36761736739304024,0.1429547366951425,0.6049967208210324
nn_hewantedto_8abd471d,power,242,20,0.5565017412606439,0.46341808098063486,0.745476585454275
nn_shewantedto_7df9b421,power,243,20,0.5053206600830291,0.36847164354605005,0.7097250648709768
nn_onlyservesthe_26ac95f9,power,313,20,0.34760902781021946,0.1410046988782122,0.5877274780196601
nn_startedstrokinghis_70df8778,sexual,564,20,0.21625476992446266,-0.12430920985015577,0.46141749834648194
nn_startedrubbingher_713131a3,sexual,384,20,0.23342718483859892,-0.11677909074757649,0.47917833447304614
