prompt,item,domain,n_words,n_lineages,scale,rho,n_pairs,r2_single_halfsplit_SUPERSEDED,r2_single_loo,ceiling_halfsplit_SUPERSEDED
She slowly took off her,nn_tookoffher_b47e1351,sexual,49,8,deliberation,0.04380779620738702,8,-0.10877790038386939,,0.029168824259679305
She slowly took off her,nn_tookoffher_b47e1351,sexual,49,8,fit,0.08515358635741166,8,-0.0955687671891509,,0.029168824259679305
She slowly took off her,nn_tookoffher_b47e1351,sexual,49,8,interiority,-0.05493495106567718,8,-0.13214662110426184,,0.029168824259679305
She slowly took off her,nn_tookoffher_b47e1351,sexual,49,8,makes_better,-0.0279784489681921,8,-0.09803178934740492,,0.029168824259679305
She slowly took off her,nn_tookoffher_b47e1351,sexual,49,8,makes_worse,0.0279909414036346,8,-0.09847308436757632,,0.029168824259679305
She slowly took off her,nn_tookoffher_b47e1351,sexual,49,8,mundanity,0.12403518068148761,8,-0.08125166777617407,,0.029168824259679305
She slowly took off her,nn_tookoffher_b47e1351,sexual,49,8,superego,-0.013411371554229497,8,-0.0774307383028784,,0.029168824259679305
He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,aggression,-0.07397646518062212,20,-0.0518631972204038,,0.19604646944651644
He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,deliberation,0.06094548475817366,20,-0.06011584109623639,,0.19604646944651644
He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,directedness,-0.03103782919922291,20,-0.08400079928378075,,0.19604646944651644
He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,fit,0.10311850869861888,20,-0.05626393512121255,,0.19604646944651644
He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,interiority,0.10829588398790825,20,-0.04642707334252005,,0.19604646944651644
He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,makes_better,0.1503391322668682,20,0.0006771786989820505,,0.19604646944651644
He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,makes_worse,-0.023984667128920494,20,-0.06369962821352533,,0.19604646944651644
He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,mundanity,0.19695613004927448,20,-0.020572627609458567,,0.19604646944651644
He slipped his hand under her,nn_handunderher_83d92928,sexual,65,20,superego,0.09007311025714031,20,-0.05112739650352478,,0.19604646944651644
The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,aggression,-0.09948592428009292,20,-0.09097036941675136,,0.328992321492328
The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,deliberation,-0.04992516832922946,15,-0.10458614165885356,,0.328992321492328
The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,directedness,0.06794650263979098,20,-0.11416613961950654,,0.328992321492328
The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,fit,0.07581391287941319,20,-0.10844762508566037,,0.328992321492328
The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,harm,-0.15956618756704843,20,-0.09874811039643121,,0.328992321492328
The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,hedged,0.0,19,-0.10884220923559187,,0.328992321492328
The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,interiority,0.06524816087759575,20,-0.09978602324621211,,0.328992321492328
The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,makes_better,0.18431163256396452,20,-0.058514821567518215,,0.328992321492328
The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,makes_worse,-0.16444600707277296,20,-0.08646000868041748,,0.328992321492328
The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,mundanity,0.08790754280703736,20,-0.11126346794973303,,0.328992321492328
The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,superego,0.1963366820843675,20,-0.00833259200480926,,0.328992321492328
The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,vocalisation,0.043971990389386977,20,-0.07927790782810035,,0.328992321492328
The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,aggression,-0.07561521704245901,20,-0.06857106336502121,,0.18136914892923822
The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,deliberation,0.03067177173563128,20,-0.08265578189801784,,0.18136914892923822
The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,directedness,0.05394486708937653,20,-0.0997575184258028,,0.18136914892923822
The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,fit,0.015579068523410882,20,-0.09954585014614013,,0.18136914892923822
The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,harm,-0.056124026161297844,20,-0.10408539959242416,,0.18136914892923822
