word,group,condition,side,share,n,units
contact,ind,"Base, raw",individual,0.05939153439153439,7560,42
contact,ind,"Base, raw",institution,0.05952380952380952,7560,42
contact,ind,"Aligned, raw",individual,0.1712962962962963,7560,42
contact,ind,"Aligned, raw",institution,0.09867724867724868,7560,42
contact,ind,"Aligned, chat",individual,0.3689153439153439,7560,42
contact,ind,"Aligned, chat",institution,0.09470899470899471,7560,42
contact,ind,API,individual,0.5472222222222223,720,4
contact,ind,API,institution,0.08611111111111111,720,4
rights,ind,"Base, raw",individual,0.04656084656084656,7560,42
rights,ind,"Base, raw",institution,0.03783068783068783,7560,42
rights,ind,"Aligned, raw",individual,0.12407407407407407,7560,42
rights,ind,"Aligned, raw",institution,0.06402116402116402,7560,42
rights,ind,"Aligned, chat",individual,0.21851851851851853,7560,42
rights,ind,"Aligned, chat",institution,0.0794973544973545,7560,42
rights,ind,API,individual,0.3472222222222222,720,4
rights,ind,API,institution,0.10555555555555556,720,4
seek,ind,"Base, raw",individual,0.018386243386243385,7560,42
seek,ind,"Base, raw",institution,0.017328042328042328,7560,42
seek,ind,"Aligned, raw",individual,0.08346560846560847,7560,42
seek,ind,"Aligned, raw",institution,0.052248677248677246,7560,42
seek,ind,"Aligned, chat",individual,0.22420634920634921,7560,42
seek,ind,"Aligned, chat",institution,0.08478835978835979,7560,42
seek,ind,API,individual,0.14027777777777778,720,4
seek,ind,API,institution,0.05416666666666667,720,4
request,ind,"Base, raw",individual,0.04113756613756614,7560,42
request,ind,"Base, raw",institution,0.052116402116402116,7560,42
request,ind,"Aligned, raw",individual,0.11772486772486772,7560,42
request,ind,"Aligned, raw",institution,0.09907407407407408,7560,42
request,ind,"Aligned, chat",individual,0.2634920634920635,7560,42
request,ind,"Aligned, chat",institution,0.1343915343915344,7560,42
request,ind,API,individual,0.5013888888888889,720,4
request,ind,API,institution,0.12361111111111112,720,4
consider,ind,"Base, raw",individual,0.04801587301587302,7560,42
consider,ind,"Base, raw",institution,0.05264550264550265,7560,42
consider,ind,"Aligned, raw",individual,0.1582010582010582,7560,42
consider,ind,"Aligned, raw",institution,0.14629629629629629,7560,42
consider,ind,"Aligned, chat",individual,0.408994708994709,7560,42
consider,ind,"Aligned, chat",institution,0.2972222222222222,7560,42
consider,ind,API,individual,0.5444444444444444,720,4
consider,ind,API,institution,0.5347222222222222,720,4
local,ind,"Base, raw",individual,0.04484126984126984,7560,42
local,ind,"Base, raw",institution,0.03835978835978836,7560,42
local,ind,"Aligned, raw",individual,0.10304232804232805,7560,42
local,ind,"Aligned, raw",institution,0.05568783068783069,7560,42
local,ind,"Aligned, chat",individual,0.183994708994709,7560,42
local,ind,"Aligned, chat",institution,0.08478835978835979,7560,42
local,ind,API,individual,0.2902777777777778,720,4
local,ind,API,institution,0.1527777777777778,720,4
file,ind,"Base, raw",individual,0.05317460317460317,7560,42
file,ind,"Base, raw",institution,0.04325396825396825,7560,42
file,ind,"Aligned, raw",individual,0.0955026455026455,7560,42
file,ind,"Aligned, raw",institution,0.03558201058201058,7560,42
file,ind,"Aligned, chat",individual,0.15317460317460319,7560,42
file,ind,"Aligned, chat",institution,0.030952380952380953,7560,42
file,ind,API,individual,0.5652777777777778,720,4
file,ind,API,institution,0.0875,720,4
department,ind,"Base, raw",individual,0.03955026455026455,7560,42
department,ind,"Base, raw",institution,0.05264550264550265,7560,42
department,ind,"Aligned, raw",individual,0.07989417989417989,7560,42
department,ind,"Aligned, raw",institution,0.06759259259259259,7560,42
department,ind,"Aligned, chat",individual,0.15753968253968254,7560,42
department,ind,"Aligned, chat",institution,0.06851851851851852,7560,42
department,ind,API,individual,0.24583333333333332,720,4
department,ind,API,institution,0.10833333333333334,720,4
listen,inst,"Base, raw",individual,0.007142857142857143,7560,42
listen,inst,"Base, raw",institution,0.021693121693121695,7560,42
listen,inst,"Aligned, raw",individual,0.008597883597883597,7560,42
listen,inst,"Aligned, raw",institution,0.07923280423280424,7560,42
listen,inst,"Aligned, chat",individual,0.005291005291005291,7560,42
listen,inst,"Aligned, chat",institution,0.20992063492063492,7560,42
listen,inst,API,individual,0.001388888888888889,720,4
listen,inst,API,institution,0.4638888888888889,720,4
concerns,inst,"Base, raw",individual,0.020105820105820106,7560,42
concerns,inst,"Base, raw",institution,0.04576719576719577,7560,42
concerns,inst,"Aligned, raw",individual,0.08928571428571429,7560,42
concerns,inst,"Aligned, raw",institution,0.21137566137566138,7560,42
concerns,inst,"Aligned, chat",individual,0.1671957671957672,7560,42
