scene,prompt,word,n_rise,n_fall,net,n_carriers,median_delta_pp,mean_delta_pp,net_mass,scale,out,n_lineages
tookoff,She slowly took off her,shoes,35,15,20,50,+2.65005,+3.52756,+1.76378,survey,3.3516666666666666,50
tookoff,She slowly took off her,glasses,34,16,18,50,+1.09189,+2.47283,+1.23642,survey,3.228333333333333,50
tookoff,She slowly took off her,headphones,29,15,14,44,+0.08458,+0.22525,+0.09911,survey,3.456666666666667,50
tookoff,She slowly took off her,seatbelt,18,4,14,22,+0.11463,+0.12906,+0.02839,survey,3.0833333333333335,50
tookoff,She slowly took off her,coat,30,20,10,50,+0.75536,+0.33738,+0.16869,survey,2.7999999999999994,50
tookoff,She slowly took off her,jewelry,22,13,9,35,+0.01436,+0.01167,+0.00409,survey,3.2099999999999995,50
tookoff,She slowly took off her,boots,29,21,8,50,+0.09181,+0.36448,+0.18224,survey,3.3466666666666662,50
tookoff,She slowly took off her,engagement,10,2,8,12,+0.06528,+0.12751,+0.01530,survey,,50
tookoff,She slowly took off her,rings,11,4,7,15,+0.09071,+0.09321,+0.01398,survey,3.11,50
tookoff,She slowly took off her,headset,12,5,7,17,+0.05443,+0.10296,+0.01750,survey,3.2516666666666665,50
tookoff,She slowly took off her,mittens,6,0,6,6,+0.02637,+0.02890,+0.00173,survey,3.3216666666666668,50
tookoff,She slowly took off her,oversized,11,5,6,16,+0.08698,+0.07050,+0.01128,survey,,50
tookoff,She slowly took off her,worn,9,3,6,12,+0.07764,+0.09673,+0.01161,survey,,50
tookoff,She slowly took off her,prosthetic,6,0,6,6,+0.13048,+0.21144,+0.01269,survey,,50
tookoff,She slowly took off her,layers,6,1,5,7,+0.06692,+0.04415,+0.00309,survey,,50
tookoff,She slowly took off her,ragged,5,0,5,5,+0.06883,+0.06289,+0.00314,survey,,50
tookoff,She slowly took off her,tattered,10,5,5,15,+0.12828,+0.09815,+0.01472,survey,,50
tookoff,She slowly took off her,gloves,27,23,4,50,+0.32120,+0.80007,+0.40003,survey,3.2783333333333338,50
tookoff,She slowly took off her,jacket,27,23,4,50,+0.10959,+0.36863,+0.18431,survey,2.611666666666667,50
tookoff,She slowly took off her,sneakers,18,14,4,32,+0.00977,+0.01137,+0.00364,survey,3.34,50
tookoff,She slowly took off her,sweatpants,5,1,4,6,+0.06455,+0.59210,+0.03553,survey,1.8166666666666667,50
tookoff,She slowly took off her,swimsuit,8,4,4,12,+0.01611,+0.01563,+0.00188,survey,0.6116666666666667,50
tookoff,She slowly took off her,elegant,4,0,4,4,+0.05711,+0.06297,+0.00252,survey,,50
tookoff,She slowly took off her,outerwear,6,2,4,8,+0.04110,+0.05857,+0.00469,survey,,50
tookoff,She slowly took off her,golden,5,1,4,6,+0.02581,+0.06945,+0.00417,survey,,50
tookoff,She slowly took off her,torn,6,2,4,8,+0.02335,+0.05721,+0.00458,survey,,50
tookoff,She slowly took off her,muddy,4,0,4,4,+0.13348,+0.12557,+0.00502,survey,,50
tookoff,She slowly took off her,orange,4,0,4,4,+0.06872,+0.07332,+0.00293,survey,,50
tookoff,She slowly took off her,evening,4,0,4,4,+0.17451,+0.18425,+0.00737,survey,,50
tookoff,She slowly took off her,slacks,4,1,3,5,+0.08563,+0.06535,+0.00327,survey,1.7466666666666668,50
tookoff,She slowly took off her,sports,4,1,3,5,+0.04519,+0.04404,+0.00220,survey,,50
tookoff,She slowly took off her,high-heeled,4,1,3,5,+0.05099,+0.09290,+0.00465,survey,,50
tookoff,She slowly took off her,latex,4,1,3,5,+0.03537,+0.03841,+0.00192,survey,,50
tookoff,She slowly took off her,remaining,3,0,3,3,+0.03396,+0.03711,+0.00111,survey,,50
tookoff,She slowly took off her,silver,12,9,3,21,+0.01843,+0.03198,+0.00672,survey,,50
tookoff,She slowly took off her,soaked,4,1,3,5,+0.00969,+0.05705,+0.00285,survey,,50
tookoff,She slowly took off her,expensive,3,0,3,3,+0.07074,+0.07350,+0.00221,survey,,50
tookoff,She slowly took off her,handkerchief,5,2,3,7,+0.06306,+0.11559,+0.00809,survey,3.521666666666667,50
tookoff,She slowly took off her,ruby,3,0,3,3,+0.06739,+0.06028,+0.00181,survey,,50
tookoff,She slowly took off her,upper,3,0,3,3,+0.03701,+0.04112,+0.00123,survey,,50
tookoff,She slowly took off her,blazer,16,14,2,30,+0.00796,+0.05101,+0.01530,survey,2.5016666666666665,50
tookoff,She slowly took off her,m,8,6,2,14,+0.00001,-0.00020,-0.00003,survey,,50
tookoff,She slowly took off her,ring,24,22,2,46,+0.00432,+0.07808,+0.03592,survey,3.0549999999999997,50
tookoff,She slowly took off her,high-he,4,2,2,6,+0.00000,+0.00000,+0.00000,survey,,50
tookoff,She slowly took off her,lace,4,2,2,6,+0.04194,+0.03254,+0.00195,survey,,50
tookoff,She slowly took off her,small,4,2,2,6,+0.02400,+0.01620,+0.00097,survey,,50
tookoff,She slowly took off her,thong,5,3,2,8,+0.05806,+0.04748,+0.00380,survey,0.22,50
tookoff,She slowly took off her,tiny,3,1,2,4,+0.06768,+0.03887,+0.00155,survey,,50
tookoff,She slowly took off her,shades,4,2,2,6,+0.04339,+0.07036,+0.00422,survey,3.5516666666666663,50
tookoff,She slowly took off her,shirts,2,0,2,2,+0.07615,+0.07615,+0.00152,survey,1.866666666666667,50
