word,jev_model,jev_gate,jev_exposure,jev_position,jev_dressing,txt_gate,txt_exposure,txt_position,txt_dressing,scored
bathrobe,jev-1.13.0,GARMENT,0.69,1.93,2.03,GARMENT,2,2,2,1
bathro,jev-1.13.0,NOT_A_WORD,0.9,1.93,2.35,NOT_A_WORD,0,0,0,0
apron,jev-1.13.0,GARMENT,2.11,1.59,2.81,GARMENT,2,2,3,1
apr,jev-1.13.0,NOT_A_WORD,2.05,1.85,2.02,NOT_A_WORD,0,0,0,0
trousers,jev-1.13.0,GARMENT,0.73,1.71,1.43,GARMENT,2,2,2,1
t,jev-1.13.0,NOT_A_WORD,2.24,2.32,2.22,NOT_A_WORD,0,0,0,0
blouse,jev-1.13.0,GARMENT,0.49,1.73,1.8,GARMENT,3,2,2,1
bl,jev-1.13.0,NOT_A_WORD,1.97,2.14,2.43,NOT_A_WORD,0,0,0,0
sunglasses,jev-1.13.0,WORN_OR_CARRIED,3.83,3.0,3.78,WORN_OR_CARRIED,3,3,4,1
g,jev-1.13.0,NOT_A_WORD,1.93,1.78,1.83,NOT_A_WORD,0,0,0,0
bra,jev-1.13.0,GARMENT,0.14,0.09,0.55,GARMENT,0,0,1,1
shirt,jev-1.13.0,GARMENT,0.72,1.87,1.52,GARMENT,2,2,2,1
coat,jev-1.13.0,GARMENT,1.89,1.98,3.93,GARMENT,3,2,4,1
belt,jev-1.13.0,WORN_OR_CARRIED,2.87,1.0,2.01,GARMENT,4,1,3,1
backpack,jev-1.13.0,WORN_OR_CARRIED,3.61,2.53,3.89,WORN_OR_CARRIED,3,4,4,1
arm,jev-1.13.0,BODY_PART,3.0,2.96,2.34,BODY_PART,4,3,4,0
army,jev-1.13.0,OTHER_NOUN,2.13,2.42,2.8,OTHER_NOUN,4,4,4,0
bath,jev-1.13.0,OTHER_NOUN,1.36,2.53,1.58,OTHER_NOUN,4,4,2,0
slippers,jev-1.13.0,GARMENT,3.37,3.0,2.98,WORN_OR_CARRIED,3,3,4,1
raincoat,jev-1.13.0,GARMENT,2.53,1.99,3.99,GARMENT,3,2,4,1
