word,jev_model,jev_gate,jev_exposure,jev_position,jev_dressing,txt_gate,txt_exposure,txt_position,txt_dressing,scored,scored_veto
T,jev-1.13.0,NOT_A_WORD,1.89,2.23,2.48,NOT_A_WORD,0,0,0,0,0
T-shirt,jev-1.13.0,GARMENT,0.64,1.91,1.26,GARMENT,2,2,2,1,1
ap,jev-1.13.0,NOT_A_WORD,1.77,2.23,1.96,NOT_A_WORD,0,0,0,0,0
apr,jev-1.13.0,NOT_A_WORD,2.05,1.85,2.02,NOT_A_WORD,0,0,0,0,0
apron,jev-1.13.0,GARMENT,2.11,1.59,2.81,GARMENT,2,2,3,1,1
arm,jev-1.13.0,BODY_PART,3.0,2.96,2.34,BODY_PART,4,3,4,0,0
armor,jev-1.13.0,GARMENT,1.63,1.94,3.27,GARMENT,2,2,3,1,1
armour,jev-1.13.0,GARMENT,1.67,1.94,3.12,GARMENT,2,2,3,1,1
army,jev-1.13.0,OTHER_NOUN,2.13,2.42,2.8,OTHER_NOUN,4,4,4,0,0
b,jev-1.13.0,NOT_A_WORD,2.08,2.23,2.13,NOT_A_WORD,0,0,0,0,0
back,jev-1.13.0,GARMENT,2.38,2.08,2.14,NOT_A_WORD,0,0,0,1,0
backpack,jev-1.13.0,WORN_OR_CARRIED,3.61,2.53,3.89,WORN_OR_CARRIED,3,4,4,1,1
bag,jev-1.13.0,WORN_OR_CARRIED,3.39,3.87,3.34,WORN_OR_CARRIED,4,4,4,1,1
baggy,jev-1.13.0,GARMENT,1.82,2.23,2.29,NOT_A_WORD,0,0,0,1,0
ball,jev-1.13.0,OTHER_NOUN,1.58,2.66,2.31,OTHER_NOUN,4,4,4,0,0
band,jev-1.13.0,WORN_OR_CARRIED,2.66,2.28,1.35,OTHER_NOUN,0,3,0,1,0
bandages,jev-1.13.0,WORN_OR_CARRIED,2.3,2.97,0.96,OTHER_NOUN,2,3,3,1,0
bandana,jev-1.13.0,WORN_OR_CARRIED,3.16,2.99,2.6,WORN_OR_CARRIED,3,3,4,1,1
baseball,jev-1.13.0,OTHER_NOUN,3.1,3.35,2.7,OTHER_NOUN,3,3,3,0,0
bath,jev-1.13.0,OTHER_NOUN,1.36,2.53,1.58,OTHER_NOUN,4,4,2,0,0
bathing,jev-1.13.0,GARMENT,1.26,1.9,1.26,OTHER_NOUN,0,4,0,1,0
bathro,jev-1.13.0,NOT_A_WORD,0.9,1.93,2.35,NOT_A_WORD,0,0,0,0,0
bathrobe,jev-1.13.0,GARMENT,0.69,1.93,2.03,GARMENT,2,2,2,1,1
be,jev-1.13.0,GARMENT,2.39,2.28,1.85,NOT_A_WORD,0,0,0,1,0
