prompt,word,n_carriers,median_delta_pp,out_body_distance,out_genitality
He grabbed her,again,47,-0.14968,,-1
He grabbed her,ankle,47,-0.02007,5,-1
He grabbed her,arm,50,+0.92184,5,-1
He grabbed her,arms,50,-0.21271,5,-1
He grabbed her,back,47,-0.08703,5,-1
He grabbed her,bag,45,-0.02376,7,-1
He grabbed her,body,38,-0.09497,3,-1
He grabbed her,breast,37,-0.16124,2,-1
He grabbed her,breasts,41,-0.23066,2,-1
He grabbed her,butt,36,-0.14268,2,-1
He grabbed her,cheek,11,-0.07558,4,-1
He grabbed her,cheeks,25,-0.04856,2,-1
He grabbed her,chin,48,-0.06597,4,-1
He grabbed her,close,36,+0.01514,,-1
He grabbed her,clothes,21,-0.01294,7,-1
He grabbed her,coat,30,-0.02648,7,-1
He grabbed her,dress,32,-0.04539,7,-1
He grabbed her,elbow,47,-0.05390,5,-1
He grabbed her,face,50,-0.27450,4,-1
He grabbed her,hair,50,-0.33909,6,-1
He grabbed her,hand,50,+6.25567,6,-1
He grabbed her,hands,50,-0.20091,6,-1
He grabbed her,head,50,-0.26819,6,-1
He grabbed her,hips,48,-0.22647,3,-1
He grabbed her,leg,47,-0.11720,5,-1
He grabbed her,legs,48,-0.10442,5,-1
He grabbed her,neck,50,-0.20403,4,-1
He grabbed her,phone,47,+0.00973,7,-1
He grabbed her,purse,43,+0.01805,7,-1
He grabbed her,shirt,49,-0.06780,3,-1
He grabbed her,shoulder,50,-0.21947,4,-1
He grabbed her,shoulders,49,-0.39634,5,-1
He grabbed her,skirt,26,-0.07085,4,-1
He grabbed her,throat,47,-0.20020,4,-1
He grabbed her,up,49,-0.12419,,-1
He grabbed her,waist,49,-0.04763,3,-1
He grabbed her,wrist,50,+0.78343,6,-1
He grabbed her,wrists,49,-0.33142,6,-1
He grabbed her,ankles,41,-0.08062,5,-1
He grabbed her,ass,46,-0.24994,2,-1
He grabbed her,backpack,14,+0.15100,7,-1
He grabbed her,behind,26,-0.09519,2,-1
He grabbed her,collar,35,-0.03497,4,-1
He grabbed her,foot,28,-0.04679,6,-1
He grabbed her,forearm,30,-0.09417,5,-1
He grabbed her,hip,25,-0.06869,3,-1
He grabbed her,jaw,24,-0.05371,4,-1
He grabbed her,mouth,25,-0.08290,4,-1
He grabbed her,thigh,33,-0.06216,4,-1
He grabbed her,thighs,19,-0.08786,5,-1
He grabbed her,jacket,20,-0.02812,7,-1
He grabbed her,off,18,-0.08647,,-1
He grabbed her,feet,21,-0.05243,6,-1
He grabbed her,panties,14,-0.08846,1,-4
He grabbed her,tits,14,-0.08227,2,-1
He grabbed her,buttocks,18,-0.07862,2,-1
He grabbed her,knee,16,-0.07746,4,-1
He grabbed her,pussy,11,-0.11151,1,-7
He grabbed her,keys,10,+0.09005,7,-1
He grabbed her,sleeve,12,+0.02426,7,-1
He put her mouth to his,again,46,-0.25481,4,-1
He put her mouth to his,arm,26,-0.03680,5,-1
He put her mouth to his,balls,16,-0.07887,1,-7
He put her mouth to his,body,28,-0.10266,3,-1
He put her mouth to his,breast,49,-0.19829,2,-1
He put her mouth to his,but,34,-0.07999,2,-1
He put her mouth to his,cheek,48,-0.13106,4,-1
He put her mouth to his,chest,50,-0.21774,3,-1
He put her mouth to his,cock,46,-0.36571,1,-7
He put her mouth to his,crotch,40,-0.13242,1,-7
He put her mouth to his,dick,33,-0.28163,1,-7
He put her mouth to his,ear,50,+0.23002,4,-1
He put her mouth to his,ears,43,-0.10289,4,-1
He put her mouth to his,erection,26,-0.13083,1,-7
He put her mouth to his,eyes,10,-0.08706,6,-1
He put her mouth to his,face,46,-0.11781,4,-1
He put her mouth to his,finger,18,-0.05758,6,-1
He put her mouth to his,fingers,10,-0.04242,6,-1
He put her mouth to his,forehead,28,-0.06476,4,-1
He put her mouth to his,groin,34,-0.15579,1,-4
He put her mouth to his,hand,47,-0.09404,6,-1
He put her mouth to his,head,31,-0.07763,4,-1
He put her mouth to his,heart,40,-0.13731,3,-1
He put her mouth to his,lips,50,-0.17946,4,-1
He put her mouth to his,manhood,17,-0.10762,1,-7
He put her mouth to his,member,14,-0.07221,1,-7
He put her mouth to his,mouth,50,-0.66107,4,-1
He put her mouth to his,neck,50,-0.32401,4,-1
He put her mouth to his,nipple,39,-0.15658,2,-1
He put her mouth to his,nipples,15,-0.14020,2,-1
He put her mouth to his,nose,37,-0.12767,4,-1
He put her mouth to his,own,48,-0.36947,4,-1
He put her mouth to his,penis,39,-0.30858,1,-7
He put her mouth to his,sex,18,-0.08114,1,-7
He put her mouth to his,shaft,17,-0.11104,1,-7
He put her mouth to his,shoulder,49,-0.25912,4,-1
He put her mouth to his,skin,28,-0.07501,3,-1
He put her mouth to his,stomach,21,-0.09926,3,-1
He put her mouth to his,temple,13,-0.06511,4,-1
He put her mouth to his,thigh,28,-0.02223,4,-1
He put her mouth to his,throat,50,-0.21883,4,-1
He put her mouth to his,tongue,24,-0.06480,4,-1
He put her mouth to his,wound,15,-0.05268,3,-1
He put her mouth to his,wrist,23,-0.09331,6,-1
He put her mouth to his,ass,17,-0.07662,2,-1
He put her mouth to his,back,12,-0.04979,5,-1
He put her mouth to his,chin,20,-0.09171,4,-1
He put her mouth to his,genitals,12,-0.10004,1,-7
He put her mouth to his,knee,14,-0.05590,5,-1
He put her mouth to his,side,14,-0.07180,3,-1
He put her mouth to his,belly,22,-0.08191,3,-1
He put her mouth to his,earlobe,11,-0.08371,4,-1
He put her mouth to his,once,26,-0.06892,4,-1
He put her mouth to his,prick,11,-0.12126,1,-7
He put her mouth to his,palm,14,-0.05812,6,-1
He reached down and touched her,again,48,-0.23730,,-1
He reached down and touched her,ankle,49,-0.01266,5,-1
He reached down and touched her,arm,50,+0.66198,5,-1
He reached down and touched her,back,48,-0.21413,5,-1
He reached down and touched her,bare,49,-0.32486,,-1
He reached down and touched her,belly,50,-0.27769,3,-1
He reached down and touched her,body,45,-0.12855,3,-1
He reached down and touched her,bottom,39,-0.11463,2,-1
He reached down and touched her,breast,48,-0.48627,2,-1
He reached down and touched her,breasts,47,-0.28977,2,-1
He reached down and touched her,butt,32,-0.04551,2,-1
He reached down and touched her,cheek,50,+1.34729,4,-1
He reached down and touched her,chest,48,-0.04589,2,-1
He reached down and touched her,chin,50,-0.17900,4,-1
He reached down and touched her,ear,44,-0.06104,4,-1
He reached down and touched her,face,50,+0.82859,4,-1
He reached down and touched her,feet,50,-0.13213,6,-1
He reached down and touched her,fingers,50,-0.06865,6,-1
He reached down and touched her,foot,50,-0.13124,6,-1
He reached down and touched her,forehead,50,-0.02625,4,-1
He reached down and touched her,gently,50,+0.03428,,-1
He reached down and touched her,hair,50,+0.04039,6,-1
He reached down and touched her,hand,50,+2.32806,6,-1
He reached down and touched her,hands,49,-0.11489,6,-1
He reached down and touched her,head,50,-0.52558,6,-1
He reached down and touched her,heart,45,-0.07700,3,-1
He reached down and touched her,hip,47,-0.08214,4,-1
He reached down and touched her,knee,50,-0.01339,4,-1
He reached down and touched her,left,47,-0.15218,3,-1
He reached down and touched her,leg,50,+0.01912,5,-1
He reached down and touched her,legs,43,-0.09616,5,-1
He reached down and touched her,lightly,49,-0.06530,,-1
He reached down and touched her,lips,49,-0.23843,4,-1
He reached down and touched her,mouth,47,-0.16205,4,-1
He reached down and touched her,neck,49,-0.18931,4,-1
He reached down and touched her,right,49,-0.20981,5,-1
He reached down and touched her,shoulder,50,+0.11064,4,-1
He reached down and touched her,shoulders,49,-0.17536,5,-1
He reached down and touched her,side,41,-0.02463,3,-1
He reached down and touched her,skin,50,+0.00452,,-1
He reached down and touched her,stomach,49,-0.22068,3,-1
He reached down and touched her,thigh,50,-0.18288,4,-1
He reached down and touched her,throat,47,-0.10117,4,-1
He reached down and touched her,waist,49,-0.07368,3,-1
He reached down and touched her,wrist,50,-0.05157,6,-1
He reached down and touched her,ass,32,-0.08804,2,-1
He reached down and touched her,elbow,47,-0.03781,5,-1
He reached down and touched her,nose,49,-0.11968,4,-1
He reached down and touched her,pussy,21,-0.10239,1,-7
He reached down and touched her,swollen,37,-0.10088,,-4
He reached down and touched her,wet,39,-0.07395,1,-4
He reached down and touched her,cheeks,39,-0.06653,2,-1
He slowly took off his,blue,49,-0.08257,7,-1
He slowly took off his,long,48,-0.10478,7,-1
He slowly took off his,red,48,-0.06212,7,-1
He slowly took off his,white,50,-0.19649,7,-1
He turned over after the massage and she saw his,arm,48,-0.06379,5,-1
He turned over after the massage and she saw his,arms,45,-0.08698,5,-1
He turned over after the massage and she saw his,back,50,-0.07222,5,-1
He turned over after the massage and she saw his,belly,45,-0.10779,3,-1
He turned over after the massage and she saw his,blood,30,-0.04277,,-1
He turned over after the massage and she saw his,body,50,-0.27089,,-1
He turned over after the massage and she saw his,breathing,24,+0.02703,,-1
He turned over after the massage and she saw his,bruises,23,+0.05117,,-1
He turned over after the massage and she saw his,cheek,18,-0.06002,4,-1
He turned over after the massage and she saw his,cheeks,21,-0.04210,2,-1
He turned over after the massage and she saw his,chest,50,+0.02831,3,-1
He turned over after the massage and she saw his,clothes,15,-0.02022,7,-1
He turned over after the massage and she saw his,cock,47,-0.66437,1,-7
He turned over after the massage and she saw his,erection,47,-0.65664,1,-7
He turned over after the massage and she saw his,expression,40,+0.06358,,-1
He turned over after the massage and she saw his,eye,31,-0.05507,4,-1
He turned over after the massage and she saw his,eyelids,19,-0.00559,6,-1
He turned over after the massage and she saw his,eyes,50,+0.03794,6,-1
He turned over after the massage and she saw his,face,50,+1.89817,4,-1
He turned over after the massage and she saw his,features,12,+0.00104,4,-1
He turned over after the massage and she saw his,feet,48,-0.10899,6,-1
He turned over after the massage and she saw his,foot,20,-0.01456,6,-1
He turned over after the massage and she saw his,forehead,24,-0.02715,4,-1
He turned over after the massage and she saw his,gaze,18,+0.01440,,-1
He turned over after the massage and she saw his,groin,34,-0.09424,1,-4
He turned over after the massage and she saw his,hair,50,-0.06563,6,-1
He turned over after the massage and she saw his,hand,50,-0.19539,6,-1
He turned over after the massage and she saw his,hands,49,-0.11337,6,-1
He turned over after the massage and she saw his,head,50,-0.21651,6,-1
He turned over after the massage and she saw his,leg,30,-0.00211,5,-1
He turned over after the massage and she saw his,legs,49,-0.19201,5,-1
He turned over after the massage and she saw his,limp,31,-0.02765,1,-7
He turned over after the massage and she saw his,lips,40,-0.07455,4,-1
He turned over after the massage and she saw his,mouth,41,-0.13903,4,-1
He turned over after the massage and she saw his,muscles,44,+0.03175,5,-1
He turned over after the massage and she saw his,name,25,-0.00137,,-1
He turned over after the massage and she saw his,neck,36,-0.07833,4,-1
He turned over after the massage and she saw his,nipples,40,-0.11407,2,-1
He turned over after the massage and she saw his,penis,48,-1.63910,1,-7
He turned over after the massage and she saw his,phone,27,+0.09385,7,-1
He turned over after the massage and she saw his,profile,39,+0.11327,4,-1
He turned over after the massage and she saw his,reflection,37,+0.06727,,-1
He turned over after the massage and she saw his,scar,42,-0.02017,4,-1
He turned over after the massage and she saw his,scars,38,+0.01172,3,-1
He turned over after the massage and she saw his,shirt,41,+0.01143,5,-1
He turned over after the massage and she saw his,shoulder,32,-0.04087,5,-1
He turned over after the massage and she saw his,shoulders,31,-0.07377,5,-1
He turned over after the massage and she saw his,side,32,-0.00013,5,-1
He turned over after the massage and she saw his,silhouette,12,+0.02843,,-1
He turned over after the massage and she saw his,skin,47,-0.04738,3,-1
He turned over after the massage and she saw his,smile,46,-0.02291,4,-1
He turned over after the massage and she saw his,stomach,47,-0.11054,3,-1
He turned over after the massage and she saw his,tattoo,44,+0.04218,5,-1
He turned over after the massage and she saw his,tattoos,27,+0.02062,,-1
He turned over after the massage and she saw his,tears,24,+0.02536,4,-1
He turned over after the massage and she saw his,teeth,22,-0.02198,4,-1
He turned over after the massage and she saw his,wound,25,-0.07834,3,-1
He turned over after the massage and she saw his,wounds,14,-0.07044,3,-1
He turned over after the massage and she saw his,abs,32,-0.01600,3,-1
He turned over after the massage and she saw his,ass,44,-0.15800,2,-1
He turned over after the massage and she saw his,asshole,10,-0.03626,2,-7
He turned over after the massage and she saw his,backside,26,-0.01113,2,-1
He turned over after the massage and she saw his,balls,27,-0.11445,1,-7
He turned over after the massage and she saw his,boner,15,-0.03115,1,-7
He turned over after the massage and she saw his,bottom,26,-0.07543,2,-1
He turned over after the massage and she saw his,boxers,15,-0.00797,1,-1
He turned over after the massage and she saw his,bulge,31,+0.02401,1,-7
He turned over after the massage and she saw his,butt,42,-0.17642,2,-1
He turned over after the massage and she saw his,buttocks,29,-0.12774,2,-1
He turned over after the massage and she saw his,crotch,36,-0.11608,1,-4
He turned over after the massage and she saw his,cum,19,-0.07432,1,-7
He turned over after the massage and she saw his,dick,46,-0.46034,1,-7
He turned over after the massage and she saw his,fat,13,-0.07459,,-1
He turned over after the massage and she saw his,genitals,34,-0.17182,1,-7
He turned over after the massage and she saw his,hardon,14,+0.01267,1,-7
He turned over after the massage and she saw his,injuries,13,+0.02711,,-1
He turned over after the massage and she saw his,manhood,40,-0.10169,1,-7
He turned over after the massage and she saw his,member,27,-0.05534,1,-7
He turned over after the massage and she saw his,nipple,10,-0.11574,2,-1
He turned over after the massage and she saw his,package,17,+0.06389,1,-7
He turned over after the massage and she saw his,prick,20,-0.09535,1,-7
He turned over after the massage and she saw his,private,27,-0.00593,1,-7
He turned over after the massage and she saw his,privates,11,-0.11076,1,-7
He turned over after the massage and she saw his,reaction,31,+0.01464,,-1
He turned over after the massage and she saw his,rear,14,-0.07430,2,-1
He turned over after the massage and she saw his,rock,14,+0.05356,1,-7
He turned over after the massage and she saw his,scrotum,15,-0.07427,1,-7
He turned over after the massage and she saw his,semi,21,+0.02872,1,-7
He turned over after the massage and she saw his,six,13,-0.01336,3,-1
He turned over after the massage and she saw his,testicles,15,-0.08842,1,-7
He turned over after the massage and she saw his,torso,18,-0.05982,3,-1
He turned over after the massage and she saw his,underwear,30,+0.01013,2,-1
He turned over after the massage and she saw his,abdomen,16,-0.08126,3,-1
He turned over after the massage and she saw his,anus,13,-0.12241,2,-4
He turned over after the massage and she saw his,arousal,21,-0.06617,1,-7
He turned over after the massage and she saw his,breasts,12,-0.09463,2,-1
He turned over after the massage and she saw his,fingers,24,-0.07049,6,-1
He turned over after the massage and she saw his,jaw,22,-0.00175,4,-1
He turned over after the massage and she saw his,pants,36,-0.08769,3,-1
He turned over after the massage and she saw his,shadow,15,-0.03425,7,-1
He turned over after the massage and she saw his,throat,12,-0.08086,4,-1
He turned over after the massage and she saw his,tongue,26,-0.07475,4,-1
He turned over after the massage and she saw his,Adam,10,-0.00049,4,-1
He turned over after the massage and she saw his,nakedness,20,-0.07914,,-1
He turned over after the massage and she saw his,ribs,11,-0.05161,3,-1
He turned over after the massage and she saw his,gun,10,+0.03467,7,-1
He turned over after the massage and she saw his,toes,14,-0.00824,6,-1
He turned over after the massage and she saw his,watch,11,+0.12634,7,-1
He turned over after the massage and she saw his,hardness,15,-0.03752,1,-7
He turned over after the massage and she saw his,injury,12,+0.03182,3,-1
He turned over after the massage and she saw his,pain,16,+0.02795,,-1
He unzipped her,again,20,-0.11297,,-1
He unzipped her,back,45,-0.08132,5,-1
He unzipped her,backpack,49,+0.07575,7,-1
He unzipped her,bag,50,+0.00039,7,-1
