scene,prompt,word,n_rise,n_fall,net,n_carriers,median_delta_pp,mean_delta_pp,net_mass,scale,out,n_lineages
tookoff,She slowly took off her,shoes,35,15,20,50,+2.65005,+3.52756,+1.76378,dressing,3.855,50
tookoff,She slowly took off her,glasses,34,16,18,50,+1.09189,+2.47283,+1.23642,dressing,3.255,50
tookoff,She slowly took off her,headphones,29,15,14,44,+0.08458,+0.22525,+0.09911,dressing,3.425,50
tookoff,She slowly took off her,seatbelt,18,4,14,22,+0.11463,+0.12906,+0.02839,dressing,3.6,50
tookoff,She slowly took off her,coat,30,20,10,50,+0.75536,+0.33738,+0.16869,dressing,3.965,50
tookoff,She slowly took off her,jewelry,22,13,9,35,+0.01436,+0.01167,+0.00409,dressing,3.33,50
tookoff,She slowly took off her,boots,29,21,8,50,+0.09181,+0.36448,+0.18224,dressing,3.9450000000000003,50
tookoff,She slowly took off her,engagement,10,2,8,12,+0.06528,+0.12751,+0.01530,dressing,,50
tookoff,She slowly took off her,headset,12,5,7,17,+0.05443,+0.10296,+0.01750,dressing,3.315,50
tookoff,She slowly took off her,rings,11,4,7,15,+0.09071,+0.09321,+0.01398,dressing,2.975,50
tookoff,She slowly took off her,mittens,6,0,6,6,+0.02637,+0.02890,+0.00173,dressing,3.925,50
tookoff,She slowly took off her,oversized,11,5,6,16,+0.08698,+0.07050,+0.01128,dressing,,50
tookoff,She slowly took off her,worn,9,3,6,12,+0.07764,+0.09673,+0.01161,dressing,,50
tookoff,She slowly took off her,prosthetic,6,0,6,6,+0.13048,+0.21144,+0.01269,dressing,,50
tookoff,She slowly took off her,layers,6,1,5,7,+0.06692,+0.04415,+0.00309,dressing,,50
tookoff,She slowly took off her,ragged,5,0,5,5,+0.06883,+0.06289,+0.00314,dressing,,50
tookoff,She slowly took off her,tattered,10,5,5,15,+0.12828,+0.09815,+0.01472,dressing,,50
tookoff,She slowly took off her,gloves,27,23,4,50,+0.32120,+0.80007,+0.40003,dressing,3.81,50
tookoff,She slowly took off her,jacket,27,23,4,50,+0.10959,+0.36863,+0.18431,dressing,3.375,50
tookoff,She slowly took off her,elegant,4,0,4,4,+0.05711,+0.06297,+0.00252,dressing,,50
tookoff,She slowly took off her,golden,5,1,4,6,+0.02581,+0.06945,+0.00417,dressing,,50
tookoff,She slowly took off her,sneakers,18,14,4,32,+0.00977,+0.01137,+0.00364,dressing,3.8,50
tookoff,She slowly took off her,sweatpants,5,1,4,6,+0.06455,+0.59210,+0.03553,dressing,1.915,50
tookoff,She slowly took off her,torn,6,2,4,8,+0.02335,+0.05721,+0.00458,dressing,,50
tookoff,She slowly took off her,swimsuit,8,4,4,12,+0.01611,+0.01563,+0.00188,dressing,1.27,50
tookoff,She slowly took off her,outerwear,6,2,4,8,+0.04110,+0.05857,+0.00469,dressing,,50
tookoff,She slowly took off her,muddy,4,0,4,4,+0.13348,+0.12557,+0.00502,dressing,,50
tookoff,She slowly took off her,orange,4,0,4,4,+0.06872,+0.07332,+0.00293,dressing,,50
tookoff,She slowly took off her,evening,4,0,4,4,+0.17451,+0.18425,+0.00737,dressing,,50
tookoff,She slowly took off her,remaining,3,0,3,3,+0.03396,+0.03711,+0.00111,dressing,,50
tookoff,She slowly took off her,silver,12,9,3,21,+0.01843,+0.03198,+0.00672,dressing,,50
